# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 AMAZON
# River:                 AMAZON
# Station:               MANACAPURU
# Country:               BRAZIL
# Latitude (DD):         -3.3106
# Longitude (DD):        -60.4594
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-09 - 2023-09-27
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2002-01-05 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1875
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-09; 00:00:00;    137999.20; nan; multi
1999-10-17; 00:00:00;     96760.96; nan; multi
1999-10-25; 00:00:00;    132067.01; nan; multi
1999-11-18; 00:00:00;     63117.77; nan; multi
1999-11-26; 00:00:00;    129543.26; nan; multi
1999-12-12; 00:00:00;    134446.53; nan; multi
1999-12-28; 00:00:00;    134709.37; nan; multi
2000-01-21; 00:00:00;     68675.09; nan; multi
2000-03-01; 00:00:00;    140305.03; nan; multi
2000-04-18; 00:00:00;    142931.23; nan; multi
2000-05-04; 00:00:00;    143771.01; nan; multi
2000-05-28; 00:00:00;    133651.29; nan; multi
2000-06-05; 00:00:00;    129759.64; nan; multi
2000-06-07; 00:00:00;    135637.67; nan; multi
2000-06-08; 00:00:00;    135477.47; nan; multi
2000-06-10; 00:00:00;    134794.46; nan; multi
2000-06-13; 00:00:00;    135034.33; nan; multi
2000-07-20; 00:00:00;    122703.68; nan; multi
2000-07-21; 00:00:00;    117662.51; nan; multi
2000-07-23; 00:00:00;    123708.14; nan; multi
2000-07-29; 00:00:00;    116951.58; nan; multi
2000-07-30; 00:00:00;    112029.94; nan; multi
2000-08-01; 00:00:00;    108677.93; nan; multi
2000-08-03; 00:00:00;    108836.20; nan; multi
2000-08-16; 00:00:00;    129885.80; nan; multi
2000-08-24; 00:00:00;    133830.03; nan; multi
2000-08-28; 00:00:00;    126216.45; nan; multi
2000-08-30; 00:00:00;    118834.03; nan; multi
2000-09-01; 00:00:00;    114458.28; nan; multi
2000-09-17; 00:00:00;    105937.44; nan; multi
2000-09-22; 00:00:00;    120496.80; nan; multi
2000-09-25; 00:00:00;    133974.92; nan; multi
2000-10-18; 00:00:00;     71582.53; nan; multi
2000-10-27; 00:00:00;    133745.68; nan; multi
2000-11-08; 00:00:00;     75817.64; nan; multi
2000-11-28; 00:00:00;    136019.41; nan; multi
2000-12-06; 00:00:00;     93976.82; nan; multi
2000-12-14; 00:00:00;    113004.60; nan; multi
2000-12-16; 00:00:00;    110536.97; nan; multi
2001-01-15; 00:00:00;    136394.71; nan; multi
2001-02-24; 00:00:00;     97163.20; nan; multi
2001-03-13; 00:00:00;     70059.07; nan; multi
2001-03-14; 00:00:00;     70387.61; nan; multi
2001-03-20; 00:00:00;    106200.63; nan; multi
2001-04-10; 00:00:00;     70186.63; nan; multi
2001-05-07; 00:00:00;    144417.75; nan; multi
2001-05-31; 00:00:00;    122627.14; nan; multi
2001-06-08; 00:00:00;    140641.61; nan; multi
2001-07-08; 00:00:00;    133231.66; nan; multi
2001-07-10; 00:00:00;    135466.21; nan; multi
2001-07-15; 00:00:00;    129470.10; nan; multi
2001-07-18; 00:00:00;    127923.66; nan; multi
2001-07-19; 00:00:00;    126708.96; nan; multi
2001-07-21; 00:00:00;    125503.96; nan; multi
2001-07-24; 00:00:00;    128455.46; nan; multi
2001-07-26; 00:00:00;    131036.32; nan; multi
2001-07-31; 00:00:00;    127567.41; nan; multi
2001-08-02; 00:00:00;    124299.98; nan; multi
2001-08-03; 00:00:00;    122841.91; nan; multi
2001-08-04; 00:00:00;    121329.75; nan; multi
2001-08-05; 00:00:00;    119798.89; nan; multi
2001-08-06; 00:00:00;    120407.48; nan; multi
2001-08-07; 00:00:00;    119982.00; nan; multi
2001-08-08; 00:00:00;    121196.98; nan; multi
2001-08-10; 00:00:00;    124482.31; nan; multi
2001-08-11; 00:00:00;    126704.12; nan; multi
2001-08-13; 00:00:00;    127414.00; nan; multi
2001-08-17; 00:00:00;    119053.89; nan; multi
2001-08-20; 00:00:00;    106033.99; nan; multi
2001-08-26; 00:00:00;     94203.03; nan; multi
2001-08-27; 00:00:00;     87369.16; nan; multi
2001-08-29; 00:00:00;     85477.86; nan; multi
2001-08-31; 00:00:00;     85173.60; nan; multi
2001-09-01; 00:00:00;     88346.86; nan; multi
2001-09-04; 00:00:00;     90119.30; nan; multi
2001-09-05; 00:00:00;     90098.62; nan; multi
2001-09-26; 00:00:00;     76216.00; nan; multi
2001-09-28; 00:00:00;     78919.26; nan; multi
2001-10-02; 00:00:00;     78475.95; nan; multi
2001-10-06; 00:00:00;     82102.21; nan; multi
2001-10-14; 00:00:00;    130124.18; nan; multi
2001-10-20; 00:00:00;    100238.40; nan; multi
2001-11-06; 00:00:00;     72133.64; nan; multi
2001-11-12; 00:00:00;     93314.18; nan; multi
2001-11-15; 00:00:00;    104939.74; nan; multi
2001-12-01; 00:00:00;    134388.81; nan; multi
2001-12-25; 00:00:00;     67506.00; nan; multi
2002-01-13; 00:00:00;     79876.88; nan; multi
2002-01-18; 00:00:00;    129126.99; nan; multi
2002-02-27; 00:00:00;     87809.28; nan; multi
2002-03-13; 00:00:00;     70802.10; nan; multi
2002-04-08; 00:00:00;    140052.96; nan; multi
2002-04-17; 00:00:00;     97386.19; nan; multi
2002-05-10; 00:00:00;    144655.96; nan; multi
2002-06-11; 00:00:00;    146247.66; nan; multi
2002-06-20; 00:00:00;    139608.13; nan; multi
2002-06-29; 00:00:00;    135580.56; nan; multi
2002-07-01; 00:00:00;    139278.01; nan; multi
2002-07-02; 00:00:00;    135171.69; nan; multi
2002-07-06; 00:00:00;    137803.64; nan; multi
2002-07-09; 00:00:00;    130503.33; nan; multi
2002-07-11; 00:00:00;    135155.35; nan; multi
