# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 AMAZON
# River:                 AMAZON
# Station:               OBIDOS
# Country:               BRAZIL
# Latitude (DD):         -1.9658
# Longitude (DD):        -55.4125
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-20 - 2023-09-26
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2002-01-08 - 2020-01-24
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2740
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-20; 00:00:00;    150710.89; nan; multi
1999-11-05; 00:00:00;    148397.95; nan; multi
1999-12-07; 00:00:00;    150717.83; nan; multi
2000-01-24; 00:00:00;    141720.46; nan; multi
2000-02-25; 00:00:00;    164385.60; nan; multi
2000-04-22; 00:00:00;    207901.17; nan; multi
2000-04-29; 00:00:00;    215196.45; nan; multi
2000-05-15; 00:00:00;    196023.02; nan; multi
2000-05-26; 00:00:00;    215007.12; nan; multi
2000-05-27; 00:00:00;    209436.38; nan; multi
2000-06-07; 00:00:00;     94401.71; nan; multi
2000-06-08; 00:00:00;    162943.98; nan; multi
2000-06-24; 00:00:00;    221321.55; nan; multi
2000-07-10; 00:00:00;    217399.19; nan; multi
2000-07-26; 00:00:00;    221425.61; nan; multi
2000-08-03; 00:00:00;    218679.94; nan; multi
2000-08-11; 00:00:00;    215000.08; nan; multi
2000-08-19; 00:00:00;    208851.13; nan; multi
2000-08-21; 00:00:00;    206599.13; nan; multi
2000-08-27; 00:00:00;    202960.75; nan; multi
2000-08-28; 00:00:00;    202015.64; nan; multi
2000-08-30; 00:00:00;    200730.60; nan; multi
2000-09-04; 00:00:00;    202910.03; nan; multi
2000-09-09; 00:00:00;    197070.57; nan; multi
2000-09-12; 00:00:00;    193899.43; nan; multi
2000-09-13; 00:00:00;    192682.99; nan; multi
2000-09-24; 00:00:00;    184019.78; nan; multi
2000-09-28; 00:00:00;    162942.45; nan; multi
2000-10-03; 00:00:00;    167491.67; nan; multi
2000-10-06; 00:00:00;    172349.55; nan; multi
2000-10-10; 00:00:00;    166621.37; nan; multi
2000-10-14; 00:00:00;    153721.48; nan; multi
2000-10-15; 00:00:00;    149195.96; nan; multi
2000-11-11; 00:00:00;    160496.23; nan; multi
2000-11-13; 00:00:00;    156281.32; nan; multi
2000-11-27; 00:00:00;    155578.13; nan; multi
2000-11-30; 00:00:00;    155651.46; nan; multi
2000-12-07; 00:00:00;    150414.80; nan; multi
2000-12-09; 00:00:00;    147769.17; nan; multi
2000-12-22; 00:00:00;    146909.78; nan; multi
2000-12-25; 00:00:00;    139762.16; nan; multi
2001-01-26; 00:00:00;    156286.17; nan; multi
2001-02-11; 00:00:00;    165569.15; nan; multi
2001-03-15; 00:00:00;    198491.65; nan; multi
2001-04-08; 00:00:00;    144507.51; nan; multi
2001-04-28; 00:00:00;    218219.38; nan; multi
2001-05-10; 00:00:00;    131084.60; nan; multi
2001-05-18; 00:00:00;    211803.91; nan; multi
2001-05-26; 00:00:00;    231740.97; nan; multi
2001-06-19; 00:00:00;    244522.27; nan; multi
2001-06-27; 00:00:00;    224521.91; nan; multi
2001-07-12; 00:00:00;    166150.21; nan; multi
2001-07-13; 00:00:00;    153887.77; nan; multi
2001-07-19; 00:00:00;    193047.66; nan; multi
2001-07-21; 00:00:00;    201845.15; nan; multi
2001-07-23; 00:00:00;    206966.46; nan; multi
2001-07-28; 00:00:00;    205779.74; nan; multi
2001-07-29; 00:00:00;    206044.62; nan; multi
2001-07-30; 00:00:00;    206229.04; nan; multi
2001-08-04; 00:00:00;    207126.34; nan; multi
2001-08-05; 00:00:00;    205869.29; nan; multi
2001-08-06; 00:00:00;    205433.59; nan; multi
2001-08-12; 00:00:00;    201988.02; nan; multi
2001-08-14; 00:00:00;    198050.21; nan; multi
2001-08-22; 00:00:00;    195308.89; nan; multi
2001-08-24; 00:00:00;    195374.79; nan; multi
2001-08-26; 00:00:00;    192989.41; nan; multi
2001-08-27; 00:00:00;    187128.53; nan; multi
2001-08-28; 00:00:00;    182582.96; nan; multi
2001-08-30; 00:00:00;    175592.09; nan; multi
2001-09-02; 00:00:00;    175378.39; nan; multi
2001-09-13; 00:00:00;    175669.90; nan; multi
2001-09-16; 00:00:00;    177316.66; nan; multi
2001-09-23; 00:00:00;    172465.52; nan; multi
2001-10-01; 00:00:00;    137011.23; nan; multi
2001-10-02; 00:00:00;    131118.87; nan; multi
2001-10-04; 00:00:00;    131747.85; nan; multi
2001-10-08; 00:00:00;    141717.73; nan; multi
2001-10-25; 00:00:00;    170612.89; nan; multi
2001-11-02; 00:00:00;    134017.88; nan; multi
2001-11-03; 00:00:00;    129814.80; nan; multi
2001-11-06; 00:00:00;    133545.13; nan; multi
2001-11-10; 00:00:00;    138178.81; nan; multi
2001-11-15; 00:00:00;    143554.24; nan; multi
2001-12-12; 00:00:00;    150087.18; nan; multi
2001-12-20; 00:00:00;     98368.56; nan; multi
2002-01-01; 00:00:00;    142296.00; nan; multi
2002-01-22; 00:00:00;    161581.56; nan; multi
2002-01-24; 00:00:00;    165800.33; nan; multi
2002-01-29; 00:00:00;    193360.11; nan; multi
2002-02-22; 00:00:00;    168307.12; nan; multi
2002-04-28; 00:00:00;    212656.59; nan; multi
2002-05-21; 00:00:00;    228223.09; nan; multi
2002-06-06; 00:00:00;    232653.66; nan; multi
2002-06-13; 00:00:00;    216289.23; nan; multi
2002-06-17; 00:00:00;    213905.43; nan; multi
2002-06-29; 00:00:00;    214472.06; nan; multi
2002-07-08; 00:00:00;    223054.56; nan; multi
2002-07-14; 00:00:00;    204153.97; nan; multi
2002-07-17; 00:00:00;    214460.22; nan; multi
2002-07-22; 00:00:00;    213391.04; nan; multi
2002-07-24; 00:00:00;    212387.96; nan; multi
2002-07-26; 00:00:00;    212084.67; nan; multi
2002-07-30; 00:00:00;    206016.96; nan; multi
2002-08-02; 00:00:00;    207260.86; nan; multi
2002-08-04; 00:00:00;    205043.37; nan; multi
2002-08-08; 00:00:00;    203552.03; nan; multi
2002-08-09; 00:00:00;    205843.58; nan; multi
2002-08-16; 00:00:00;    200279.32; nan; multi
2002-08-20; 00:00:00;    201089.03; nan; multi
2002-08-23; 00:00:00;    197803.32; nan; multi
2002-08-25; 00:00:00;    197334.13; nan; multi
2002-08-27; 00:00:00;    197721.41; nan; multi
2002-08-29; 00:00:00;    198027.54; nan; multi
2002-09-03; 00:00:00;    198368.70; nan; multi
2002-09-07; 00:00:00;    194272.76; nan; multi
2002-09-09; 00:00:00;    192195.82; nan; multi
2002-09-10; 00:00:00;    191430.71; nan; multi
2002-09-12; 00:00:00;    191487.70; nan; multi
2002-09-19; 00:00:00;    188022.89; nan; multi
2002-09-21; 00:00:00;    186210.70; nan; multi
2002-09-26; 00:00:00;    173116.79; nan; multi
2002-09-28; 00:00:00;    135404.14; nan; multi
2002-10-01; 00:00:00;    143273.61; nan; multi
2002-10-02; 00:00:00;    147512.34; nan; multi
2002-10-04; 00:00:00;    152008.19; nan; multi
2002-10-05; 00:00:00;    154129.03; nan; multi
2002-10-07; 00:00:00;    154938.02; nan; multi
2002-10-09; 00:00:00;    153990.94; nan; multi
2002-10-15; 00:00:00;    148128.09; nan; multi
2002-10-16; 00:00:00;    145786.36; nan; multi
2002-10-28; 00:00:00;    147445.18; nan; multi
2002-11-02; 00:00:00;    137198.42; nan; multi
2002-11-13; 00:00:00;    136186.90; nan; multi
2002-11-15; 00:00:00;    138085.06; nan; multi
2002-11-29; 00:00:00;    143451.94; nan; multi
2002-12-01; 00:00:00;    144473.58; nan; multi
2002-12-24; 00:00:00;    122971.59; nan; multi
2002-12-31; 00:00:00;    145688.78; nan; multi
2003-01-05; 00:00:00;    139627.83; nan; multi
2003-01-06; 00:00:00;    136632.47; nan; multi
2003-01-07; 00:00:00;    134873.06; nan; multi
2003-01-09; 00:00:00;    136563.08; nan; multi
2003-01-10; 00:00:00;    138069.58; nan; multi
2003-01-21; 00:00:00;    144469.54; nan; multi
2003-03-01; 00:00:00;    120924.64; nan; multi
2003-03-10; 00:00:00;    125693.28; nan; multi
2003-03-23; 00:00:00;    170697.17; nan; multi
2003-04-09; 00:00:00;    133595.33; nan; multi
2003-04-18; 00:00:00;    141103.04; nan; multi
2003-04-19; 00:00:00;    168534.23; nan; multi
2003-05-01; 00:00:00;    157385.97; nan; multi
2003-05-08; 00:00:00;    194736.18; nan; multi
2003-05-13; 00:00:00;    186833.27; nan; multi
2003-05-15; 00:00:00;    178916.18; nan; multi
2003-05-20; 00:00:00;    187248.02; nan; multi
2003-05-22; 00:00:00;    192310.75; nan; multi
2003-05-24; 00:00:00;    197009.86; nan; multi
2003-05-25; 00:00:00;    200202.67; nan; multi
2003-05-26; 00:00:00;    199796.42; nan; multi
2003-05-29; 00:00:00;    194045.92; nan; multi
2003-05-31; 00:00:00;    185266.01; nan; multi
2003-06-05; 00:00:00;    181323.66; nan; multi
2003-06-07; 00:00:00;    179702.27; nan; multi
2003-06-11; 00:00:00;    175920.29; nan; multi
2003-06-14; 00:00:00;    178027.10; nan; multi
2003-06-16; 00:00:00;    183405.17; nan; multi
2003-06-17; 00:00:00;    174164.74; nan; multi
2003-06-18; 00:00:00;    174627.65; nan; multi
2003-06-22; 00:00:00;    184521.51; nan; multi
2003-06-23; 00:00:00;    185850.11; nan; multi
2003-06-26; 00:00:00;    189536.00; nan; multi
2003-06-27; 00:00:00;    191618.93; nan; multi
2003-06-28; 00:00:00;    190916.00; nan; multi
2003-06-29; 00:00:00;    188969.68; nan; multi
2003-07-01; 00:00:00;    183567.30; nan; multi
2003-07-03; 00:00:00;    179601.10; nan; multi
2003-07-04; 00:00:00;    178808.67; nan; multi
2003-07-06; 00:00:00;    182965.22; nan; multi
2003-07-07; 00:00:00;    184633.06; nan; multi
2003-07-09; 00:00:00;    183656.11; nan; multi
2003-07-10; 00:00:00;    180852.80; nan; multi
2003-07-13; 00:00:00;    182886.74; nan; multi
2003-07-16; 00:00:00;    186107.44; nan; multi
2003-07-18; 00:00:00;    188658.54; nan; multi
2003-07-19; 00:00:00;    191042.73; nan; multi
2003-07-20; 00:00:00;    193394.25; nan; multi
2003-07-21; 00:00:00;    194547.49; nan; multi
2003-07-22; 00:00:00;    194114.68; nan; multi
2003-07-24; 00:00:00;    193063.63; nan; multi
2003-07-25; 00:00:00;    191115.64; nan; multi
