# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 AMAZON
# River:                 NEGRO
# Station:               SAO-FELIPE
# Country:               BRAZIL
# Latitude (DD):         0.3717
# Longitude (DD):        -67.3128
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-26 - 2023-01-26
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2002-01-19 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 917
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-26; 00:00:00;      6802.47; nan; multi
2000-03-17; 00:00:00;      6654.89; nan; multi
2000-08-04; 00:00:00;     14077.20; nan; multi
2000-09-09; 00:00:00;      9482.68; nan; multi
2000-09-12; 00:00:00;     12504.34; nan; multi
2000-10-03; 00:00:00;      6699.47; nan; multi
2000-11-08; 00:00:00;      7068.00; nan; multi
2000-11-12; 00:00:00;      7307.12; nan; multi
2000-12-14; 00:00:00;      8384.28; nan; multi
2000-12-15; 00:00:00;     10960.56; nan; multi
2001-01-31; 00:00:00;      6510.52; nan; multi
2001-02-03; 00:00:00;      5743.18; nan; multi
2001-02-16; 00:00:00;      8055.38; nan; multi
2001-03-07; 00:00:00;      7099.92; nan; multi
2001-03-12; 00:00:00;      6708.32; nan; multi
2001-03-13; 00:00:00;      7030.56; nan; multi
2001-05-24; 00:00:00;     14207.23; nan; multi
2001-08-25; 00:00:00;     12952.00; nan; multi
2001-09-21; 00:00:00;      5722.14; nan; multi
2001-09-26; 00:00:00;      7861.69; nan; multi
2001-10-04; 00:00:00;      5757.19; nan; multi
2001-10-07; 00:00:00;      5241.53; nan; multi
2001-10-12; 00:00:00;      6916.70; nan; multi
2001-11-15; 00:00:00;      5123.49; nan; multi
2002-01-05; 00:00:00;      9745.41; nan; multi
2002-01-14; 00:00:00;      6021.35; nan; multi
2002-01-17; 00:00:00;      9196.44; nan; multi
2002-05-04; 00:00:00;     10804.05; nan; multi
2002-09-05; 00:00:00;     11433.36; nan; multi
2002-09-21; 00:00:00;      6599.79; nan; multi
2002-11-18; 00:00:00;      7488.06; nan; multi
2002-12-29; 00:00:00;      5069.20; nan; multi
2003-01-01; 00:00:00;      9353.62; nan; multi
2003-01-15; 00:00:00;      5765.80; nan; multi
2003-01-17; 00:00:00;      4913.59; nan; multi
2003-01-19; 00:00:00;      4956.76; nan; multi
2003-01-23; 00:00:00;      4801.11; nan; multi
2003-01-24; 00:00:00;      4540.98; nan; multi
2003-02-20; 00:00:00;      6356.48; nan; multi
2003-03-19; 00:00:00;      4452.95; nan; multi
2003-05-04; 00:00:00;     13318.94; nan; multi
2003-06-05; 00:00:00;      9854.17; nan; multi
2003-08-22; 00:00:00;     13601.92; nan; multi
2003-09-07; 00:00:00;     12930.50; nan; multi
2003-09-27; 00:00:00;      5900.10; nan; multi
2003-11-05; 00:00:00;      9621.11; nan; multi
2003-11-17; 00:00:00;     13232.19; nan; multi
2003-12-28; 00:00:00;     10662.84; nan; multi
2004-01-20; 00:00:00;      7029.87; nan; multi
2004-01-24; 00:00:00;      6430.98; nan; multi
2004-01-25; 00:00:00;      5985.95; nan; multi
2004-01-27; 00:00:00;      5432.37; nan; multi
2004-01-29; 00:00:00;      5361.52; nan; multi
2004-01-31; 00:00:00;      5387.74; nan; multi
2004-02-01; 00:00:00;      5230.69; nan; multi
2004-02-05; 00:00:00;      5021.63; nan; multi
2004-02-10; 00:00:00;      4978.50; nan; multi
2004-03-01; 00:00:00;      6826.40; nan; multi
2004-03-18; 00:00:00;      5500.91; nan; multi
2004-04-25; 00:00:00;     12336.77; nan; multi
2004-05-22; 00:00:00;     12791.07; nan; multi
2004-08-04; 00:00:00;     11171.19; nan; multi
2004-09-03; 00:00:00;      4630.01; nan; multi
2004-09-19; 00:00:00;      8434.57; nan; multi
2004-09-22; 00:00:00;      6055.92; nan; multi
2004-10-19; 00:00:00;     10011.11; nan; multi
2004-10-23; 00:00:00;      7630.15; nan; multi
2004-11-24; 00:00:00;      8668.80; nan; multi
2004-11-28; 00:00:00;      8563.42; nan; multi
2004-12-25; 00:00:00;      6734.14; nan; multi
2004-12-26; 00:00:00;      6560.57; nan; multi
2004-12-28; 00:00:00;      6825.04; nan; multi
2005-01-20; 00:00:00;      5812.38; nan; multi
2005-01-26; 00:00:00;      6334.15; nan; multi
2005-02-16; 00:00:00;      8411.33; nan; multi
2005-02-17; 00:00:00;      7301.94; nan; multi
2005-05-20; 00:00:00;      6800.16; nan; multi
2005-05-23; 00:00:00;     12416.33; nan; multi
2005-05-24; 00:00:00;     10636.56; nan; multi
2005-08-14; 00:00:00;     10136.53; nan; multi
2005-08-29; 00:00:00;     12279.05; nan; multi
2005-09-23; 00:00:00;      6894.75; nan; multi
2005-09-26; 00:00:00;      8547.61; nan; multi
2005-10-05; 00:00:00;     11071.80; nan; multi
2005-10-14; 00:00:00;      6989.22; nan; multi
2005-12-08; 00:00:00;      5307.02; nan; multi
2005-12-29; 00:00:00;     10191.56; nan; multi
2006-01-09; 00:00:00;     13570.52; nan; multi
2006-01-14; 00:00:00;     12878.99; nan; multi
2006-03-10; 00:00:00;      4136.05; nan; multi
2006-05-21; 00:00:00;      5224.60; nan; multi
2006-06-03; 00:00:00;     13708.88; nan; multi
2006-06-13; 00:00:00;     12112.22; nan; multi
2006-07-13; 00:00:00;     12746.36; nan; multi
2006-08-09; 00:00:00;     14051.74; nan; multi
2006-08-14; 00:00:00;     13563.22; nan; multi
2006-09-04; 00:00:00;      9825.30; nan; multi
2006-10-05; 00:00:00;      3718.81; nan; multi
2006-10-22; 00:00:00;      4449.83; nan; multi
2006-10-25; 00:00:00;      3845.77; nan; multi
2007-01-28; 00:00:00;      3845.26; nan; multi
2007-01-29; 00:00:00;      3773.21; nan; multi
2007-01-30; 00:00:00;      4893.39; nan; multi
2007-01-31; 00:00:00;      4083.66; nan; multi
2007-02-06; 00:00:00;      3816.50; nan; multi
2007-02-08; 00:00:00;      3736.43; nan; multi
2007-02-15; 00:00:00;      3665.88; nan; multi
2007-02-16; 00:00:00;      3653.13; nan; multi
2007-02-17; 00:00:00;      3656.66; nan; multi
2007-02-20; 00:00:00;      3647.18; nan; multi
2007-03-01; 00:00:00;      3690.25; nan; multi
2007-05-30; 00:00:00;      8355.92; nan; multi
2007-07-23; 00:00:00;      6267.02; nan; multi
2007-07-24; 00:00:00;      5289.87; nan; multi
2007-08-09; 00:00:00;      6248.51; nan; multi
2007-08-28; 00:00:00;      4539.29; nan; multi
