# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CHAD
# River:                 WADI_AZUM
# Station:               AM-TIMAN
# Country:               CHAD
# Latitude (DD):         11.03
# Longitude (DD):        20.28
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-16 - 2022-12-28
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global River Discharge (RivDIS) data set
# Calibration period:    2008-01-29 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 382
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-16; 00:00:00;         0.00; nan; multi
2000-06-23; 00:00:00;         0.00; nan; multi
2000-11-14; 00:00:00;         0.00; nan; multi
2001-03-22; 00:00:00;         0.30; nan; multi
2001-06-26; 00:00:00;         0.00; nan; multi
2001-10-16; 00:00:00;         0.00; nan; multi
2002-02-21; 00:00:00;         0.00; nan; multi
2002-10-19; 00:00:00;       263.72; nan; multi
2002-11-20; 00:00:00;         0.00; nan; multi
2003-01-07; 00:00:00;         0.00; nan; multi
2003-02-08; 00:00:00;         0.00; nan; multi
2003-11-23; 00:00:00;         0.00; nan; multi
2004-01-10; 00:00:00;         0.00; nan; multi
2004-05-01; 00:00:00;         0.00; nan; multi
2004-06-02; 00:00:00;         0.00; nan; multi
2004-11-09; 00:00:00;         0.00; nan; multi
2004-12-11; 00:00:00;         0.00; nan; multi
2004-12-27; 00:00:00;         0.00; nan; multi
2005-02-13; 00:00:00;         0.00; nan; multi
2005-04-02; 00:00:00;         0.00; nan; multi
2005-06-21; 00:00:00;         0.00; nan; multi
2005-12-14; 00:00:00;         0.00; nan; multi
2005-12-30; 00:00:00;         0.00; nan; multi
2006-02-16; 00:00:00;         0.00; nan; multi
2006-11-15; 00:00:00;        74.82; nan; multi
2006-12-01; 00:00:00;         7.21; nan; multi
2006-12-17; 00:00:00;         0.00; nan; multi
2007-01-02; 00:00:00;         0.00; nan; multi
2007-01-18; 00:00:00;         0.00; nan; multi
2007-02-03; 00:00:00;         0.00; nan; multi
2007-02-19; 00:00:00;         0.00; nan; multi
2007-05-10; 00:00:00;         0.00; nan; multi
2007-05-26; 00:00:00;         0.00; nan; multi
2007-06-11; 00:00:00;         0.00; nan; multi
2007-11-02; 00:00:00;         0.03; nan; multi
2007-11-11; 00:00:00;         5.96; nan; multi
2007-11-27; 00:00:00;         0.00; nan; multi
2007-12-04; 00:00:00;         0.00; nan; multi
2007-12-13; 00:00:00;         0.00; nan; multi
2007-12-20; 00:00:00;         0.00; nan; multi
2008-01-14; 00:00:00;         0.00; nan; multi
2008-01-30; 00:00:00;         0.00; nan; multi
2008-02-22; 00:00:00;         0.00; nan; multi
2008-06-06; 00:00:00;         0.00; nan; multi
2008-06-13; 00:00:00;         0.00; nan; multi
2008-07-31; 00:00:00;         9.94; nan; multi
2008-10-19; 00:00:00;         9.27; nan; multi
2008-11-04; 00:00:00;         0.00; nan; multi
2008-11-20; 00:00:00;         0.00; nan; multi
2008-12-22; 00:00:00;         0.00; nan; multi
2009-01-07; 00:00:00;         0.00; nan; multi
2009-02-08; 00:00:00;         0.00; nan; multi
2009-05-15; 00:00:00;         0.00; nan; multi
2009-05-31; 00:00:00;         0.00; nan; multi
2009-12-09; 00:00:00;         0.00; nan; multi
2009-12-25; 00:00:00;         0.00; nan; multi
2010-01-10; 00:00:00;         0.00; nan; multi
2010-02-20; 00:00:00;         0.00; nan; multi
2010-05-18; 00:00:00;         0.00; nan; multi
2010-06-03; 00:00:00;         0.00; nan; multi
2011-01-29; 00:00:00;         0.00; nan; multi
2011-02-14; 00:00:00;         0.00; nan; multi
2011-10-28; 00:00:00;         2.41; nan; multi
2011-12-31; 00:00:00;         0.00; nan; multi
2012-06-24; 00:00:00;         0.00; nan; multi
2012-10-14; 00:00:00;         4.46; nan; multi
2012-12-01; 00:00:00;        10.08; nan; multi
2013-07-21; 00:00:00;         0.00; nan; multi
2013-09-07; 00:00:00;        21.82; nan; multi
2013-10-25; 00:00:00;         0.00; nan; multi
2013-11-02; 00:00:00;         3.66; nan; multi
2013-11-18; 00:00:00;         0.00; nan; multi
2013-11-26; 00:00:00;         0.00; nan; multi
2013-12-04; 00:00:00;         0.00; nan; multi
2013-12-20; 00:00:00;         0.00; nan; multi
2014-01-05; 00:00:00;         0.00; nan; multi
2014-01-21; 00:00:00;         0.00; nan; multi
2014-02-06; 00:00:00;         0.00; nan; multi
2014-02-15; 00:00:00;         0.00; nan; multi
2014-02-22; 00:00:00;         0.00; nan; multi
2014-05-29; 00:00:00;         0.00; nan; multi
2014-06-14; 00:00:00;         0.00; nan; multi
2014-09-10; 00:00:00;        17.78; nan; multi
2014-11-05; 00:00:00;       253.49; nan; multi
2014-11-13; 00:00:00;         0.30; nan; multi
2014-11-21; 00:00:00;         2.13; nan; multi
2014-11-29; 00:00:00;         0.00; nan; multi
2014-12-07; 00:00:00;         2.94; nan; multi
2014-12-15; 00:00:00;         0.00; nan; multi
2014-12-23; 00:00:00;         0.00; nan; multi
2014-12-31; 00:00:00;         0.00; nan; multi
2015-01-08; 00:00:00;         0.00; nan; multi
2015-01-16; 00:00:00;         0.00; nan; multi
2015-01-24; 00:00:00;         0.00; nan; multi
2015-02-09; 00:00:00;         0.00; nan; multi
2015-07-27; 00:00:00;         0.00; nan; multi
2015-08-12; 00:00:00;         0.00; nan; multi
2015-08-20; 00:00:00;        17.43; nan; multi
2015-08-28; 00:00:00;         0.00; nan; multi
2015-09-13; 00:00:00;       195.13; nan; multi
2015-09-29; 00:00:00;         0.00; nan; multi
2015-10-31; 00:00:00;         0.00; nan; multi
2015-11-08; 00:00:00;        19.02; nan; multi
2015-11-16; 00:00:00;         0.00; nan; multi
2015-11-24; 00:00:00;         0.00; nan; multi
2015-12-02; 00:00:00;         0.00; nan; multi
2015-12-10; 00:00:00;         0.00; nan; multi
2015-12-18; 00:00:00;         0.00; nan; multi
2015-12-26; 00:00:00;         0.00; nan; multi
2016-01-03; 00:00:00;         0.00; nan; multi
2016-01-09; 00:00:00;         0.00; nan; multi
2016-01-11; 00:00:00;         0.00; nan; multi
2016-01-27; 00:00:00;         0.00; nan; multi
2016-01-29; 00:00:00;         0.00; nan; multi
2016-02-12; 00:00:00;         0.00; nan; multi
2016-02-28; 00:00:00;         0.00; nan; multi
2016-04-16; 00:00:00;         0.00; nan; multi
2016-05-02; 00:00:00;         0.00; nan; multi
2016-05-10; 00:00:00;         0.00; nan; multi
2016-06-07; 00:00:00;         0.00; nan; multi
2016-06-17; 00:00:00;         0.00; nan; multi
2016-06-27; 00:00:00;         0.00; nan; multi
2016-07-05; 00:00:00;         1.35; nan; multi
2016-07-07; 00:00:00;         9.36; nan; multi
2016-07-27; 00:00:00;         0.00; nan; multi
2016-09-05; 00:00:00;       169.06; nan; multi
2016-10-15; 00:00:00;        25.65; nan; multi
2016-10-17; 00:00:00;        17.08; nan; multi
2016-10-25; 00:00:00;        54.52; nan; multi
2016-11-02; 00:00:00;         0.30; nan; multi
2016-11-04; 00:00:00;         0.00; nan; multi
2016-11-10; 00:00:00;         0.00; nan; multi
2016-11-14; 00:00:00;         0.00; nan; multi
2016-11-18; 00:00:00;         0.00; nan; multi
2016-11-24; 00:00:00;         0.00; nan; multi
2016-11-26; 00:00:00;         0.00; nan; multi
2016-12-04; 00:00:00;         0.00; nan; multi
2016-12-12; 00:00:00;         0.00; nan; multi
2016-12-28; 00:00:00;         0.00; nan; multi
2017-01-13; 00:00:00;         0.00; nan; multi
2017-01-29; 00:00:00;         0.00; nan; multi
2017-05-21; 00:00:00;         0.00; nan; multi
2017-06-22; 00:00:00;         0.00; nan; multi
2017-06-30; 00:00:00;         0.00; nan; multi
2017-07-07; 00:00:00;         8.74; nan; multi
2017-07-12; 00:00:00;        38.20; nan; multi
2017-07-16; 00:00:00;        10.58; nan; multi
2017-07-24; 00:00:00;         0.00; nan; multi
2017-08-09; 00:00:00;         0.00; nan; multi
2017-08-11; 00:00:00;         0.00; nan; multi
2017-09-10; 00:00:00;        50.65; nan; multi
2017-09-26; 00:00:00;        45.18; nan; multi
2017-09-30; 00:00:00;        61.98; nan; multi
2017-10-15; 00:00:00;        66.76; nan; multi
2017-10-20; 00:00:00;       116.14; nan; multi
2017-10-25; 00:00:00;       206.36; nan; multi
2017-10-28; 00:00:00;       215.18; nan; multi
2017-11-04; 00:00:00;        42.65; nan; multi
2017-11-05; 00:00:00;        38.20; nan; multi
2017-11-06; 00:00:00;        34.54; nan; multi
2017-11-09; 00:00:00;        23.13; nan; multi
2017-11-13; 00:00:00;        15.15; nan; multi
2017-11-14; 00:00:00;        11.61; nan; multi
2017-11-19; 00:00:00;         0.00; nan; multi
2017-11-21; 00:00:00;         0.00; nan; multi
2017-11-22; 00:00:00;         0.00; nan; multi
2017-11-24; 00:00:00;         0.00; nan; multi
2017-11-29; 00:00:00;         0.00; nan; multi
2017-12-08; 00:00:00;         0.00; nan; multi
2017-12-09; 00:00:00;         0.00; nan; multi
2017-12-14; 00:00:00;         0.00; nan; multi
2017-12-19; 00:00:00;         0.00; nan; multi
2017-12-24; 00:00:00;         0.00; nan; multi
2017-12-31; 00:00:00;         0.00; nan; multi
2018-01-03; 00:00:00;         0.00; nan; multi
2018-01-08; 00:00:00;         0.00; nan; multi
2018-01-09; 00:00:00;         0.00; nan; multi
