# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CHAD
# River:                 LOGONE
# Station:               LAI
# Country:               CHAD
# Latitude (DD):         9.475
# Longitude (DD):        16.27
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-14 - 2022-12-31
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2018-06-04 - 2022-08-07
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 646
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-14; 00:00:00;       194.26; nan; multi
2000-04-02; 00:00:00;       158.88; nan; multi
2000-05-04; 00:00:00;       118.52; nan; multi
2000-08-08; 00:00:00;      1443.07; nan; multi
2000-10-27; 00:00:00;       738.64; nan; multi
2000-12-30; 00:00:00;       172.69; nan; multi
2001-03-04; 00:00:00;       171.00; nan; multi
2001-04-21; 00:00:00;       140.00; nan; multi
2001-05-07; 00:00:00;       185.66; nan; multi
2001-05-23; 00:00:00;       894.42; nan; multi
2001-08-27; 00:00:00;      1126.27; nan; multi
2001-09-28; 00:00:00;       570.46; nan; multi
2001-11-15; 00:00:00;       298.19; nan; multi
2002-01-02; 00:00:00;       156.04; nan; multi
2002-02-19; 00:00:00;       148.05; nan; multi
2002-03-07; 00:00:00;       158.07; nan; multi
2002-06-27; 00:00:00;       541.49; nan; multi
2002-07-29; 00:00:00;      1261.89; nan; multi
2002-10-17; 00:00:00;       446.28; nan; multi
2002-11-18; 00:00:00;       288.94; nan; multi
2003-01-05; 00:00:00;       178.90; nan; multi
2003-02-22; 00:00:00;        65.00; nan; multi
2003-03-10; 00:00:00;       182.00; nan; multi
2003-04-11; 00:00:00;       187.71; nan; multi
2003-05-13; 00:00:00;       136.84; nan; multi
2003-10-04; 00:00:00;       863.19; nan; multi
2003-10-20; 00:00:00;      1472.33; nan; multi
2003-11-05; 00:00:00;       539.64; nan; multi
2003-12-07; 00:00:00;       171.00; nan; multi
2004-01-24; 00:00:00;       149.06; nan; multi
2004-03-12; 00:00:00;       166.79; nan; multi
2004-04-13; 00:00:00;       182.00; nan; multi
2004-04-29; 00:00:00;        98.38; nan; multi
2004-08-03; 00:00:00;       251.00; nan; multi
2004-09-20; 00:00:00;      1537.75; nan; multi
2004-11-23; 00:00:00;       171.02; nan; multi
2004-12-25; 00:00:00;        97.49; nan; multi
2005-01-10; 00:00:00;       104.00; nan; multi
2005-02-11; 00:00:00;        84.00; nan; multi
2005-03-15; 00:00:00;       138.72; nan; multi
2005-03-31; 00:00:00;       128.00; nan; multi
2005-04-16; 00:00:00;       128.32; nan; multi
2005-10-25; 00:00:00;       568.53; nan; multi
2005-11-10; 00:00:00;       270.59; nan; multi
2005-12-28; 00:00:00;       104.00; nan; multi
2006-01-13; 00:00:00;        92.67; nan; multi
2006-01-29; 00:00:00;       108.32; nan; multi
2006-03-02; 00:00:00;       101.00; nan; multi
2006-03-18; 00:00:00;       122.04; nan; multi
2006-04-03; 00:00:00;       113.00; nan; multi
2006-04-19; 00:00:00;       109.88; nan; multi
2006-09-26; 00:00:00;       896.15; nan; multi
2006-10-12; 00:00:00;      1569.52; nan; multi
2006-11-29; 00:00:00;       171.00; nan; multi
2006-12-15; 00:00:00;       162.78; nan; multi
2006-12-31; 00:00:00;       125.91; nan; multi
2007-02-01; 00:00:00;       127.93; nan; multi
2007-02-17; 00:00:00;       120.99; nan; multi
2007-03-05; 00:00:00;       115.00; nan; multi
2007-03-21; 00:00:00;       121.25; nan; multi
2007-04-22; 00:00:00;       108.01; nan; multi
2007-09-29; 00:00:00;      1000.11; nan; multi
2007-10-15; 00:00:00;       760.78; nan; multi
2007-10-31; 00:00:00;       320.54; nan; multi
2007-12-02; 00:00:00;       159.18; nan; multi
2007-12-18; 00:00:00;       137.23; nan; multi
2008-01-19; 00:00:00;       118.45; nan; multi
2008-03-23; 00:00:00;        54.43; nan; multi
2008-05-10; 00:00:00;       140.07; nan; multi
2008-06-11; 00:00:00;       147.89; nan; multi
2008-07-13; 00:00:00;       308.98; nan; multi
2008-10-17; 00:00:00;       903.14; nan; multi
2008-11-02; 00:00:00;       494.45; nan; multi
2008-12-04; 00:00:00;       171.00; nan; multi
2008-12-20; 00:00:00;       152.01; nan; multi
2009-01-05; 00:00:00;       128.00; nan; multi
2009-02-06; 00:00:00;       107.96; nan; multi
2009-03-26; 00:00:00;       115.00; nan; multi
2009-05-13; 00:00:00;        68.00; nan; multi
2009-08-17; 00:00:00;       499.32; nan; multi
2009-10-04; 00:00:00;       902.68; nan; multi
2009-12-07; 00:00:00;       178.14; nan; multi
2009-12-23; 00:00:00;       174.61; nan; multi
2010-01-08; 00:00:00;       128.01; nan; multi
2010-01-24; 00:00:00;       114.74; nan; multi
2010-03-29; 00:00:00;       115.00; nan; multi
2010-05-16; 00:00:00;       125.65; nan; multi
2011-01-27; 00:00:00;        92.59; nan; multi
2011-03-16; 00:00:00;       110.89; nan; multi
2011-04-01; 00:00:00;       111.45; nan; multi
2011-04-17; 00:00:00;       109.93; nan; multi
2011-10-10; 00:00:00;       492.95; nan; multi
2011-10-26; 00:00:00;       732.35; nan; multi
2011-11-11; 00:00:00;       385.19; nan; multi
2011-11-27; 00:00:00;       239.83; nan; multi
2011-12-13; 00:00:00;       159.79; nan; multi
2011-12-29; 00:00:00;       146.79; nan; multi
2012-01-14; 00:00:00;       121.00; nan; multi
2012-02-15; 00:00:00;       138.50; nan; multi
2012-03-02; 00:00:00;       114.91; nan; multi
2012-04-03; 00:00:00;       113.00; nan; multi
2012-04-19; 00:00:00;        96.00; nan; multi
2012-05-05; 00:00:00;        60.35; nan; multi
2012-06-22; 00:00:00;       264.45; nan; multi
2012-09-10; 00:00:00;       801.30; nan; multi
2012-09-26; 00:00:00;       762.72; nan; multi
2012-10-12; 00:00:00;      1458.43; nan; multi
2012-10-28; 00:00:00;       442.30; nan; multi
2012-11-29; 00:00:00;       171.00; nan; multi
2012-12-31; 00:00:00;       140.54; nan; multi
2013-01-16; 00:00:00;       127.22; nan; multi
2013-02-17; 00:00:00;       112.98; nan; multi
2013-03-05; 00:00:00;       121.00; nan; multi
2013-04-14; 00:00:00;       152.00; nan; multi
2013-04-30; 00:00:00;       160.26; nan; multi
2013-05-16; 00:00:00;       168.44; nan; multi
2013-10-23; 00:00:00;       757.09; nan; multi
2013-10-31; 00:00:00;       359.84; nan; multi
2013-11-08; 00:00:00;       281.68; nan; multi
2013-11-24; 00:00:00;       477.42; nan; multi
2013-12-02; 00:00:00;       139.85; nan; multi
2013-12-10; 00:00:00;       182.00; nan; multi
2013-12-18; 00:00:00;       140.80; nan; multi
2013-12-26; 00:00:00;       135.98; nan; multi
2014-01-03; 00:00:00;       119.44; nan; multi
2014-01-11; 00:00:00;       125.07; nan; multi
2014-01-19; 00:00:00;       110.51; nan; multi
2014-02-04; 00:00:00;       104.00; nan; multi
