# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CHAD
# River:                 CHAD
# Station:               MAILAO
# Country:               CIAD
# Latitude (DD):         10.9255
# Longitude (DD):        15.5559
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-05 - 2022-12-29
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-12-17 - 2022-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 654
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-05; 00:00:00;      1121.59; nan; multi
2000-04-25; 00:00:00;       298.93; nan; multi
2000-06-12; 00:00:00;       455.20; nan; multi
2000-10-02; 00:00:00;      1441.51; nan; multi
2000-10-18; 00:00:00;      1363.73; nan; multi
2000-11-19; 00:00:00;       809.27; nan; multi
2001-02-07; 00:00:00;       126.18; nan; multi
2001-03-27; 00:00:00;        36.40; nan; multi
2001-04-12; 00:00:00;        27.00; nan; multi
2001-05-30; 00:00:00;       394.81; nan; multi
2001-08-02; 00:00:00;      1443.00; nan; multi
2001-09-19; 00:00:00;       187.78; nan; multi
2001-10-21; 00:00:00;      1342.27; nan; multi
2002-01-09; 00:00:00;      1240.84; nan; multi
2002-03-14; 00:00:00;       128.52; nan; multi
2002-05-17; 00:00:00;        58.42; nan; multi
2002-07-04; 00:00:00;       173.89; nan; multi
2002-09-22; 00:00:00;      1333.59; nan; multi
2002-10-08; 00:00:00;      1354.09; nan; multi
2002-11-25; 00:00:00;       533.72; nan; multi
2003-01-12; 00:00:00;       455.21; nan; multi
2003-03-01; 00:00:00;       188.27; nan; multi
2003-05-04; 00:00:00;       193.06; nan; multi
2003-08-08; 00:00:00;       317.24; nan; multi
2003-11-28; 00:00:00;       322.94; nan; multi
