# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CHAD
# River:                 CHAD
# Station:               NDJAMENA
# Country:               CIAD
# Latitude (DD):         12.135
# Longitude (DD):        14.924
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-05 - 2022-12-31
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-12-17 - 2022-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3578
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-05; 00:00:00;       235.25; nan; multi
2000-04-25; 00:00:00;        45.52; nan; multi
2000-06-12; 00:00:00;       107.29; nan; multi
2000-10-18; 00:00:00;       342.01; nan; multi
2000-11-19; 00:00:00;       442.74; nan; multi
2001-02-07; 00:00:00;       167.54; nan; multi
2001-03-27; 00:00:00;        52.14; nan; multi
2001-04-12; 00:00:00;        23.62; nan; multi
2001-05-30; 00:00:00;       149.39; nan; multi
2001-08-02; 00:00:00;      3897.31; nan; multi
2001-09-03; 00:00:00;      4667.67; nan; multi
2001-10-05; 00:00:00;      3273.27; nan; multi
2001-10-21; 00:00:00;      3521.61; nan; multi
2002-01-09; 00:00:00;       375.32; nan; multi
2002-03-14; 00:00:00;       131.19; nan; multi
2002-05-01; 00:00:00;        18.82; nan; multi
2002-05-17; 00:00:00;       141.60; nan; multi
2002-07-04; 00:00:00;         5.86; nan; multi
2002-07-06; 00:00:00;        23.19; nan; multi
2002-07-10; 00:00:00;       325.88; nan; multi
2002-07-15; 00:00:00;      4628.64; nan; multi
2002-07-29; 00:00:00;        96.77; nan; multi
2002-08-09; 00:00:00;       494.54; nan; multi
2002-08-11; 00:00:00;      2417.89; nan; multi
