# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 COLVILLE
# River:                 COLVILLE
# Station:               UMIAT
# Country:               UNITEDSTATES
# Latitude (DD):         69.36
# Longitude (DD):        -152.12
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-09 - 2023-09-20
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      U.S. Geological Survey (USGS)
# Calibration period:    2016-05-09 - 2023-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1058
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-09; 00:00:00;      2806.84; nan; multi
2000-06-16; 00:00:00;      1833.07; nan; multi
2000-06-25; 00:00:00;       947.08; nan; multi
2000-08-28; 00:00:00;       597.94; nan; multi
2000-09-04; 00:00:00;       572.38; nan; multi
2001-06-09; 00:00:00;      1394.74; nan; multi
2001-06-11; 00:00:00;       715.27; nan; multi
2001-06-13; 00:00:00;       789.94; nan; multi
2001-06-28; 00:00:00;       844.87; nan; multi
2001-07-03; 00:00:00;       418.78; nan; multi
2001-07-08; 00:00:00;      1297.02; nan; multi
2001-07-11; 00:00:00;      1193.98; nan; multi
2001-07-13; 00:00:00;       997.76; nan; multi
2001-07-14; 00:00:00;       793.71; nan; multi
2001-07-15; 00:00:00;       915.03; nan; multi
2001-07-16; 00:00:00;       842.81; nan; multi
2001-08-01; 00:00:00;       623.34; nan; multi
2001-08-03; 00:00:00;       712.82; nan; multi
2001-08-06; 00:00:00;       716.98; nan; multi
2001-08-18; 00:00:00;      3327.33; nan; multi
2001-08-19; 00:00:00;      1565.44; nan; multi
2001-08-25; 00:00:00;       628.42; nan; multi
2001-08-26; 00:00:00;       551.69; nan; multi
2001-08-28; 00:00:00;       378.05; nan; multi
2001-08-30; 00:00:00;       320.81; nan; multi
2001-09-06; 00:00:00;       408.87; nan; multi
2001-09-08; 00:00:00;       344.46; nan; multi
2001-09-10; 00:00:00;       302.07; nan; multi
2001-09-11; 00:00:00;       306.82; nan; multi
2001-09-12; 00:00:00;       304.24; nan; multi
2001-09-13; 00:00:00;       314.45; nan; multi
2001-09-16; 00:00:00;       301.63; nan; multi
2001-09-17; 00:00:00;       283.61; nan; multi
2001-09-18; 00:00:00;       293.07; nan; multi
2001-09-19; 00:00:00;       280.66; nan; multi
2001-09-20; 00:00:00;       281.55; nan; multi
2002-06-05; 00:00:00;      2145.81; nan; multi
2002-06-06; 00:00:00;      2564.86; nan; multi
2002-06-07; 00:00:00;      2481.77; nan; multi
2002-06-08; 00:00:00;      2190.33; nan; multi
2002-06-10; 00:00:00;      1947.01; nan; multi
2002-06-12; 00:00:00;      1870.96; nan; multi
2002-06-13; 00:00:00;      1590.45; nan; multi
2002-06-15; 00:00:00;      1254.67; nan; multi
2002-06-18; 00:00:00;       940.98; nan; multi
2002-06-25; 00:00:00;      1225.85; nan; multi
2002-06-26; 00:00:00;      1029.07; nan; multi
2002-07-10; 00:00:00;      1300.57; nan; multi
2002-07-11; 00:00:00;       896.45; nan; multi
2002-07-12; 00:00:00;       793.14; nan; multi
2002-07-14; 00:00:00;       709.47; nan; multi
2002-07-15; 00:00:00;       628.70; nan; multi
2002-07-17; 00:00:00;       568.26; nan; multi
2002-07-18; 00:00:00;       520.80; nan; multi
2002-07-19; 00:00:00;       489.15; nan; multi
2002-07-20; 00:00:00;       502.36; nan; multi
2002-07-21; 00:00:00;       483.00; nan; multi
2002-07-24; 00:00:00;       520.67; nan; multi
2002-07-28; 00:00:00;       437.49; nan; multi
2002-07-29; 00:00:00;       406.90; nan; multi
2002-07-30; 00:00:00;       371.75; nan; multi
2002-08-01; 00:00:00;       341.22; nan; multi
2002-08-02; 00:00:00;       322.93; nan; multi
2002-08-03; 00:00:00;       312.54; nan; multi
2002-08-14; 00:00:00;       359.46; nan; multi
2002-08-15; 00:00:00;       318.96; nan; multi
2002-08-22; 00:00:00;       451.83; nan; multi
2002-08-23; 00:00:00;       471.72; nan; multi
2002-08-25; 00:00:00;       523.12; nan; multi
2002-08-30; 00:00:00;       413.87; nan; multi
2002-09-04; 00:00:00;       565.42; nan; multi
2002-09-07; 00:00:00;       675.11; nan; multi
2002-09-15; 00:00:00;       585.71; nan; multi
2003-06-05; 00:00:00;       730.06; nan; multi
2003-06-06; 00:00:00;      1057.52; nan; multi
2003-06-07; 00:00:00;      1201.66; nan; multi
2003-06-08; 00:00:00;      1335.70; nan; multi
2003-06-09; 00:00:00;      1449.78; nan; multi
2003-06-10; 00:00:00;      1586.15; nan; multi
2003-06-11; 00:00:00;      1725.43; nan; multi
2003-06-13; 00:00:00;      1771.30; nan; multi
2003-06-14; 00:00:00;      1708.71; nan; multi
2003-06-15; 00:00:00;      1648.05; nan; multi
2003-06-16; 00:00:00;      1627.54; nan; multi
2003-06-17; 00:00:00;      1648.98; nan; multi
2003-06-18; 00:00:00;      1576.79; nan; multi
2003-06-19; 00:00:00;      1502.07; nan; multi
2003-06-20; 00:00:00;      1425.04; nan; multi
2003-06-21; 00:00:00;      1362.14; nan; multi
2003-06-22; 00:00:00;      1256.77; nan; multi
2003-06-23; 00:00:00;      1165.83; nan; multi
2003-06-24; 00:00:00;      1051.85; nan; multi
2003-06-25; 00:00:00;       956.32; nan; multi
2003-06-27; 00:00:00;       929.08; nan; multi
2003-06-28; 00:00:00;       896.54; nan; multi
2003-06-29; 00:00:00;       820.31; nan; multi
2003-07-04; 00:00:00;       770.54; nan; multi
2003-07-09; 00:00:00;       547.07; nan; multi
2003-07-12; 00:00:00;      3190.48; nan; multi
2003-07-18; 00:00:00;      1263.01; nan; multi
2003-07-19; 00:00:00;       779.32; nan; multi
2003-07-20; 00:00:00;       651.72; nan; multi
2003-07-21; 00:00:00;       552.78; nan; multi
2003-08-04; 00:00:00;       562.81; nan; multi
2003-08-05; 00:00:00;       557.85; nan; multi
2003-08-08; 00:00:00;       476.20; nan; multi
2003-08-09; 00:00:00;       471.92; nan; multi
2003-08-28; 00:00:00;       594.12; nan; multi
2003-08-29; 00:00:00;       619.06; nan; multi
2003-09-07; 00:00:00;       889.60; nan; multi
2003-09-17; 00:00:00;       728.95; nan; multi
2004-06-04; 00:00:00;      1180.01; nan; multi
2004-06-05; 00:00:00;       942.56; nan; multi
2004-06-06; 00:00:00;      1006.73; nan; multi
2004-06-07; 00:00:00;       895.46; nan; multi
2004-06-08; 00:00:00;       855.35; nan; multi
2004-06-09; 00:00:00;       827.09; nan; multi
2004-06-13; 00:00:00;       777.53; nan; multi
2004-06-14; 00:00:00;       671.20; nan; multi
2004-06-15; 00:00:00;       625.26; nan; multi
2004-06-16; 00:00:00;       579.85; nan; multi
2004-06-18; 00:00:00;       543.98; nan; multi
2004-06-19; 00:00:00;       524.68; nan; multi
2004-06-20; 00:00:00;       514.45; nan; multi
2004-06-21; 00:00:00;       507.18; nan; multi
2004-06-22; 00:00:00;       535.09; nan; multi
2004-06-23; 00:00:00;       549.25; nan; multi
2004-06-27; 00:00:00;       481.55; nan; multi
2004-06-28; 00:00:00;       461.20; nan; multi
2004-06-29; 00:00:00;       440.87; nan; multi
2004-06-30; 00:00:00;       437.60; nan; multi
2004-07-01; 00:00:00;       443.29; nan; multi
2004-07-02; 00:00:00;       427.61; nan; multi
2004-07-03; 00:00:00;       425.65; nan; multi
2004-07-08; 00:00:00;       459.22; nan; multi
2004-07-13; 00:00:00;       467.40; nan; multi
2004-07-15; 00:00:00;       436.76; nan; multi
2004-07-22; 00:00:00;       564.22; nan; multi
2004-07-23; 00:00:00;       600.87; nan; multi
2004-07-24; 00:00:00;       577.69; nan; multi
2004-07-25; 00:00:00;       533.09; nan; multi
2004-07-26; 00:00:00;       538.55; nan; multi
2004-07-29; 00:00:00;       477.89; nan; multi
2004-08-04; 00:00:00;       448.54; nan; multi
2004-08-05; 00:00:00;       408.09; nan; multi
2004-08-11; 00:00:00;       403.72; nan; multi
2004-08-12; 00:00:00;       402.46; nan; multi
2004-08-14; 00:00:00;       438.97; nan; multi
2004-08-15; 00:00:00;       483.00; nan; multi
2004-08-16; 00:00:00;       520.45; nan; multi
2004-08-17; 00:00:00;       511.41; nan; multi
2004-08-18; 00:00:00;       523.28; nan; multi
2004-08-19; 00:00:00;       531.09; nan; multi
2004-08-20; 00:00:00;       535.78; nan; multi
2004-08-21; 00:00:00;       539.61; nan; multi
2004-08-22; 00:00:00;       530.19; nan; multi
2004-08-27; 00:00:00;       507.91; nan; multi
2004-08-28; 00:00:00;       498.51; nan; multi
2004-08-30; 00:00:00;       491.15; nan; multi
2004-09-05; 00:00:00;       681.91; nan; multi
2004-09-06; 00:00:00;       733.82; nan; multi
2004-09-17; 00:00:00;       659.45; nan; multi
2004-09-18; 00:00:00;       630.44; nan; multi
2004-09-19; 00:00:00;       605.52; nan; multi
2005-06-05; 00:00:00;      1359.59; nan; multi
2005-06-07; 00:00:00;      1407.36; nan; multi
2005-06-14; 00:00:00;       785.02; nan; multi
2005-06-15; 00:00:00;       987.76; nan; multi
2005-06-16; 00:00:00;      1094.44; nan; multi
2005-06-17; 00:00:00;      1412.54; nan; multi
2005-06-18; 00:00:00;      1259.77; nan; multi
2005-06-20; 00:00:00;      1064.63; nan; multi
2005-06-21; 00:00:00;       929.69; nan; multi
2005-06-22; 00:00:00;       806.22; nan; multi
2005-06-23; 00:00:00;       748.81; nan; multi
2005-06-24; 00:00:00;       704.76; nan; multi
2005-06-25; 00:00:00;       630.29; nan; multi
2005-06-26; 00:00:00;       584.87; nan; multi
2005-06-27; 00:00:00;       542.25; nan; multi
2005-06-28; 00:00:00;       494.03; nan; multi
2005-06-29; 00:00:00;       461.73; nan; multi
2005-07-07; 00:00:00;       423.24; nan; multi
2005-07-08; 00:00:00;       436.31; nan; multi
2005-07-09; 00:00:00;       455.11; nan; multi
2005-07-13; 00:00:00;       580.61; nan; multi
2005-07-16; 00:00:00;       538.50; nan; multi
