# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CONGO
# River:                 UBANGI
# Station:               BANGUI
# Country:               CENTRALAFRICANREPUBLIC
# Latitude (DD):         4.3667
# Longitude (DD):        18.5833
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-29 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Amazon basin water ressources observation service (SO-HYBAM)
# Calibration period:    2008-01-29 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2518
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-29; 00:00:00;       223.19; nan; multi
2000-03-03; 00:00:00;       137.78; nan; multi
2000-03-05; 00:00:00;       114.33; nan; multi
2000-03-06; 00:00:00;       109.65; nan; multi
2000-03-07; 00:00:00;       105.52; nan; multi
2000-03-12; 00:00:00;       105.59; nan; multi
2000-03-13; 00:00:00;       108.11; nan; multi
2000-03-30; 00:00:00;       112.55; nan; multi
2000-04-01; 00:00:00;       109.31; nan; multi
2000-04-02; 00:00:00;       105.54; nan; multi
2000-04-16; 00:00:00;       106.57; nan; multi
2000-04-22; 00:00:00;       106.86; nan; multi
2000-04-24; 00:00:00;       105.72; nan; multi
2000-05-04; 00:00:00;       106.61; nan; multi
2000-05-06; 00:00:00;       106.73; nan; multi
2000-05-08; 00:00:00;       105.69; nan; multi
2000-05-21; 00:00:00;       208.81; nan; multi
2000-05-22; 00:00:00;       143.81; nan; multi
2000-05-31; 00:00:00;       111.65; nan; multi
2000-07-06; 00:00:00;       122.60; nan; multi
2000-08-26; 00:00:00;      7294.53; nan; multi
2000-08-28; 00:00:00;      7322.21; nan; multi
2000-09-21; 00:00:00;      3011.44; nan; multi
2000-09-24; 00:00:00;      7253.38; nan; multi
2000-10-23; 00:00:00;      7248.92; nan; multi
2000-10-29; 00:00:00;      7017.44; nan; multi
2000-11-05; 00:00:00;      7254.92; nan; multi
2000-11-09; 00:00:00;      7316.09; nan; multi
2000-11-13; 00:00:00;      3050.13; nan; multi
2000-11-20; 00:00:00;      4365.03; nan; multi
2000-11-21; 00:00:00;      4255.46; nan; multi
2000-11-23; 00:00:00;      5716.88; nan; multi
2000-11-27; 00:00:00;      2895.75; nan; multi
2000-11-28; 00:00:00;      3423.42; nan; multi
2000-12-02; 00:00:00;      5120.41; nan; multi
2000-12-03; 00:00:00;      3678.69; nan; multi
2000-12-04; 00:00:00;      4298.48; nan; multi
2000-12-09; 00:00:00;      5327.99; nan; multi
2000-12-12; 00:00:00;      4770.96; nan; multi
2000-12-13; 00:00:00;      2185.22; nan; multi
2000-12-18; 00:00:00;      2037.26; nan; multi
2000-12-27; 00:00:00;      1116.56; nan; multi
2000-12-30; 00:00:00;      1062.54; nan; multi
2001-01-01; 00:00:00;       691.51; nan; multi
2001-01-03; 00:00:00;       442.17; nan; multi
2001-01-05; 00:00:00;       487.53; nan; multi
2001-01-06; 00:00:00;       449.11; nan; multi
2001-01-07; 00:00:00;       374.09; nan; multi
2001-01-08; 00:00:00;       309.30; nan; multi
2001-01-10; 00:00:00;       303.09; nan; multi
2001-01-12; 00:00:00;       290.84; nan; multi
2001-01-14; 00:00:00;       325.58; nan; multi
2001-01-15; 00:00:00;       273.33; nan; multi
2001-01-17; 00:00:00;       211.98; nan; multi
2001-01-22; 00:00:00;       149.03; nan; multi
2001-01-23; 00:00:00;       252.07; nan; multi
2001-01-26; 00:00:00;       183.86; nan; multi
2001-01-27; 00:00:00;       154.16; nan; multi
2001-01-28; 00:00:00;       135.40; nan; multi
2001-01-29; 00:00:00;       115.66; nan; multi
2001-01-30; 00:00:00;       110.16; nan; multi
2001-02-01; 00:00:00;       109.64; nan; multi
2001-02-02; 00:00:00;       106.55; nan; multi
2001-02-04; 00:00:00;       106.10; nan; multi
2001-02-05; 00:00:00;       110.87; nan; multi
2001-02-06; 00:00:00;       121.37; nan; multi
2001-02-07; 00:00:00;       117.68; nan; multi
2001-02-08; 00:00:00;       163.09; nan; multi
2001-02-09; 00:00:00;       137.02; nan; multi
2001-02-11; 00:00:00;       121.70; nan; multi
2001-02-13; 00:00:00;       116.80; nan; multi
2001-02-14; 00:00:00;       108.22; nan; multi
2001-02-17; 00:00:00;       119.40; nan; multi
2001-02-18; 00:00:00;       111.68; nan; multi
2001-02-20; 00:00:00;       109.89; nan; multi
2001-02-25; 00:00:00;       105.82; nan; multi
2001-02-27; 00:00:00;       105.97; nan; multi
2001-03-04; 00:00:00;       113.38; nan; multi
2001-03-11; 00:00:00;       118.28; nan; multi
2001-04-12; 00:00:00;       105.84; nan; multi
2001-04-21; 00:00:00;       131.05; nan; multi
2001-04-23; 00:00:00;       132.32; nan; multi
2001-05-03; 00:00:00;       288.38; nan; multi
2001-05-06; 00:00:00;       438.09; nan; multi
2001-05-08; 00:00:00;       238.07; nan; multi
2001-05-09; 00:00:00;       186.50; nan; multi
2001-05-11; 00:00:00;       156.92; nan; multi
2001-06-06; 00:00:00;      7309.94; nan; multi
2001-06-14; 00:00:00;      7342.83; nan; multi
2001-08-01; 00:00:00;      7362.23; nan; multi
2001-08-20; 00:00:00;       410.99; nan; multi
2001-08-29; 00:00:00;      3235.45; nan; multi
2001-09-07; 00:00:00;      7383.66; nan; multi
2001-09-14; 00:00:00;      5310.01; nan; multi
2001-09-18; 00:00:00;      7337.08; nan; multi
2001-10-05; 00:00:00;      6486.30; nan; multi
2001-10-11; 00:00:00;      7289.34; nan; multi
2001-10-20; 00:00:00;      6195.61; nan; multi
2001-10-21; 00:00:00;      6962.73; nan; multi
2001-10-27; 00:00:00;      7036.73; nan; multi
2001-11-01; 00:00:00;      7238.09; nan; multi
2001-11-07; 00:00:00;      7436.74; nan; multi
2001-11-08; 00:00:00;      7276.94; nan; multi
2001-11-14; 00:00:00;      7247.21; nan; multi
2001-11-17; 00:00:00;      7217.07; nan; multi
2001-11-19; 00:00:00;      7247.92; nan; multi
2001-11-22; 00:00:00;      6796.72; nan; multi
2001-11-26; 00:00:00;      6910.39; nan; multi
2001-11-29; 00:00:00;      5021.97; nan; multi
2001-12-02; 00:00:00;      7313.84; nan; multi
2001-12-05; 00:00:00;      7237.60; nan; multi
2001-12-07; 00:00:00;      6397.85; nan; multi
2001-12-08; 00:00:00;      4724.24; nan; multi
2001-12-09; 00:00:00;      3477.75; nan; multi
2001-12-12; 00:00:00;      4165.75; nan; multi
2001-12-15; 00:00:00;      3279.42; nan; multi
2001-12-21; 00:00:00;      4340.17; nan; multi
2001-12-25; 00:00:00;      1796.58; nan; multi
2002-01-01; 00:00:00;      1947.86; nan; multi
2002-01-11; 00:00:00;       788.31; nan; multi
2002-01-13; 00:00:00;      1043.39; nan; multi
2002-01-15; 00:00:00;      1157.98; nan; multi
2002-01-20; 00:00:00;       586.00; nan; multi
2002-01-24; 00:00:00;       599.23; nan; multi
2002-01-27; 00:00:00;       281.23; nan; multi
2002-01-29; 00:00:00;       349.31; nan; multi
2002-01-31; 00:00:00;       310.36; nan; multi
2002-02-01; 00:00:00;       191.14; nan; multi
2002-02-02; 00:00:00;       150.49; nan; multi
2002-02-03; 00:00:00;       149.26; nan; multi
2002-02-04; 00:00:00;       168.03; nan; multi
2002-02-05; 00:00:00;       156.19; nan; multi
2002-02-11; 00:00:00;       118.89; nan; multi
2002-02-12; 00:00:00;       106.85; nan; multi
