# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CONGO
# River:                 LUAPULA
# Station:               CHEMBE-FERRY
# Country:               ZAMBIA
# Latitude (DD):         -11.9766
# Longitude (DD):        28.75
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2002-07-05 - 2022-12-11
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2018-06-04 - 2022-08-07
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2929
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2002-07-05; 00:00:00;       718.94; nan; multi
2002-07-06; 00:00:00;       199.37; nan; multi
2002-07-07; 00:00:00;       145.31; nan; multi
2002-07-08; 00:00:00;       187.25; nan; multi
2002-07-09; 00:00:00;        90.26; nan; multi
2002-07-10; 00:00:00;       203.83; nan; multi
2002-07-12; 00:00:00;       252.95; nan; multi
2002-07-14; 00:00:00;       299.65; nan; multi
2002-07-15; 00:00:00;       219.10; nan; multi
2002-07-16; 00:00:00;       121.12; nan; multi
2002-07-17; 00:00:00;       157.31; nan; multi
2002-07-18; 00:00:00;        74.27; nan; multi
2002-07-19; 00:00:00;       100.79; nan; multi
2002-07-21; 00:00:00;       104.38; nan; multi
2002-07-22; 00:00:00;        60.54; nan; multi
2002-07-23; 00:00:00;        55.23; nan; multi
2002-07-24; 00:00:00;        56.50; nan; multi
2002-07-25; 00:00:00;        46.12; nan; multi
2002-07-26; 00:00:00;        84.67; nan; multi
2002-07-28; 00:00:00;       324.49; nan; multi
2002-08-08; 00:00:00;       107.57; nan; multi
2002-08-11; 00:00:00;       954.63; nan; multi
2002-08-14; 00:00:00;       371.33; nan; multi
2002-08-15; 00:00:00;       413.93; nan; multi
2002-08-16; 00:00:00;       373.37; nan; multi
2002-08-17; 00:00:00;       253.87; nan; multi
2002-08-18; 00:00:00;       421.60; nan; multi
2002-08-19; 00:00:00;       262.50; nan; multi
2002-08-20; 00:00:00;       552.60; nan; multi
2002-08-24; 00:00:00;       419.98; nan; multi
2002-08-26; 00:00:00;       210.76; nan; multi
2002-08-27; 00:00:00;       478.33; nan; multi
2002-08-29; 00:00:00;       642.16; nan; multi
2002-08-30; 00:00:00;       404.10; nan; multi
2002-09-05; 00:00:00;       772.84; nan; multi
