# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 CONGO
# River:                 CONGO
# Station:               KINSHASA
# Country:               CONGOBRAZZAVILLE
# Latitude (DD):         -4.332
# Longitude (DD):        15.2245
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-14 - 2023-09-29
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Amazon basin water ressources observation service (SO-HYBAM)
# Calibration period:    2008-05-05 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 858
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-14; 00:00:00;     32915.92; nan; multi
2000-09-02; 00:00:00;     34033.13; nan; multi
2001-01-08; 00:00:00;     45641.54; nan; multi
2001-02-25; 00:00:00;     43299.94; nan; multi
2001-03-29; 00:00:00;     38903.73; nan; multi
2001-04-30; 00:00:00;     42295.37; nan; multi
2001-06-17; 00:00:00;     30808.97; nan; multi
2001-12-10; 00:00:00;     54081.17; nan; multi
2002-01-27; 00:00:00;     50798.39; nan; multi
2002-04-01; 00:00:00;     42926.98; nan; multi
2002-07-27; 00:00:00;     29381.08; nan; multi
2002-08-22; 00:00:00;     38032.13; nan; multi
2002-10-26; 00:00:00;     43438.06; nan; multi
2002-11-16; 00:00:00;     50221.97; nan; multi
2002-12-04; 00:00:00;     47189.53; nan; multi
2003-02-04; 00:00:00;     49060.07; nan; multi
2003-02-15; 00:00:00;     43083.92; nan; multi
2003-06-07; 00:00:00;     29194.41; nan; multi
2003-06-30; 00:00:00;     30113.40; nan; multi
2003-07-24; 00:00:00;     40081.92; nan; multi
2003-08-09; 00:00:00;     40149.04; nan; multi
2003-08-20; 00:00:00;     40890.83; nan; multi
2003-12-03; 00:00:00;     51921.39; nan; multi
2003-12-09; 00:00:00;     46056.58; nan; multi
2004-02-07; 00:00:00;     53228.58; nan; multi
2004-02-16; 00:00:00;     50617.37; nan; multi
2004-03-19; 00:00:00;     30960.56; nan; multi
2004-05-03; 00:00:00;     44227.45; nan; multi
2004-05-06; 00:00:00;     43076.35; nan; multi
2004-06-25; 00:00:00;     29755.73; nan; multi
2004-07-11; 00:00:00;     36493.19; nan; multi
2004-09-04; 00:00:00;     32163.45; nan; multi
2004-12-02; 00:00:00;     54010.15; nan; multi
2005-01-11; 00:00:00;     52211.94; nan; multi
2005-01-15; 00:00:00;     51322.75; nan; multi
2005-02-09; 00:00:00;     47625.58; nan; multi
2005-02-20; 00:00:00;     38699.28; nan; multi
2005-02-28; 00:00:00;     39661.80; nan; multi
2005-05-09; 00:00:00;     45222.43; nan; multi
2005-06-28; 00:00:00;     32520.01; nan; multi
2005-08-31; 00:00:00;     30409.32; nan; multi
2005-11-01; 00:00:00;     49343.91; nan; multi
2005-12-26; 00:00:00;     54864.76; nan; multi
2006-01-16; 00:00:00;     53656.57; nan; multi
2006-03-09; 00:00:00;     40613.63; nan; multi
2006-04-06; 00:00:00;     40775.65; nan; multi
2006-04-22; 00:00:00;     42956.05; nan; multi
2006-05-17; 00:00:00;     42654.74; nan; multi
2006-06-15; 00:00:00;     32693.57; nan; multi
2006-07-03; 00:00:00;     40151.15; nan; multi
2006-07-17; 00:00:00;     29498.61; nan; multi
2006-08-10; 00:00:00;     35706.46; nan; multi
2006-08-18; 00:00:00;     35318.32; nan; multi
2006-10-03; 00:00:00;     36196.72; nan; multi
2006-10-05; 00:00:00;     38539.33; nan; multi
2006-10-19; 00:00:00;     46227.67; nan; multi
2007-01-09; 00:00:00;     41865.79; nan; multi
2007-03-30; 00:00:00;     36933.66; nan; multi
2007-04-20; 00:00:00;     49711.00; nan; multi
2007-09-13; 00:00:00;     42408.51; nan; multi
2007-12-11; 00:00:00;     49412.63; nan; multi
2008-01-17; 00:00:00;     55055.26; nan; multi
2008-02-29; 00:00:00;     45409.25; nan; multi
2008-05-06; 00:00:00;     54769.28; nan; multi
2008-06-20; 00:00:00;     39755.48; nan; multi
2009-01-14; 00:00:00;     47778.17; nan; multi
2009-01-26; 00:00:00;     54824.37; nan; multi
2009-01-31; 00:00:00;     50232.44; nan; multi
2009-03-01; 00:00:00;     45773.96; nan; multi
2009-04-16; 00:00:00;     50067.26; nan; multi
2009-04-18; 00:00:00;     51061.87; nan; multi
2009-05-17; 00:00:00;     54353.97; nan; multi
2009-05-18; 00:00:00;     53129.76; nan; multi
2009-05-22; 00:00:00;     53189.93; nan; multi
2009-06-12; 00:00:00;     44306.93; nan; multi
2009-07-25; 00:00:00;     32484.89; nan; multi
2009-08-10; 00:00:00;     30343.88; nan; multi
2009-11-12; 00:00:00;     55184.90; nan; multi
2009-12-16; 00:00:00;     40923.37; nan; multi
2010-05-14; 00:00:00;     43359.71; nan; multi
2010-05-19; 00:00:00;     46250.32; nan; multi
2010-08-13; 00:00:00;     38722.03; nan; multi
2010-12-29; 00:00:00;     51695.84; nan; multi
2011-01-02; 00:00:00;     47521.25; nan; multi
2011-01-09; 00:00:00;     49222.16; nan; multi
2011-07-31; 00:00:00;     30228.01; nan; multi
2011-08-16; 00:00:00;     29642.52; nan; multi
2012-01-07; 00:00:00;     39582.79; nan; multi
2012-04-12; 00:00:00;     35780.64; nan; multi
2012-08-02; 00:00:00;     29959.80; nan; multi
2013-03-14; 00:00:00;     43657.69; nan; multi
2013-05-01; 00:00:00;     53928.04; nan; multi
2013-05-17; 00:00:00;     42273.31; nan; multi
2013-06-26; 00:00:00;     28903.93; nan; multi
2013-07-28; 00:00:00;     28877.93; nan; multi
2013-08-04; 00:00:00;     30569.17; nan; multi
2013-08-13; 00:00:00;     29192.17; nan; multi
2013-09-30; 00:00:00;     32758.71; nan; multi
2013-10-16; 00:00:00;     35248.83; nan; multi
2013-11-01; 00:00:00;     44429.12; nan; multi
2013-11-17; 00:00:00;     50743.26; nan; multi
2014-01-12; 00:00:00;     39456.81; nan; multi
2014-01-17; 00:00:00;     50913.63; nan; multi
2014-02-21; 00:00:00;     34533.03; nan; multi
2014-04-18; 00:00:00;     39328.75; nan; multi
2014-05-04; 00:00:00;     39693.59; nan; multi
2014-05-12; 00:00:00;     41179.51; nan; multi
2014-05-20; 00:00:00;     42032.91; nan; multi
2014-08-08; 00:00:00;     32840.42; nan; multi
2014-09-01; 00:00:00;     33921.60; nan; multi
2015-02-16; 00:00:00;     32782.63; nan; multi
2015-03-04; 00:00:00;     33766.79; nan; multi
2015-03-12; 00:00:00;     32038.39; nan; multi
2015-03-20; 00:00:00;     34012.40; nan; multi
2015-04-03; 00:00:00;     43003.20; nan; multi
2015-04-05; 00:00:00;     40906.54; nan; multi
2015-04-13; 00:00:00;     36258.16; nan; multi
2015-04-21; 00:00:00;     37687.82; nan; multi
2015-05-15; 00:00:00;     40603.51; nan; multi
2015-05-23; 00:00:00;     41397.62; nan; multi
2015-09-04; 00:00:00;     29379.41; nan; multi
2015-09-28; 00:00:00;     32974.96; nan; multi
2015-10-01; 00:00:00;     29226.95; nan; multi
2015-11-20; 00:00:00;     40020.94; nan; multi
2016-01-02; 00:00:00;     52628.96; nan; multi
2016-01-09; 00:00:00;     39754.49; nan; multi
2016-01-12; 00:00:00;     54353.89; nan; multi
2016-01-18; 00:00:00;     50354.95; nan; multi
2016-02-03; 00:00:00;     44736.51; nan; multi
2016-02-18; 00:00:00;     36464.89; nan; multi
2016-03-22; 00:00:00;     36991.26; nan; multi
2016-04-23; 00:00:00;     42487.54; nan; multi
