# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 DANUBE
# River:                 DANUBE
# Station:               BOGOJEVO
# Country:               SERBIA
# Latitude (DD):         45.53
# Longitude (DD):        19.08
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-25 - 2022-12-25
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-05-05 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 994
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-25; 00:00:00;      4366.66; nan; multi
2000-02-01; 00:00:00;      3557.90; nan; multi
2000-02-10; 00:00:00;      3941.30; nan; multi
2000-02-26; 00:00:00;      3871.36; nan; multi
2000-03-05; 00:00:00;      4244.59; nan; multi
2000-03-13; 00:00:00;      4147.08; nan; multi
2000-04-14; 00:00:00;      4840.95; nan; multi
2000-04-21; 00:00:00;      4589.72; nan; multi
2000-04-29; 00:00:00;      5047.58; nan; multi
2000-05-07; 00:00:00;      4973.10; nan; multi
2000-05-15; 00:00:00;      5100.71; nan; multi
2000-05-16; 00:00:00;      4969.92; nan; multi
2000-05-24; 00:00:00;      4839.70; nan; multi
2000-06-08; 00:00:00;      4456.75; nan; multi
2000-06-24; 00:00:00;      4100.12; nan; multi
2000-06-25; 00:00:00;      4106.16; nan; multi
2000-07-03; 00:00:00;      4058.26; nan; multi
2000-07-10; 00:00:00;      3736.16; nan; multi
2000-07-18; 00:00:00;      4163.35; nan; multi
2000-07-19; 00:00:00;      4237.14; nan; multi
2000-07-26; 00:00:00;      4211.70; nan; multi
2000-08-04; 00:00:00;      4472.28; nan; multi
2000-08-11; 00:00:00;      4207.34; nan; multi
2000-08-12; 00:00:00;      4145.95; nan; multi
2000-08-19; 00:00:00;      4099.77; nan; multi
2000-08-20; 00:00:00;      4045.58; nan; multi
2000-08-27; 00:00:00;      3569.89; nan; multi
2000-09-12; 00:00:00;      2989.34; nan; multi
2000-09-20; 00:00:00;      2296.61; nan; multi
2000-10-07; 00:00:00;      4332.88; nan; multi
2000-10-14; 00:00:00;      3936.11; nan; multi
2000-10-23; 00:00:00;      4340.03; nan; multi
2000-10-30; 00:00:00;      4037.36; nan; multi
2000-11-23; 00:00:00;      3429.23; nan; multi
2000-12-02; 00:00:00;      3084.37; nan; multi
2000-12-17; 00:00:00;      2474.39; nan; multi
2000-12-18; 00:00:00;      2450.91; nan; multi
2001-01-02; 00:00:00;      2630.00; nan; multi
2001-01-18; 00:00:00;      3253.17; nan; multi
