# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 DANUBE
# River:                 DANUBE
# Station:               CEATAL
# Country:               ROMANIA
# Latitude (DD):         45.2687
# Longitude (DD):        28.5315
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-03-14 - 2022-12-21
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-05-05 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3056
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-03-14; 00:00:00;      7136.03; nan; multi
2000-03-17; 00:00:00;      1861.73; nan; multi
2000-03-19; 00:00:00;      5105.60; nan; multi
2000-03-23; 00:00:00;      7469.32; nan; multi
2000-03-24; 00:00:00;     10059.87; nan; multi
2000-03-28; 00:00:00;     11663.02; nan; multi
2000-04-01; 00:00:00;      7053.46; nan; multi
2000-04-03; 00:00:00;      6799.29; nan; multi
2000-04-13; 00:00:00;     11195.90; nan; multi
2000-04-14; 00:00:00;     10043.54; nan; multi
2000-04-17; 00:00:00;      9058.36; nan; multi
2000-04-18; 00:00:00;      8077.20; nan; multi
2000-04-30; 00:00:00;      7360.68; nan; multi
2000-05-01; 00:00:00;      9693.17; nan; multi
2000-05-03; 00:00:00;     10566.74; nan; multi
2000-05-04; 00:00:00;     11292.74; nan; multi
2000-05-05; 00:00:00;     11172.50; nan; multi
2000-05-06; 00:00:00;     11805.80; nan; multi
2000-05-07; 00:00:00;     11486.74; nan; multi
2000-05-08; 00:00:00;     11976.56; nan; multi
2000-05-09; 00:00:00;     11636.96; nan; multi
2000-05-10; 00:00:00;     10879.85; nan; multi
2000-05-12; 00:00:00;      8930.93; nan; multi
2000-05-14; 00:00:00;      8564.41; nan; multi
2000-05-16; 00:00:00;      8124.59; nan; multi
2000-05-17; 00:00:00;      8778.29; nan; multi
2000-05-18; 00:00:00;      8998.77; nan; multi
2000-05-19; 00:00:00;      9063.65; nan; multi
2000-05-20; 00:00:00;      9581.40; nan; multi
2000-05-22; 00:00:00;     10012.87; nan; multi
2000-05-26; 00:00:00;      9824.58; nan; multi
2000-05-27; 00:00:00;     10134.88; nan; multi
2000-05-28; 00:00:00;      9524.09; nan; multi
2000-05-31; 00:00:00;      9010.78; nan; multi
2000-06-03; 00:00:00;      8142.73; nan; multi
2000-06-04; 00:00:00;      7851.85; nan; multi
2000-06-05; 00:00:00;      7863.24; nan; multi
2000-06-06; 00:00:00;      7242.65; nan; multi
2000-06-07; 00:00:00;      6993.41; nan; multi
2000-06-10; 00:00:00;      5961.96; nan; multi
2000-06-11; 00:00:00;      6345.96; nan; multi
2000-06-12; 00:00:00;      6362.70; nan; multi
2000-06-13; 00:00:00;      5279.50; nan; multi
2000-06-14; 00:00:00;      4606.96; nan; multi
2000-06-15; 00:00:00;      3714.26; nan; multi
2000-06-16; 00:00:00;      3533.69; nan; multi
2000-06-17; 00:00:00;      4994.04; nan; multi
2000-06-22; 00:00:00;      4327.90; nan; multi
2000-06-23; 00:00:00;      4561.23; nan; multi
2000-06-24; 00:00:00;      4637.81; nan; multi
2000-06-25; 00:00:00;      5116.32; nan; multi
2000-06-29; 00:00:00;      4734.22; nan; multi
2000-07-01; 00:00:00;      4177.25; nan; multi
2000-07-02; 00:00:00;      4110.20; nan; multi
2000-07-03; 00:00:00;      3949.53; nan; multi
