# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 DANUBE
# River:                 SIRET
# Station:               LUNGOCI
# Country:               ROMANIA
# Latitude (DD):         45.5559
# Longitude (DD):        27.5122
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-05-21 - 2022-12-13
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2002-08-18 - 2021-12-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 571
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-05-21; 00:00:00;       223.41; nan; multi
2000-06-06; 00:00:00;       186.92; nan; multi
2000-07-08; 00:00:00;       201.24; nan; multi
2000-08-09; 00:00:00;       188.21; nan; multi
2000-09-10; 00:00:00;       319.94; nan; multi
2001-07-27; 00:00:00;       272.18; nan; multi
2002-06-21; 00:00:00;       359.04; nan; multi
2002-06-28; 00:00:00;       331.01; nan; multi
2002-07-07; 00:00:00;       367.80; nan; multi
2003-07-01; 00:00:00;       149.71; nan; multi
2003-07-17; 00:00:00;       251.11; nan; multi
2003-08-02; 00:00:00;       310.80; nan; multi
2003-08-18; 00:00:00;       271.19; nan; multi
2003-09-19; 00:00:00;       209.63; nan; multi
2004-04-30; 00:00:00;       214.56; nan; multi
2004-05-16; 00:00:00;       154.76; nan; multi
2004-06-01; 00:00:00;       182.39; nan; multi
2004-09-05; 00:00:00;       252.70; nan; multi
2004-11-24; 00:00:00;       232.71; nan; multi
2004-12-10; 00:00:00;       199.30; nan; multi
2005-03-16; 00:00:00;       201.73; nan; multi
2005-04-01; 00:00:00;       374.47; nan; multi
2005-05-03; 00:00:00;       306.95; nan; multi
2005-05-19; 00:00:00;       283.94; nan; multi
2005-06-20; 00:00:00;       248.00; nan; multi
2005-07-22; 00:00:00;       379.63; nan; multi
2006-07-09; 00:00:00;       258.63; nan; multi
2006-07-25; 00:00:00;       137.16; nan; multi
2006-08-10; 00:00:00;       151.55; nan; multi
2006-09-11; 00:00:00;       174.43; nan; multi
2006-10-13; 00:00:00;        80.58; nan; multi
2006-10-29; 00:00:00;        46.90; nan; multi
2006-11-30; 00:00:00;        55.89; nan; multi
2006-12-16; 00:00:00;        37.58; nan; multi
2007-01-01; 00:00:00;        34.26; nan; multi
2007-03-06; 00:00:00;        44.77; nan; multi
2007-05-02; 00:00:00;       146.71; nan; multi
2007-05-25; 00:00:00;       152.18; nan; multi
2007-06-03; 00:00:00;       176.28; nan; multi
2007-06-10; 00:00:00;       139.12; nan; multi
2007-06-26; 00:00:00;        68.21; nan; multi
2007-07-28; 00:00:00;        58.17; nan; multi
2007-08-13; 00:00:00;       103.41; nan; multi
2007-08-29; 00:00:00;        84.12; nan; multi
2007-09-14; 00:00:00;       198.27; nan; multi
2007-09-30; 00:00:00;       136.03; nan; multi
2008-04-18; 00:00:00;       261.94; nan; multi
2008-04-25; 00:00:00;       581.33; nan; multi
2008-06-12; 00:00:00;       198.39; nan; multi
2008-07-14; 00:00:00;       114.55; nan; multi
2008-08-24; 00:00:00;       217.97; nan; multi
2008-08-31; 00:00:00;       165.85; nan; multi
2009-03-11; 00:00:00;        88.64; nan; multi
2009-04-12; 00:00:00;       263.44; nan; multi
2009-04-28; 00:00:00;       145.47; nan; multi
2009-05-14; 00:00:00;       141.83; nan; multi
2009-06-15; 00:00:00;        87.15; nan; multi
2009-07-01; 00:00:00;        58.43; nan; multi
2009-07-17; 00:00:00;       138.93; nan; multi
2009-08-02; 00:00:00;        67.29; nan; multi
2009-08-18; 00:00:00;        70.82; nan; multi
2009-09-03; 00:00:00;        70.27; nan; multi
2009-09-19; 00:00:00;        83.63; nan; multi
2009-10-05; 00:00:00;        71.10; nan; multi
2009-11-06; 00:00:00;        70.06; nan; multi
2009-11-22; 00:00:00;        56.34; nan; multi
2010-03-14; 00:00:00;       104.03; nan; multi
2010-05-01; 00:00:00;       130.77; nan; multi
2010-07-20; 00:00:00;       266.00; nan; multi
2010-08-21; 00:00:00;       265.35; nan; multi
2010-09-06; 00:00:00;       109.53; nan; multi
2010-09-22; 00:00:00;        89.33; nan; multi
2010-12-11; 00:00:00;       105.71; nan; multi
2011-04-18; 00:00:00;       289.46; nan; multi
2011-06-05; 00:00:00;       163.03; nan; multi
2011-06-21; 00:00:00;       157.20; nan; multi
2011-07-23; 00:00:00;        91.07; nan; multi
2011-08-08; 00:00:00;        86.32; nan; multi
2011-08-24; 00:00:00;        75.88; nan; multi
2011-09-25; 00:00:00;        52.41; nan; multi
2011-10-27; 00:00:00;        49.00; nan; multi
2013-04-23; 00:00:00;       280.19; nan; multi
2013-05-25; 00:00:00;       228.16; nan; multi
2013-06-10; 00:00:00;       656.30; nan; multi
2013-07-12; 00:00:00;       278.64; nan; multi
2013-07-28; 00:00:00;       262.32; nan; multi
2013-08-13; 00:00:00;       191.49; nan; multi
2013-08-29; 00:00:00;        20.73; nan; multi
2013-11-01; 00:00:00;       168.98; nan; multi
2013-12-03; 00:00:00;        57.41; nan; multi
2014-04-26; 00:00:00;      1429.52; nan; multi
2014-05-28; 00:00:00;       491.92; nan; multi
2014-06-29; 00:00:00;       311.85; nan; multi
2014-07-15; 00:00:00;       563.84; nan; multi
2014-07-31; 00:00:00;       500.68; nan; multi
2014-08-16; 00:00:00;       250.11; nan; multi
2014-09-01; 00:00:00;       113.62; nan; multi
2014-09-17; 00:00:00;        79.30; nan; multi
2014-10-19; 00:00:00;        60.59; nan; multi
2014-11-04; 00:00:00;        56.34; nan; multi
2015-03-12; 00:00:00;       277.35; nan; multi
2015-04-13; 00:00:00;       365.99; nan; multi
2015-05-15; 00:00:00;       320.66; nan; multi
2015-05-31; 00:00:00;       184.46; nan; multi
2015-06-16; 00:00:00;       153.60; nan; multi
2015-07-18; 00:00:00;       206.46; nan; multi
2015-08-03; 00:00:00;       128.07; nan; multi
2015-09-04; 00:00:00;        48.62; nan; multi
2015-09-20; 00:00:00;        97.32; nan; multi
2015-10-06; 00:00:00;        62.58; nan; multi
2016-03-02; 00:00:00;        77.19; nan; multi
2016-04-01; 00:00:00;       189.20; nan; multi
2016-04-21; 00:00:00;       256.37; nan; multi
2016-04-28; 00:00:00;       242.34; nan; multi
2016-05-01; 00:00:00;       220.78; nan; multi
2016-05-08; 00:00:00;       287.79; nan; multi
2016-05-11; 00:00:00;       301.56; nan; multi
2016-05-21; 00:00:00;       267.10; nan; multi
2016-05-28; 00:00:00;      2796.50; nan; multi
2016-06-07; 00:00:00;       855.07; nan; multi
2016-06-10; 00:00:00;      1220.10; nan; multi
2016-06-17; 00:00:00;      1006.28; nan; multi
2016-06-18; 00:00:00;       983.02; nan; multi
2016-06-30; 00:00:00;       498.01; nan; multi
