# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 DANUBE
# River:                 DANUBE
# Station:               MOHACS
# Country:               HUNGARY
# Latitude (DD):         46.0331
# Longitude (DD):        18.7055
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-16 - 2022-12-31
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-05-05 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1086
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-16; 00:00:00;      5932.90; nan; multi
2000-03-20; 00:00:00;      6365.64; nan; multi
2000-04-14; 00:00:00;      5750.93; nan; multi
2000-04-21; 00:00:00;      4873.18; nan; multi
2000-04-29; 00:00:00;      3594.57; nan; multi
2000-05-07; 00:00:00;      4242.09; nan; multi
2000-05-15; 00:00:00;      3439.74; nan; multi
2000-05-16; 00:00:00;      3345.65; nan; multi
2000-05-23; 00:00:00;      3064.63; nan; multi
2000-05-24; 00:00:00;      3102.58; nan; multi
2000-06-01; 00:00:00;      4580.89; nan; multi
2000-06-08; 00:00:00;      4069.98; nan; multi
2000-06-17; 00:00:00;      5755.59; nan; multi
2000-06-24; 00:00:00;      3665.86; nan; multi
2000-07-03; 00:00:00;      3522.16; nan; multi
2000-07-10; 00:00:00;      3688.45; nan; multi
2000-07-19; 00:00:00;      4434.67; nan; multi
2000-07-26; 00:00:00;      3644.32; nan; multi
2000-08-04; 00:00:00;      3549.57; nan; multi
2000-08-11; 00:00:00;      3164.01; nan; multi
2000-08-12; 00:00:00;      2986.35; nan; multi
2000-08-19; 00:00:00;      2906.28; nan; multi
2000-08-20; 00:00:00;      2918.48; nan; multi
2000-08-27; 00:00:00;      2694.68; nan; multi
2000-09-12; 00:00:00;      2451.79; nan; multi
2000-09-20; 00:00:00;      1730.75; nan; multi
2000-10-14; 00:00:00;      2619.43; nan; multi
2000-10-23; 00:00:00;      2670.33; nan; multi
2000-11-08; 00:00:00;      1224.61; nan; multi
2000-11-23; 00:00:00;      1609.58; nan; multi
2000-12-02; 00:00:00;      1431.08; nan; multi
2000-12-17; 00:00:00;       864.71; nan; multi
2000-12-18; 00:00:00;       861.55; nan; multi
2001-01-02; 00:00:00;      1420.21; nan; multi
2001-01-10; 00:00:00;      1214.69; nan; multi
2001-01-18; 00:00:00;      1910.13; nan; multi
2001-01-19; 00:00:00;      2002.95; nan; multi
2001-03-07; 00:00:00;      3183.67; nan; multi
2001-03-15; 00:00:00;      3721.79; nan; multi
2001-03-16; 00:00:00;      3902.98; nan; multi
2001-03-23; 00:00:00;      4542.64; nan; multi
2001-04-01; 00:00:00;      5225.86; nan; multi
2001-04-24; 00:00:00;      4256.06; nan; multi
2001-04-25; 00:00:00;      4126.14; nan; multi
2001-05-03; 00:00:00;      4274.93; nan; multi
2001-05-10; 00:00:00;      4524.31; nan; multi
2001-05-18; 00:00:00;      2131.23; nan; multi
2001-05-26; 00:00:00;      2622.54; nan; multi
2001-05-27; 00:00:00;      2725.17; nan; multi
2001-06-11; 00:00:00;      3629.10; nan; multi
2001-06-12; 00:00:00;      3724.21; nan; multi
2001-06-27; 00:00:00;      4659.23; nan; multi
2001-06-28; 00:00:00;      4645.32; nan; multi
2001-07-06; 00:00:00;      4148.96; nan; multi
2001-07-14; 00:00:00;      2820.02; nan; multi
2001-07-29; 00:00:00;      3362.78; nan; multi
2001-08-06; 00:00:00;      3708.77; nan; multi
2001-08-14; 00:00:00;      3220.26; nan; multi
2001-08-15; 00:00:00;      3037.45; nan; multi
2001-08-22; 00:00:00;      2297.50; nan; multi
2001-08-30; 00:00:00;      2128.27; nan; multi
2001-09-16; 00:00:00;      2059.38; nan; multi
2001-09-24; 00:00:00;      1392.47; nan; multi
2001-10-17; 00:00:00;      2438.07; nan; multi
2001-11-02; 00:00:00;      1702.33; nan; multi
2001-12-28; 00:00:00;      1656.82; nan; multi
2002-03-11; 00:00:00;      3201.20; nan; multi
2002-03-18; 00:00:00;      2630.83; nan; multi
2002-04-20; 00:00:00;      5787.33; nan; multi
2002-05-22; 00:00:00;      4319.24; nan; multi
2002-06-07; 00:00:00;      3814.01; nan; multi
2002-06-14; 00:00:00;      3581.89; nan; multi
2002-06-15; 00:00:00;      3487.23; nan; multi
2002-06-22; 00:00:00;      3231.91; nan; multi
2002-06-23; 00:00:00;      3171.73; nan; multi
2002-06-30; 00:00:00;      2635.96; nan; multi
2002-07-01; 00:00:00;      2549.87; nan; multi
2002-07-09; 00:00:00;      3348.46; nan; multi
2002-07-16; 00:00:00;      2699.93; nan; multi
2002-08-10; 00:00:00;      6462.72; nan; multi
2002-08-17; 00:00:00;      8041.13; nan; multi
2002-08-26; 00:00:00;      6516.42; nan; multi
2002-09-02; 00:00:00;      5079.55; nan; multi
2002-10-20; 00:00:00;      3369.34; nan; multi
2002-10-29; 00:00:00;      3640.17; nan; multi
2003-01-01; 00:00:00;      3871.28; nan; multi
2003-01-08; 00:00:00;      6248.45; nan; multi
2003-01-17; 00:00:00;      8131.89; nan; multi
2003-03-13; 00:00:00;      4434.96; nan; multi
2003-03-22; 00:00:00;      4029.47; nan; multi
2003-03-29; 00:00:00;      4204.30; nan; multi
2003-04-07; 00:00:00;      4356.29; nan; multi
