# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GANGES-BRAHMAPUTRA
# River:                 BRAHMAPUTRA
# Station:               BAHADURABAD
# Country:               BANGLADESH
# Latitude (DD):         25.3212
# Longitude (DD):        89.6143
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2002-10-03 - 2023-09-26
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-12-17 - 2022-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 889
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2002-10-03; 00:00:00;      6477.25; nan; multi
2002-10-05; 00:00:00;      5868.16; nan; multi
2002-10-06; 00:00:00;      6385.59; nan; multi
2002-10-10; 00:00:00;      6562.37; nan; multi
2003-03-20; 00:00:00;      4279.41; nan; multi
2003-04-08; 00:00:00;      3487.12; nan; multi
2003-04-16; 00:00:00;      7924.28; nan; multi
2003-07-23; 00:00:00;      3613.82; nan; multi
2003-09-11; 00:00:00;     11301.24; nan; multi
2003-09-18; 00:00:00;     12996.35; nan; multi
2003-10-14; 00:00:00;      8480.82; nan; multi
2003-10-17; 00:00:00;      7886.87; nan; multi
2003-11-14; 00:00:00;      3381.71; nan; multi
2003-11-15; 00:00:00;      3335.76; nan; multi
2003-11-18; 00:00:00;      3830.06; nan; multi
2003-11-26; 00:00:00;      4762.97; nan; multi
2003-12-04; 00:00:00;      6596.57; nan; multi
2003-12-20; 00:00:00;      6145.40; nan; multi
2004-01-29; 00:00:00;      3527.31; nan; multi
2004-02-06; 00:00:00;      4481.25; nan; multi
2004-02-14; 00:00:00;      3708.70; nan; multi
2004-03-09; 00:00:00;      5430.88; nan; multi
2004-03-16; 00:00:00;      3930.62; nan; multi
2004-03-25; 00:00:00;      5675.05; nan; multi
2004-04-26; 00:00:00;     41039.30; nan; multi
2004-05-12; 00:00:00;     27620.04; nan; multi
2004-06-05; 00:00:00;     50361.92; nan; multi
2004-07-31; 00:00:00;     54956.47; nan; multi
2004-08-16; 00:00:00;     54567.34; nan; multi
2004-10-01; 00:00:00;     37621.50; nan; multi
2004-10-03; 00:00:00;     38787.78; nan; multi
2004-10-11; 00:00:00;     58483.91; nan; multi
2004-10-17; 00:00:00;     43546.36; nan; multi
2004-10-19; 00:00:00;     35066.78; nan; multi
2004-10-24; 00:00:00;     24195.97; nan; multi
2004-10-26; 00:00:00;     21724.96; nan; multi
2004-10-27; 00:00:00;     20618.29; nan; multi
2004-11-04; 00:00:00;     22053.88; nan; multi
2004-11-12; 00:00:00;     21403.98; nan; multi
2004-11-20; 00:00:00;     16770.01; nan; multi
2004-11-28; 00:00:00;     12564.71; nan; multi
2004-12-06; 00:00:00;     10307.74; nan; multi
2004-12-14; 00:00:00;      6771.41; nan; multi
2004-12-30; 00:00:00;      6063.99; nan; multi
2005-01-07; 00:00:00;      6298.35; nan; multi
2005-01-15; 00:00:00;      5508.90; nan; multi
2005-01-31; 00:00:00;      4219.67; nan; multi
2005-02-16; 00:00:00;      4453.59; nan; multi
2005-02-24; 00:00:00;      6238.61; nan; multi
2005-03-04; 00:00:00;      6370.56; nan; multi
