# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GANGES-BRAHMAPUTRA
# River:                 GANGES
# Station:               HARDINGE-BRIDGE
# Country:               BANGLADESH
# Latitude (DD):         24.08
# Longitude (DD):        89.03
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-11-15 - 2023-09-26
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-05-05 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2735
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-11-15; 00:00:00;      3181.17; nan; multi
1999-11-23; 00:00:00;      1312.77; nan; multi
1999-12-09; 00:00:00;       619.45; nan; multi
1999-12-25; 00:00:00;       537.76; nan; multi
2000-01-10; 00:00:00;       527.56; nan; multi
2000-01-26; 00:00:00;       513.00; nan; multi
2000-02-03; 00:00:00;       736.74; nan; multi
2000-02-11; 00:00:00;       786.05; nan; multi
2000-02-19; 00:00:00;       755.17; nan; multi
2000-02-25; 00:00:00;      2420.00; nan; multi
2000-02-26; 00:00:00;      1080.00; nan; multi
2000-02-28; 00:00:00;       912.56; nan; multi
2000-02-29; 00:00:00;       498.74; nan; multi
2000-03-01; 00:00:00;       529.17; nan; multi
2000-03-03; 00:00:00;       820.66; nan; multi
2000-03-10; 00:00:00;      1350.72; nan; multi
2000-03-11; 00:00:00;       490.21; nan; multi
2000-03-15; 00:00:00;       513.00; nan; multi
2000-03-16; 00:00:00;       359.38; nan; multi
2000-03-17; 00:00:00;       445.30; nan; multi
2000-03-18; 00:00:00;       371.21; nan; multi
2000-03-20; 00:00:00;       310.36; nan; multi
2000-03-21; 00:00:00;       513.00; nan; multi
2000-03-24; 00:00:00;       532.91; nan; multi
2000-03-25; 00:00:00;       500.00; nan; multi
2000-03-26; 00:00:00;       611.46; nan; multi
2000-03-27; 00:00:00;       452.92; nan; multi
2000-03-28; 00:00:00;       504.35; nan; multi
2000-03-29; 00:00:00;       437.26; nan; multi
2000-04-01; 00:00:00;       319.68; nan; multi
2000-04-02; 00:00:00;       362.02; nan; multi
2000-04-03; 00:00:00;       362.39; nan; multi
2000-04-04; 00:00:00;       452.95; nan; multi
2000-04-06; 00:00:00;       513.00; nan; multi
2000-04-07; 00:00:00;       520.53; nan; multi
2000-04-08; 00:00:00;       490.97; nan; multi
2000-04-09; 00:00:00;       502.96; nan; multi
2000-04-12; 00:00:00;       511.58; nan; multi
2000-04-15; 00:00:00;       490.17; nan; multi
2000-04-16; 00:00:00;       466.38; nan; multi
2000-05-01; 00:00:00;       531.98; nan; multi
2000-05-06; 00:00:00;      1246.51; nan; multi
2000-05-09; 00:00:00;       997.74; nan; multi
2000-05-11; 00:00:00;       725.59; nan; multi
2000-05-17; 00:00:00;       696.27; nan; multi
2000-05-18; 00:00:00;       699.86; nan; multi
2000-06-18; 00:00:00;      1737.69; nan; multi
2000-07-04; 00:00:00;     13400.57; nan; multi
2000-08-21; 00:00:00;      4663.49; nan; multi
2000-09-06; 00:00:00;     14605.76; nan; multi
2000-09-30; 00:00:00;     24440.85; nan; multi
2000-10-13; 00:00:00;     11858.23; nan; multi
2000-10-16; 00:00:00;     14434.34; nan; multi
2000-10-24; 00:00:00;     12410.26; nan; multi
2000-10-26; 00:00:00;     12384.52; nan; multi
2000-11-01; 00:00:00;      8033.09; nan; multi
2000-11-02; 00:00:00;     12143.37; nan; multi
2000-11-03; 00:00:00;     12692.47; nan; multi
2000-11-05; 00:00:00;      9082.56; nan; multi
2000-11-06; 00:00:00;      6137.34; nan; multi
2000-11-07; 00:00:00;      6149.87; nan; multi
2000-11-09; 00:00:00;      5283.12; nan; multi
2000-11-10; 00:00:00;      4691.84; nan; multi
2000-11-11; 00:00:00;      4685.98; nan; multi
2000-11-12; 00:00:00;      4526.39; nan; multi
2000-11-14; 00:00:00;      4844.84; nan; multi
2000-11-17; 00:00:00;      4461.88; nan; multi
2000-11-20; 00:00:00;      4410.08; nan; multi
2000-11-27; 00:00:00;      4326.13; nan; multi
2000-11-30; 00:00:00;      4318.38; nan; multi
2000-12-04; 00:00:00;      4845.79; nan; multi
2000-12-06; 00:00:00;      4332.61; nan; multi
2000-12-07; 00:00:00;      4023.28; nan; multi
2000-12-11; 00:00:00;      2625.57; nan; multi
2000-12-15; 00:00:00;      1142.13; nan; multi
2000-12-16; 00:00:00;      1592.83; nan; multi
2000-12-22; 00:00:00;       776.74; nan; multi
2000-12-23; 00:00:00;       743.50; nan; multi
2000-12-27; 00:00:00;       692.63; nan; multi
2000-12-29; 00:00:00;       679.31; nan; multi
2000-12-30; 00:00:00;       489.28; nan; multi
2000-12-31; 00:00:00;       470.19; nan; multi
2001-01-02; 00:00:00;       348.26; nan; multi
2001-01-12; 00:00:00;       300.51; nan; multi
2001-01-13; 00:00:00;       297.78; nan; multi
2001-01-15; 00:00:00;       299.70; nan; multi
2001-01-16; 00:00:00;       344.15; nan; multi
2001-01-18; 00:00:00;       298.69; nan; multi
2001-01-21; 00:00:00;       371.06; nan; multi
2001-01-22; 00:00:00;       297.25; nan; multi
2001-01-24; 00:00:00;       438.24; nan; multi
2001-01-25; 00:00:00;       365.64; nan; multi
2001-01-27; 00:00:00;       445.21; nan; multi
2001-01-28; 00:00:00;       459.23; nan; multi
2001-01-31; 00:00:00;       456.44; nan; multi
2001-02-02; 00:00:00;       466.02; nan; multi
2001-02-03; 00:00:00;       453.63; nan; multi
2001-02-05; 00:00:00;       485.15; nan; multi
2001-02-07; 00:00:00;       519.27; nan; multi
2001-02-08; 00:00:00;       569.85; nan; multi
2001-02-09; 00:00:00;       635.60; nan; multi
2001-02-11; 00:00:00;      1083.36; nan; multi
2001-02-13; 00:00:00;      1069.10; nan; multi
2001-02-15; 00:00:00;       717.05; nan; multi
2001-02-17; 00:00:00;       513.00; nan; multi
2001-02-22; 00:00:00;       825.40; nan; multi
2001-02-23; 00:00:00;       980.12; nan; multi
2001-02-24; 00:00:00;       666.61; nan; multi
2001-02-28; 00:00:00;       475.56; nan; multi
2001-03-02; 00:00:00;       454.03; nan; multi
2001-03-06; 00:00:00;       657.11; nan; multi
2001-03-08; 00:00:00;       847.51; nan; multi
2001-03-09; 00:00:00;       926.93; nan; multi
2001-03-11; 00:00:00;       773.86; nan; multi
2001-03-12; 00:00:00;       513.00; nan; multi
2001-03-13; 00:00:00;       493.94; nan; multi
2001-03-14; 00:00:00;       457.89; nan; multi
2001-03-17; 00:00:00;       446.04; nan; multi
2001-03-19; 00:00:00;       447.22; nan; multi
2001-03-21; 00:00:00;       337.82; nan; multi
2001-03-22; 00:00:00;       360.74; nan; multi
2001-03-24; 00:00:00;       727.21; nan; multi
2001-03-26; 00:00:00;       455.45; nan; multi
2001-04-02; 00:00:00;      2012.79; nan; multi
2001-04-04; 00:00:00;      2809.58; nan; multi
2001-04-06; 00:00:00;      1763.03; nan; multi
2001-04-15; 00:00:00;       697.99; nan; multi
2001-04-16; 00:00:00;      2031.91; nan; multi
2001-04-20; 00:00:00;      1325.62; nan; multi
2001-04-23; 00:00:00;      1248.62; nan; multi
2001-04-25; 00:00:00;      1275.11; nan; multi
2001-04-26; 00:00:00;      1282.97; nan; multi
2001-05-04; 00:00:00;       994.93; nan; multi
2001-05-12; 00:00:00;      1949.21; nan; multi
2001-05-18; 00:00:00;      3386.65; nan; multi
2001-05-20; 00:00:00;      3043.60; nan; multi
2001-05-23; 00:00:00;      2429.01; nan; multi
2001-06-05; 00:00:00;      4441.16; nan; multi
2001-07-07; 00:00:00;      4392.46; nan; multi
2001-07-23; 00:00:00;      3778.55; nan; multi
2001-09-01; 00:00:00;      3399.84; nan; multi
2001-09-26; 00:00:00;     45939.78; nan; multi
2001-10-19; 00:00:00;     36587.92; nan; multi
2001-10-22; 00:00:00;     36521.48; nan; multi
2001-10-23; 00:00:00;     36483.79; nan; multi
2001-10-24; 00:00:00;     35795.90; nan; multi
2001-10-25; 00:00:00;     45179.60; nan; multi
2001-10-26; 00:00:00;     41605.87; nan; multi
2001-11-04; 00:00:00;     22329.50; nan; multi
2001-11-08; 00:00:00;     12015.52; nan; multi
2001-11-15; 00:00:00;      7248.20; nan; multi
2001-11-16; 00:00:00;      5051.97; nan; multi
2001-11-17; 00:00:00;      5233.31; nan; multi
2001-11-20; 00:00:00;      5018.77; nan; multi
2001-11-26; 00:00:00;     10630.07; nan; multi
2001-11-27; 00:00:00;      5806.38; nan; multi
2001-12-02; 00:00:00;      3562.42; nan; multi
2001-12-11; 00:00:00;       992.17; nan; multi
2001-12-16; 00:00:00;      1735.18; nan; multi
2001-12-20; 00:00:00;       991.43; nan; multi
2001-12-22; 00:00:00;      1309.22; nan; multi
2001-12-23; 00:00:00;      1832.52; nan; multi
2001-12-25; 00:00:00;      1632.55; nan; multi
2001-12-26; 00:00:00;      1515.79; nan; multi
2001-12-27; 00:00:00;       997.46; nan; multi
2001-12-28; 00:00:00;      1879.10; nan; multi
2001-12-29; 00:00:00;      1372.76; nan; multi
2002-01-02; 00:00:00;      1490.80; nan; multi
2002-01-03; 00:00:00;      1079.51; nan; multi
2002-01-07; 00:00:00;      1758.96; nan; multi
2002-01-08; 00:00:00;      2410.74; nan; multi
2002-01-09; 00:00:00;      2053.07; nan; multi
2002-01-11; 00:00:00;      1890.31; nan; multi
2002-01-12; 00:00:00;      1353.30; nan; multi
2002-01-24; 00:00:00;      4322.41; nan; multi
2002-01-25; 00:00:00;      2705.64; nan; multi
2002-01-26; 00:00:00;      2427.87; nan; multi
2002-01-27; 00:00:00;      2207.98; nan; multi
2002-01-29; 00:00:00;      3070.34; nan; multi
2002-02-01; 00:00:00;      1922.23; nan; multi
2002-02-02; 00:00:00;      2220.65; nan; multi
2002-02-03; 00:00:00;      2104.32; nan; multi
2002-02-04; 00:00:00;      1817.61; nan; multi
2002-02-05; 00:00:00;      2142.25; nan; multi
2002-02-06; 00:00:00;      1729.15; nan; multi
2002-02-09; 00:00:00;      2006.40; nan; multi
2002-02-10; 00:00:00;      1886.54; nan; multi
2002-02-11; 00:00:00;      1979.29; nan; multi
2002-02-14; 00:00:00;      3153.58; nan; multi
2002-02-17; 00:00:00;      1808.69; nan; multi
2002-02-18; 00:00:00;      1288.64; nan; multi
2002-02-19; 00:00:00;      1282.73; nan; multi
2002-02-20; 00:00:00;      1152.41; nan; multi
2002-02-21; 00:00:00;      1203.70; nan; multi
2002-02-22; 00:00:00;      1097.14; nan; multi
2002-02-23; 00:00:00;      1137.98; nan; multi
2002-02-24; 00:00:00;       993.67; nan; multi
2002-02-26; 00:00:00;       911.90; nan; multi
2002-02-27; 00:00:00;       750.40; nan; multi
2002-02-28; 00:00:00;       893.98; nan; multi
2002-03-01; 00:00:00;       612.08; nan; multi
2002-03-02; 00:00:00;      1102.61; nan; multi
2002-03-05; 00:00:00;      1065.07; nan; multi
2002-03-06; 00:00:00;       826.35; nan; multi
2002-03-07; 00:00:00;       818.70; nan; multi
2002-03-08; 00:00:00;       716.96; nan; multi
2002-03-12; 00:00:00;       726.60; nan; multi
2002-03-16; 00:00:00;       748.01; nan; multi
2002-03-17; 00:00:00;       485.17; nan; multi
2002-03-18; 00:00:00;       713.30; nan; multi
2002-03-28; 00:00:00;      1075.12; nan; multi
2002-03-30; 00:00:00;      1092.38; nan; multi
2002-03-31; 00:00:00;       800.95; nan; multi
2002-04-09; 00:00:00;      1108.68; nan; multi
2002-04-13; 00:00:00;      1168.04; nan; multi
2002-04-23; 00:00:00;      2326.51; nan; multi
2002-04-29; 00:00:00;      1777.42; nan; multi
2002-05-31; 00:00:00;      2111.40; nan; multi
2002-06-02; 00:00:00;      2079.93; nan; multi
2002-07-11; 00:00:00;      3167.79; nan; multi
2002-07-18; 00:00:00;      5251.88; nan; multi
2002-09-04; 00:00:00;      3500.22; nan; multi
2002-09-13; 00:00:00;      6536.63; nan; multi
2002-09-17; 00:00:00;     13835.68; nan; multi
2002-09-20; 00:00:00;     30391.35; nan; multi
2002-10-03; 00:00:00;     44424.01; nan; multi
2002-10-06; 00:00:00;     37414.24; nan; multi
2002-10-22; 00:00:00;     13697.08; nan; multi
2002-10-26; 00:00:00;     13357.66; nan; multi
2002-10-27; 00:00:00;     11661.39; nan; multi
2002-10-28; 00:00:00;     12106.04; nan; multi
2002-10-29; 00:00:00;     11487.96; nan; multi
2002-10-31; 00:00:00;     13255.43; nan; multi
2002-11-07; 00:00:00;      8253.45; nan; multi
2002-11-08; 00:00:00;      7525.01; nan; multi
2002-11-09; 00:00:00;      7318.49; nan; multi
2002-11-16; 00:00:00;      6069.94; nan; multi
2002-11-18; 00:00:00;      5479.81; nan; multi
2002-11-19; 00:00:00;      4983.75; nan; multi
2002-11-22; 00:00:00;      7360.94; nan; multi
2002-11-23; 00:00:00;      5261.80; nan; multi
2002-11-25; 00:00:00;      4533.51; nan; multi
2002-11-26; 00:00:00;      4224.42; nan; multi
2002-11-27; 00:00:00;      4128.47; nan; multi
2002-11-29; 00:00:00;      4104.40; nan; multi
2002-12-03; 00:00:00;      4534.68; nan; multi
2002-12-04; 00:00:00;      4251.13; nan; multi
2002-12-05; 00:00:00;      4171.24; nan; multi
2002-12-06; 00:00:00;      4344.76; nan; multi
2002-12-10; 00:00:00;      3956.25; nan; multi
2002-12-11; 00:00:00;      3345.21; nan; multi
2002-12-12; 00:00:00;      3166.86; nan; multi
2002-12-14; 00:00:00;      2319.24; nan; multi
2002-12-15; 00:00:00;      2415.93; nan; multi
2002-12-16; 00:00:00;      1820.79; nan; multi
2002-12-18; 00:00:00;      1535.84; nan; multi
2002-12-19; 00:00:00;      1542.43; nan; multi
2002-12-21; 00:00:00;      1747.50; nan; multi
