# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GANGES-BRAHMAPUTRA
# River:                 BRAHMAPUTRA
# Station:               YANGCUN
# Country:               CHINA
# Latitude (DD):         29.275
# Longitude (DD):        91.92
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-07 - 2023-09-28
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-12-17 - 2022-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4414
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-07; 00:00:00;       989.62; nan; multi
1999-10-15; 00:00:00;      6233.35; nan; multi
1999-10-23; 00:00:00;      1913.19; nan; multi
1999-10-31; 00:00:00;      4805.75; nan; multi
1999-11-16; 00:00:00;      3292.85; nan; multi
1999-12-02; 00:00:00;      1925.70; nan; multi
1999-12-10; 00:00:00;       558.58; nan; multi
1999-12-18; 00:00:00;       856.55; nan; multi
2000-01-03; 00:00:00;       672.48; nan; multi
2000-01-19; 00:00:00;       781.86; nan; multi
2000-01-27; 00:00:00;       296.37; nan; multi
2000-02-04; 00:00:00;       350.87; nan; multi
2000-02-20; 00:00:00;       528.61; nan; multi
2000-02-28; 00:00:00;       200.59; nan; multi
2000-03-03; 00:00:00;       258.56; nan; multi
2000-03-04; 00:00:00;       249.82; nan; multi
2000-03-05; 00:00:00;       478.69; nan; multi
2000-03-07; 00:00:00;       397.63; nan; multi
2000-03-10; 00:00:00;       560.10; nan; multi
2000-03-11; 00:00:00;       479.31; nan; multi
2000-03-12; 00:00:00;       393.68; nan; multi
2000-03-13; 00:00:00;       329.29; nan; multi
2000-03-15; 00:00:00;       297.94; nan; multi
2000-03-18; 00:00:00;       280.12; nan; multi
2000-03-21; 00:00:00;       313.00; nan; multi
2000-03-22; 00:00:00;       276.12; nan; multi
2000-03-24; 00:00:00;       257.77; nan; multi
2000-03-27; 00:00:00;       260.93; nan; multi
2000-03-28; 00:00:00;       276.43; nan; multi
2000-03-31; 00:00:00;       267.00; nan; multi
2000-04-01; 00:00:00;       261.00; nan; multi
2000-04-02; 00:00:00;       267.94; nan; multi
2000-04-03; 00:00:00;       258.54; nan; multi
2000-04-14; 00:00:00;       222.00; nan; multi
2000-04-15; 00:00:00;       243.27; nan; multi
2000-04-18; 00:00:00;       270.06; nan; multi
2000-04-19; 00:00:00;       282.42; nan; multi
2000-04-20; 00:00:00;       336.29; nan; multi
2000-04-30; 00:00:00;       402.62; nan; multi
2000-05-01; 00:00:00;       545.35; nan; multi
2000-05-04; 00:00:00;       359.40; nan; multi
2000-05-05; 00:00:00;       303.10; nan; multi
2000-05-06; 00:00:00;       301.00; nan; multi
2000-05-07; 00:00:00;       390.35; nan; multi
2000-05-12; 00:00:00;       303.93; nan; multi
2000-05-13; 00:00:00;       318.79; nan; multi
2000-05-14; 00:00:00;       311.10; nan; multi
2000-05-15; 00:00:00;       365.80; nan; multi
2000-05-27; 00:00:00;       512.03; nan; multi
2000-05-30; 00:00:00;       460.68; nan; multi
2000-06-03; 00:00:00;       444.72; nan; multi
2000-06-05; 00:00:00;       478.04; nan; multi
2000-06-07; 00:00:00;       520.47; nan; multi
2000-06-09; 00:00:00;       540.72; nan; multi
2000-06-16; 00:00:00;       842.42; nan; multi
2000-06-17; 00:00:00;       793.40; nan; multi
2000-06-19; 00:00:00;       834.71; nan; multi
2000-07-18; 00:00:00;      3390.97; nan; multi
2000-07-22; 00:00:00;      2816.88; nan; multi
2000-08-06; 00:00:00;      1686.94; nan; multi
2000-09-03; 00:00:00;      5464.80; nan; multi
2000-09-10; 00:00:00;      3846.60; nan; multi
2000-09-12; 00:00:00;      3151.20; nan; multi
2000-09-16; 00:00:00;      3130.27; nan; multi
2000-09-20; 00:00:00;      3069.82; nan; multi
2000-09-21; 00:00:00;      2712.20; nan; multi
2000-09-23; 00:00:00;      2785.37; nan; multi
2000-09-24; 00:00:00;      2293.34; nan; multi
2000-09-25; 00:00:00;      2275.92; nan; multi
2000-09-26; 00:00:00;      2435.02; nan; multi
2000-09-27; 00:00:00;      2806.86; nan; multi
2000-09-28; 00:00:00;      3087.79; nan; multi
2000-09-30; 00:00:00;      3956.94; nan; multi
2000-10-01; 00:00:00;      5085.75; nan; multi
2000-10-05; 00:00:00;      4062.40; nan; multi
2000-10-06; 00:00:00;      3495.79; nan; multi
2000-10-07; 00:00:00;      2803.94; nan; multi
2000-10-08; 00:00:00;      2127.18; nan; multi
2000-10-09; 00:00:00;      1696.71; nan; multi
2000-10-10; 00:00:00;      1364.45; nan; multi
2000-10-11; 00:00:00;      1271.89; nan; multi
2000-10-13; 00:00:00;      1350.36; nan; multi
2000-10-14; 00:00:00;      1558.14; nan; multi
2000-10-15; 00:00:00;      1888.89; nan; multi
2000-10-17; 00:00:00;      2341.04; nan; multi
2000-10-18; 00:00:00;      2675.26; nan; multi
2000-10-19; 00:00:00;      2740.04; nan; multi
2000-10-20; 00:00:00;      2676.63; nan; multi
2000-10-23; 00:00:00;      1858.75; nan; multi
2000-10-24; 00:00:00;      1584.25; nan; multi
2000-10-25; 00:00:00;      1294.14; nan; multi
2000-10-29; 00:00:00;      1019.03; nan; multi
2000-10-30; 00:00:00;       838.29; nan; multi
2000-11-01; 00:00:00;       665.33; nan; multi
2000-11-02; 00:00:00;       599.24; nan; multi
2000-11-03; 00:00:00;       557.28; nan; multi
2000-11-04; 00:00:00;       493.02; nan; multi
2000-11-05; 00:00:00;       465.62; nan; multi
2000-11-06; 00:00:00;       425.93; nan; multi
2000-11-08; 00:00:00;       387.78; nan; multi
2000-11-10; 00:00:00;       360.12; nan; multi
2000-11-11; 00:00:00;       365.64; nan; multi
2000-11-12; 00:00:00;       361.91; nan; multi
2000-11-13; 00:00:00;       336.17; nan; multi
2000-11-14; 00:00:00;       337.12; nan; multi
2000-11-15; 00:00:00;       310.98; nan; multi
2000-11-16; 00:00:00;       332.41; nan; multi
2000-11-17; 00:00:00;       306.47; nan; multi
2000-11-20; 00:00:00;       274.76; nan; multi
2000-11-21; 00:00:00;       283.44; nan; multi
2000-11-22; 00:00:00;       285.88; nan; multi
2000-11-23; 00:00:00;       306.15; nan; multi
2000-11-24; 00:00:00;       301.39; nan; multi
2000-11-25; 00:00:00;       318.65; nan; multi
2000-11-26; 00:00:00;       306.82; nan; multi
2000-11-27; 00:00:00;       315.71; nan; multi
2000-11-28; 00:00:00;       311.94; nan; multi
2000-11-29; 00:00:00;       300.76; nan; multi
2000-11-30; 00:00:00;       326.13; nan; multi
2000-12-01; 00:00:00;       303.59; nan; multi
2000-12-03; 00:00:00;       292.01; nan; multi
2000-12-04; 00:00:00;       282.14; nan; multi
2000-12-05; 00:00:00;       277.66; nan; multi
2000-12-06; 00:00:00;       267.87; nan; multi
2000-12-07; 00:00:00;       274.22; nan; multi
2000-12-08; 00:00:00;       268.92; nan; multi
2000-12-09; 00:00:00;       276.80; nan; multi
2000-12-12; 00:00:00;       267.09; nan; multi
2000-12-13; 00:00:00;       274.41; nan; multi
2000-12-14; 00:00:00;       275.52; nan; multi
2000-12-16; 00:00:00;       281.73; nan; multi
2000-12-17; 00:00:00;       293.47; nan; multi
2000-12-18; 00:00:00;       305.53; nan; multi
2000-12-19; 00:00:00;       292.77; nan; multi
2000-12-21; 00:00:00;       282.61; nan; multi
2000-12-22; 00:00:00;       269.96; nan; multi
2000-12-23; 00:00:00;       267.00; nan; multi
2000-12-24; 00:00:00;       258.21; nan; multi
2000-12-26; 00:00:00;       256.78; nan; multi
2000-12-28; 00:00:00;       254.31; nan; multi
2000-12-29; 00:00:00;       256.59; nan; multi
2000-12-30; 00:00:00;       254.11; nan; multi
2000-12-31; 00:00:00;       249.87; nan; multi
2001-01-02; 00:00:00;       246.00; nan; multi
2001-01-04; 00:00:00;       251.65; nan; multi
2001-01-06; 00:00:00;       249.91; nan; multi
2001-01-07; 00:00:00;       246.00; nan; multi
2001-01-08; 00:00:00;       249.47; nan; multi
2001-01-09; 00:00:00;       247.55; nan; multi
2001-01-11; 00:00:00;       245.52; nan; multi
2001-01-13; 00:00:00;       246.00; nan; multi
2001-01-15; 00:00:00;       253.97; nan; multi
2001-01-16; 00:00:00;       251.53; nan; multi
2001-01-18; 00:00:00;       272.03; nan; multi
2001-01-19; 00:00:00;       301.05; nan; multi
2001-01-20; 00:00:00;       336.93; nan; multi
2001-01-21; 00:00:00;       361.75; nan; multi
2001-01-22; 00:00:00;       399.25; nan; multi
2001-01-24; 00:00:00;       426.99; nan; multi
2001-01-25; 00:00:00;       376.02; nan; multi
2001-01-26; 00:00:00;       389.88; nan; multi
2001-01-27; 00:00:00;       339.68; nan; multi
2001-01-28; 00:00:00;       354.72; nan; multi
2001-01-29; 00:00:00;       324.94; nan; multi
2001-01-30; 00:00:00;       300.73; nan; multi
2001-01-31; 00:00:00;       298.33; nan; multi
2001-02-01; 00:00:00;       293.64; nan; multi
2001-02-02; 00:00:00;       295.59; nan; multi
2001-02-03; 00:00:00;       303.50; nan; multi
2001-02-04; 00:00:00;       478.48; nan; multi
2001-02-05; 00:00:00;       511.44; nan; multi
2001-02-06; 00:00:00;       548.16; nan; multi
2001-02-07; 00:00:00;       573.04; nan; multi
2001-02-08; 00:00:00;       589.77; nan; multi
2001-02-09; 00:00:00;       583.75; nan; multi
2001-02-10; 00:00:00;       544.42; nan; multi
2001-02-12; 00:00:00;       447.04; nan; multi
2001-02-13; 00:00:00;       477.62; nan; multi
2001-02-14; 00:00:00;       429.89; nan; multi
2001-02-16; 00:00:00;       401.60; nan; multi
2001-02-17; 00:00:00;       341.79; nan; multi
2001-02-18; 00:00:00;       332.42; nan; multi
2001-02-20; 00:00:00;       348.96; nan; multi
2001-02-23; 00:00:00;       305.59; nan; multi
2001-02-28; 00:00:00;       279.75; nan; multi
2001-03-02; 00:00:00;       258.89; nan; multi
2001-03-03; 00:00:00;       249.82; nan; multi
2001-03-04; 00:00:00;       250.43; nan; multi
2001-03-07; 00:00:00;       267.10; nan; multi
2001-03-08; 00:00:00;       342.59; nan; multi
2001-03-10; 00:00:00;       449.34; nan; multi
2001-03-13; 00:00:00;       428.65; nan; multi
2001-03-17; 00:00:00;       428.10; nan; multi
2001-03-18; 00:00:00;       417.54; nan; multi
2001-03-24; 00:00:00;       467.68; nan; multi
2001-03-27; 00:00:00;       316.70; nan; multi
2001-03-29; 00:00:00;       294.61; nan; multi
2001-04-03; 00:00:00;       268.27; nan; multi
2001-04-04; 00:00:00;       261.00; nan; multi
2001-04-06; 00:00:00;       253.13; nan; multi
2001-04-11; 00:00:00;       272.00; nan; multi
2001-04-12; 00:00:00;       284.33; nan; multi
2001-04-15; 00:00:00;       267.00; nan; multi
2001-04-19; 00:00:00;       273.29; nan; multi
2001-04-20; 00:00:00;       288.06; nan; multi
2001-04-21; 00:00:00;       272.98; nan; multi
2001-04-22; 00:00:00;       454.30; nan; multi
2001-04-24; 00:00:00;       327.40; nan; multi
2001-04-29; 00:00:00;       266.99; nan; multi
2001-05-02; 00:00:00;       267.00; nan; multi
2001-05-06; 00:00:00;       285.12; nan; multi
2001-05-13; 00:00:00;       481.02; nan; multi
2001-05-16; 00:00:00;       494.81; nan; multi
2001-05-17; 00:00:00;       377.12; nan; multi
2001-05-29; 00:00:00;       942.80; nan; multi
2001-06-14; 00:00:00;      6289.11; nan; multi
2001-07-04; 00:00:00;      1010.30; nan; multi
2001-07-05; 00:00:00;      1116.79; nan; multi
2001-07-08; 00:00:00;       958.16; nan; multi
2001-07-13; 00:00:00;       862.61; nan; multi
2001-08-09; 00:00:00;      2032.47; nan; multi
2001-08-20; 00:00:00;      1274.91; nan; multi
2001-08-25; 00:00:00;      1375.57; nan; multi
2001-08-27; 00:00:00;      1645.34; nan; multi
2001-09-02; 00:00:00;      6634.13; nan; multi
2001-09-08; 00:00:00;      5755.62; nan; multi
2001-09-10; 00:00:00;      4733.77; nan; multi
2001-09-17; 00:00:00;      5979.99; nan; multi
2001-09-26; 00:00:00;      2368.84; nan; multi
2001-09-29; 00:00:00;      1177.20; nan; multi
2001-10-07; 00:00:00;       759.03; nan; multi
2001-10-10; 00:00:00;       516.00; nan; multi
2001-10-12; 00:00:00;       400.39; nan; multi
2001-10-14; 00:00:00;       426.10; nan; multi
2001-10-16; 00:00:00;       544.68; nan; multi
2001-10-17; 00:00:00;       428.73; nan; multi
2001-10-18; 00:00:00;       474.53; nan; multi
2001-10-19; 00:00:00;       399.30; nan; multi
2001-10-21; 00:00:00;       353.53; nan; multi
2001-10-22; 00:00:00;       325.76; nan; multi
2001-10-23; 00:00:00;       356.59; nan; multi
2001-10-25; 00:00:00;       383.34; nan; multi
2001-10-26; 00:00:00;       361.95; nan; multi
2001-10-27; 00:00:00;       391.79; nan; multi
2001-10-28; 00:00:00;       370.75; nan; multi
2001-10-29; 00:00:00;       348.55; nan; multi
2001-10-30; 00:00:00;       344.59; nan; multi
2001-11-01; 00:00:00;       378.82; nan; multi
2001-11-02; 00:00:00;       327.30; nan; multi
2001-11-03; 00:00:00;       341.62; nan; multi
2001-11-04; 00:00:00;       306.48; nan; multi
2001-11-07; 00:00:00;       276.85; nan; multi
2001-11-08; 00:00:00;       276.40; nan; multi
2001-11-09; 00:00:00;       281.48; nan; multi
2001-11-10; 00:00:00;       287.92; nan; multi
2001-11-11; 00:00:00;       267.01; nan; multi
2001-11-12; 00:00:00;       304.79; nan; multi
2001-11-13; 00:00:00;       279.99; nan; multi
2001-11-14; 00:00:00;       272.00; nan; multi
2001-11-15; 00:00:00;       269.15; nan; multi
2001-11-16; 00:00:00;       254.35; nan; multi
2001-11-17; 00:00:00;       264.22; nan; multi
2001-11-18; 00:00:00;       255.04; nan; multi
2001-11-19; 00:00:00;       270.52; nan; multi
2001-11-20; 00:00:00;       263.77; nan; multi
2001-11-22; 00:00:00;       257.93; nan; multi
2001-11-23; 00:00:00;       253.10; nan; multi
2001-11-24; 00:00:00;       257.31; nan; multi
2001-11-25; 00:00:00;       249.22; nan; multi
2001-11-26; 00:00:00;       262.99; nan; multi
2001-11-27; 00:00:00;       251.57; nan; multi
2001-11-28; 00:00:00;       272.37; nan; multi
2001-11-29; 00:00:00;       261.00; nan; multi
2001-11-30; 00:00:00;       259.36; nan; multi
2001-12-01; 00:00:00;       255.77; nan; multi
2001-12-02; 00:00:00;       257.00; nan; multi
2001-12-04; 00:00:00;       246.33; nan; multi
2001-12-06; 00:00:00;       245.00; nan; multi
2001-12-08; 00:00:00;       242.00; nan; multi
2001-12-09; 00:00:00;       242.00; nan; multi
2001-12-10; 00:00:00;       243.81; nan; multi
2001-12-11; 00:00:00;       241.72; nan; multi
2001-12-12; 00:00:00;       242.46; nan; multi
2001-12-13; 00:00:00;       241.77; nan; multi
2001-12-15; 00:00:00;       241.77; nan; multi
2001-12-16; 00:00:00;       242.00; nan; multi
2001-12-17; 00:00:00;       244.39; nan; multi
2001-12-18; 00:00:00;       241.84; nan; multi
2001-12-20; 00:00:00;       234.01; nan; multi
2001-12-22; 00:00:00;       225.98; nan; multi
2001-12-23; 00:00:00;       222.00; nan; multi
2001-12-24; 00:00:00;       216.98; nan; multi
2001-12-25; 00:00:00;       211.12; nan; multi
2001-12-27; 00:00:00;       209.24; nan; multi
2001-12-29; 00:00:00;       209.83; nan; multi
2001-12-31; 00:00:00;       212.18; nan; multi
2002-01-01; 00:00:00;       213.21; nan; multi
2002-01-02; 00:00:00;       216.61; nan; multi
2002-01-05; 00:00:00;       213.30; nan; multi
2002-01-07; 00:00:00;       207.80; nan; multi
2002-01-08; 00:00:00;       211.96; nan; multi
2002-01-13; 00:00:00;       254.34; nan; multi
