# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GARONNE
# River:                 GARONNE
# Station:               LAMAGISTERE
# Country:               FRANCE
# Latitude (DD):         44.12
# Longitude (DD):        0.83
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-22 - 2023-09-25
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Service Central d'Hydrometeorologie et d'Appui a la Prevision des Inondations (SCHAPI) HydroPortail
# Calibration period:    2009-06-30 - 2023-06-10
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3131
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-22; 00:00:00;       908.27; nan; multi
2000-03-02; 00:00:00;       461.61; nan; multi
2000-03-03; 00:00:00;       395.10; nan; multi
2000-03-06; 00:00:00;       350.49; nan; multi
2000-03-08; 00:00:00;       373.52; nan; multi
2000-03-09; 00:00:00;       359.82; nan; multi
2000-03-10; 00:00:00;       342.96; nan; multi
2000-03-11; 00:00:00;       311.36; nan; multi
2000-03-12; 00:00:00;       330.61; nan; multi
2000-03-16; 00:00:00;       339.16; nan; multi
2000-03-17; 00:00:00;       347.88; nan; multi
2000-03-21; 00:00:00;       345.62; nan; multi
2000-04-07; 00:00:00;       522.88; nan; multi
2000-04-18; 00:00:00;       477.55; nan; multi
2000-04-20; 00:00:00;       420.20; nan; multi
2000-04-24; 00:00:00;       341.68; nan; multi
2000-04-29; 00:00:00;       323.45; nan; multi
2000-05-02; 00:00:00;       349.36; nan; multi
2000-05-03; 00:00:00;       294.84; nan; multi
2000-05-15; 00:00:00;       279.33; nan; multi
2000-05-20; 00:00:00;       414.85; nan; multi
2000-05-26; 00:00:00;       296.80; nan; multi
2000-06-01; 00:00:00;       331.79; nan; multi
2000-06-08; 00:00:00;       154.13; nan; multi
2000-06-15; 00:00:00;       148.75; nan; multi
2000-06-16; 00:00:00;       127.68; nan; multi
2000-06-17; 00:00:00;       171.80; nan; multi
2000-06-18; 00:00:00;       206.76; nan; multi
2000-06-19; 00:00:00;       248.13; nan; multi
2000-06-20; 00:00:00;       271.99; nan; multi
2000-06-21; 00:00:00;       291.07; nan; multi
2000-06-26; 00:00:00;       251.70; nan; multi
2000-07-01; 00:00:00;       205.42; nan; multi
2000-07-02; 00:00:00;       128.07; nan; multi
2000-07-05; 00:00:00;        82.80; nan; multi
2000-07-06; 00:00:00;        70.12; nan; multi
2000-07-18; 00:00:00;         7.58; nan; multi
2000-07-19; 00:00:00;        89.20; nan; multi
2000-07-20; 00:00:00;        81.20; nan; multi
2000-07-22; 00:00:00;        64.56; nan; multi
2000-09-05; 00:00:00;        60.76; nan; multi
2000-09-06; 00:00:00;        59.19; nan; multi
2000-09-08; 00:00:00;        86.31; nan; multi
2000-09-09; 00:00:00;        84.84; nan; multi
2000-09-10; 00:00:00;        90.62; nan; multi
2000-09-11; 00:00:00;        86.12; nan; multi
2000-09-13; 00:00:00;        63.96; nan; multi
2000-09-17; 00:00:00;        36.71; nan; multi
2000-09-18; 00:00:00;        19.86; nan; multi
2000-09-22; 00:00:00;        22.47; nan; multi
2000-09-23; 00:00:00;        35.22; nan; multi
2000-09-25; 00:00:00;        62.60; nan; multi
2000-10-04; 00:00:00;       184.21; nan; multi
2000-10-19; 00:00:00;       166.20; nan; multi
2000-10-22; 00:00:00;       236.77; nan; multi
2000-10-25; 00:00:00;       302.31; nan; multi
2000-10-27; 00:00:00;       313.32; nan; multi
2000-10-28; 00:00:00;       309.26; nan; multi
2000-12-09; 00:00:00;       793.12; nan; multi
2000-12-30; 00:00:00;       345.03; nan; multi
2001-02-02; 00:00:00;       409.29; nan; multi
2001-02-04; 00:00:00;       441.69; nan; multi
