# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GARONNE
# River:                 GARONNE
# Station:               LA-REOLE
# Country:               FRANCE
# Latitude (DD):         44.57
# Longitude (DD):        -0.03
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-20 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Service Central d'Hydrometeorologie et d'Appui a la Prevision des Inondations (SCHAPI) HydroPortail
# Calibration period:    2017-02-07 - 2023-06-09
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1791
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-20; 00:00:00;       991.30; nan; multi
2000-03-08; 00:00:00;       950.19; nan; multi
2000-03-17; 00:00:00;      1047.63; nan; multi
2000-04-25; 00:00:00;      1015.55; nan; multi
2000-05-20; 00:00:00;      1149.04; nan; multi
2000-07-30; 00:00:00;        84.50; nan; multi
2000-08-24; 00:00:00;        81.69; nan; multi
2000-09-09; 00:00:00;        90.11; nan; multi
2000-09-25; 00:00:00;        91.82; nan; multi
2000-12-21; 00:00:00;       831.86; nan; multi
2000-12-30; 00:00:00;       152.96; nan; multi
2001-04-12; 00:00:00;       654.58; nan; multi
2001-05-14; 00:00:00;       260.46; nan; multi
2001-05-30; 00:00:00;      1081.20; nan; multi
2001-07-01; 00:00:00;        78.96; nan; multi
2001-07-26; 00:00:00;        84.27; nan; multi
2001-08-02; 00:00:00;        73.66; nan; multi
2001-08-11; 00:00:00;        76.18; nan; multi
2001-09-03; 00:00:00;        79.15; nan; multi
2001-09-12; 00:00:00;        78.87; nan; multi
2001-10-14; 00:00:00;        84.86; nan; multi
2001-10-30; 00:00:00;       106.22; nan; multi
2001-11-15; 00:00:00;       130.02; nan; multi
2001-12-08; 00:00:00;       174.10; nan; multi
2001-12-17; 00:00:00;       154.70; nan; multi
2001-12-24; 00:00:00;       154.42; nan; multi
2002-02-19; 00:00:00;       130.15; nan; multi
2002-03-14; 00:00:00;       317.25; nan; multi
2002-03-30; 00:00:00;       390.26; nan; multi
2002-04-24; 00:00:00;        88.50; nan; multi
2002-06-27; 00:00:00;        86.00; nan; multi
2002-07-13; 00:00:00;        85.36; nan; multi
2002-07-20; 00:00:00;       129.10; nan; multi
2002-08-14; 00:00:00;        83.83; nan; multi
2002-09-15; 00:00:00;        90.15; nan; multi
2002-09-22; 00:00:00;        85.51; nan; multi
2002-10-08; 00:00:00;        92.35; nan; multi
2002-11-02; 00:00:00;       174.70; nan; multi
2003-01-05; 00:00:00;      1092.49; nan; multi
2003-02-06; 00:00:00;       315.36; nan; multi
2003-02-13; 00:00:00;       944.13; nan; multi
2003-03-10; 00:00:00;      1038.75; nan; multi
2003-03-17; 00:00:00;      1033.49; nan; multi
2003-03-26; 00:00:00;       915.44; nan; multi
2003-04-18; 00:00:00;       977.68; nan; multi
2003-04-27; 00:00:00;       937.36; nan; multi
2003-05-04; 00:00:00;       332.52; nan; multi
2003-05-13; 00:00:00;       173.61; nan; multi
2003-05-29; 00:00:00;      1088.95; nan; multi
2003-09-02; 00:00:00;        73.97; nan; multi
2003-09-25; 00:00:00;        79.86; nan; multi
2003-12-07; 00:00:00;       865.62; nan; multi
2003-12-14; 00:00:00;       477.46; nan; multi
2004-01-15; 00:00:00;       832.29; nan; multi
2004-05-15; 00:00:00;      1143.50; nan; multi
2004-05-22; 00:00:00;      1145.43; nan; multi
2004-07-25; 00:00:00;        74.27; nan; multi
2004-08-10; 00:00:00;        75.09; nan; multi
2005-01-10; 00:00:00;       262.61; nan; multi
2005-07-21; 00:00:00;        75.67; nan; multi
2005-08-29; 00:00:00;        74.72; nan; multi
2005-09-14; 00:00:00;        77.04; nan; multi
2005-11-10; 00:00:00;       133.19; nan; multi
2006-01-13; 00:00:00;       325.64; nan; multi
2006-02-05; 00:00:00;       482.76; nan; multi
2006-05-28; 00:00:00;        74.50; nan; multi
2006-06-06; 00:00:00;        76.09; nan; multi
2006-06-29; 00:00:00;        75.17; nan; multi
2006-07-15; 00:00:00;        74.21; nan; multi
2006-09-01; 00:00:00;        75.37; nan; multi
2006-10-12; 00:00:00;        92.11; nan; multi
2006-10-28; 00:00:00;       133.08; nan; multi
2006-12-15; 00:00:00;       620.79; nan; multi
2007-03-05; 00:00:00;      1114.22; nan; multi
2007-03-12; 00:00:00;      1112.24; nan; multi
2007-08-03; 00:00:00;        75.73; nan; multi
2007-08-12; 00:00:00;        79.24; nan; multi
2007-09-04; 00:00:00;        77.53; nan; multi
2007-11-16; 00:00:00;        90.24; nan; multi
2007-12-18; 00:00:00;       171.94; nan; multi
2008-01-26; 00:00:00;       451.53; nan; multi
2008-03-14; 00:00:00;       870.47; nan; multi
2008-06-27; 00:00:00;       520.28; nan; multi
2008-08-05; 00:00:00;        74.46; nan; multi
2008-08-30; 00:00:00;        77.15; nan; multi
2008-09-15; 00:00:00;        85.15; nan; multi
2008-11-25; 00:00:00;       680.46; nan; multi
2008-12-27; 00:00:00;       622.07; nan; multi
2009-03-17; 00:00:00;       404.92; nan; multi
2009-04-02; 00:00:00;       338.29; nan; multi
2009-05-29; 00:00:00;      1130.81; nan; multi
2009-07-16; 00:00:00;        74.13; nan; multi
2009-09-25; 00:00:00;        74.07; nan; multi
2009-10-27; 00:00:00;        79.10; nan; multi
2010-03-29; 00:00:00;      1061.90; nan; multi
2010-04-14; 00:00:00;      1127.75; nan; multi
2010-05-23; 00:00:00;       977.52; nan; multi
2010-06-24; 00:00:00;      1043.94; nan; multi
2010-07-10; 00:00:00;       102.20; nan; multi
2010-07-19; 00:00:00;        82.01; nan; multi
2010-07-26; 00:00:00;        78.55; nan; multi
2010-08-20; 00:00:00;        74.19; nan; multi
2010-10-14; 00:00:00;       102.22; nan; multi
2011-02-28; 00:00:00;       521.62; nan; multi
2011-03-07; 00:00:00;       506.25; nan; multi
2011-04-01; 00:00:00;      1119.25; nan; multi
2011-04-17; 00:00:00;       134.34; nan; multi
2011-04-24; 00:00:00;        98.06; nan; multi
2011-08-30; 00:00:00;        79.23; nan; multi
2011-10-17; 00:00:00;        76.21; nan; multi
2012-03-09; 00:00:00;       129.62; nan; multi
2012-07-24; 00:00:00;        74.25; nan; multi
2012-07-31; 00:00:00;        73.91; nan; multi
2012-08-16; 00:00:00;        73.61; nan; multi
2012-10-05; 00:00:00;       310.91; nan; multi
2012-10-15; 00:00:00;       399.09; nan; multi
2012-10-22; 00:00:00;       877.81; nan; multi
2012-10-23; 00:00:00;       794.84; nan; multi
2012-10-24; 00:00:00;       802.36; nan; multi
2012-10-28; 00:00:00;       657.86; nan; multi
2012-10-29; 00:00:00;       548.33; nan; multi
2012-10-30; 00:00:00;       521.16; nan; multi
2012-11-02; 00:00:00;       546.63; nan; multi
2012-11-07; 00:00:00;       728.50; nan; multi
2012-11-13; 00:00:00;       936.80; nan; multi
2012-11-14; 00:00:00;       948.84; nan; multi
2012-11-15; 00:00:00;       944.83; nan; multi
2012-11-22; 00:00:00;       730.36; nan; multi
2012-11-30; 00:00:00;       747.45; nan; multi
2012-12-01; 00:00:00;       722.04; nan; multi
2012-12-04; 00:00:00;       696.57; nan; multi
2012-12-06; 00:00:00;       683.43; nan; multi
2012-12-15; 00:00:00;       464.74; nan; multi
2012-12-16; 00:00:00;       429.07; nan; multi
2012-12-23; 00:00:00;       469.30; nan; multi
2012-12-29; 00:00:00;       464.09; nan; multi
2013-01-02; 00:00:00;       559.76; nan; multi
2013-01-03; 00:00:00;       588.96; nan; multi
2013-01-11; 00:00:00;      1030.12; nan; multi
2013-01-17; 00:00:00;       713.80; nan; multi
2013-01-28; 00:00:00;       750.58; nan; multi
2013-02-06; 00:00:00;       826.43; nan; multi
2013-02-12; 00:00:00;       662.52; nan; multi
2013-02-16; 00:00:00;       715.07; nan; multi
2013-02-17; 00:00:00;       827.86; nan; multi
2013-02-18; 00:00:00;       816.39; nan; multi
2013-02-19; 00:00:00;       776.95; nan; multi
2013-02-20; 00:00:00;       759.53; nan; multi
2013-02-21; 00:00:00;       754.60; nan; multi
2013-02-22; 00:00:00;       846.78; nan; multi
2013-02-27; 00:00:00;       884.71; nan; multi
2013-02-28; 00:00:00;       905.65; nan; multi
2013-03-01; 00:00:00;       976.47; nan; multi
2013-03-03; 00:00:00;       927.37; nan; multi
2013-03-20; 00:00:00;      1136.59; nan; multi
2013-03-31; 00:00:00;       928.04; nan; multi
2013-04-03; 00:00:00;       922.16; nan; multi
2013-04-06; 00:00:00;      1030.24; nan; multi
2013-04-13; 00:00:00;       310.66; nan; multi
2013-04-14; 00:00:00;       511.77; nan; multi
2013-04-17; 00:00:00;       760.93; nan; multi
2013-04-24; 00:00:00;       888.09; nan; multi
2013-04-25; 00:00:00;       826.28; nan; multi
2013-05-05; 00:00:00;       430.83; nan; multi
2013-05-06; 00:00:00;       430.80; nan; multi
2013-05-29; 00:00:00;       891.32; nan; multi
2013-06-01; 00:00:00;       723.03; nan; multi
2013-06-03; 00:00:00;       654.71; nan; multi
2013-06-04; 00:00:00;       611.63; nan; multi
2013-06-05; 00:00:00;       600.34; nan; multi
2013-06-06; 00:00:00;       525.23; nan; multi
2013-06-12; 00:00:00;       520.39; nan; multi
2013-06-16; 00:00:00;       543.63; nan; multi
2013-06-26; 00:00:00;       390.40; nan; multi
2013-06-27; 00:00:00;       359.60; nan; multi
2013-07-01; 00:00:00;       316.42; nan; multi
2013-07-05; 00:00:00;       292.54; nan; multi
2013-07-06; 00:00:00;       292.28; nan; multi
2013-07-07; 00:00:00;       312.68; nan; multi
2013-07-08; 00:00:00;       316.70; nan; multi
2013-07-09; 00:00:00;       307.88; nan; multi
2013-07-10; 00:00:00;       293.42; nan; multi
2013-07-11; 00:00:00;       284.56; nan; multi
2013-07-12; 00:00:00;       277.23; nan; multi
2013-07-13; 00:00:00;       273.88; nan; multi
2013-07-15; 00:00:00;       261.39; nan; multi
2013-07-18; 00:00:00;       249.16; nan; multi
2013-07-19; 00:00:00;       249.49; nan; multi
2013-07-20; 00:00:00;       255.88; nan; multi
2013-07-21; 00:00:00;       254.88; nan; multi
2013-07-22; 00:00:00;       250.05; nan; multi
2013-07-25; 00:00:00;       238.21; nan; multi
2013-07-26; 00:00:00;       232.06; nan; multi
2013-07-31; 00:00:00;       226.18; nan; multi
2013-08-01; 00:00:00;       240.59; nan; multi
2013-08-03; 00:00:00;       236.63; nan; multi
2013-08-04; 00:00:00;       233.25; nan; multi
2013-08-11; 00:00:00;       194.63; nan; multi
2013-08-12; 00:00:00;       178.71; nan; multi
2013-08-13; 00:00:00;       168.94; nan; multi
2013-08-14; 00:00:00;       165.30; nan; multi
2013-08-15; 00:00:00;       161.47; nan; multi
2013-08-16; 00:00:00;       161.79; nan; multi
2013-08-17; 00:00:00;       163.76; nan; multi
2013-08-18; 00:00:00;       165.44; nan; multi
2013-08-20; 00:00:00;       164.99; nan; multi
2013-08-21; 00:00:00;       168.85; nan; multi
2013-08-29; 00:00:00;       194.69; nan; multi
2013-08-31; 00:00:00;       195.41; nan; multi
2013-09-02; 00:00:00;       184.03; nan; multi
2013-09-03; 00:00:00;       174.81; nan; multi
2013-09-04; 00:00:00;       168.48; nan; multi
2013-09-05; 00:00:00;       170.04; nan; multi
2013-09-11; 00:00:00;       211.10; nan; multi
2013-09-22; 00:00:00;       304.60; nan; multi
2013-09-23; 00:00:00;       267.14; nan; multi
2013-09-24; 00:00:00;       261.92; nan; multi
2013-09-25; 00:00:00;       272.79; nan; multi
2013-09-28; 00:00:00;       265.31; nan; multi
2013-10-02; 00:00:00;       262.86; nan; multi
2013-10-06; 00:00:00;       266.42; nan; multi
2013-10-07; 00:00:00;       253.77; nan; multi
2013-10-17; 00:00:00;       407.74; nan; multi
2013-10-18; 00:00:00;       455.81; nan; multi
2013-10-20; 00:00:00;       569.90; nan; multi
2013-10-23; 00:00:00;       561.98; nan; multi
2013-10-29; 00:00:00;       411.53; nan; multi
2013-10-31; 00:00:00;       417.26; nan; multi
2013-11-07; 00:00:00;       427.76; nan; multi
2013-11-16; 00:00:00;       795.18; nan; multi
2013-11-20; 00:00:00;       651.80; nan; multi
2013-11-25; 00:00:00;       642.55; nan; multi
2013-11-27; 00:00:00;       693.85; nan; multi
2013-11-28; 00:00:00;      1008.90; nan; multi
2013-12-01; 00:00:00;      1105.80; nan; multi
2013-12-02; 00:00:00;      1132.03; nan; multi
2013-12-07; 00:00:00;      1132.11; nan; multi
2013-12-09; 00:00:00;      1105.33; nan; multi
2013-12-10; 00:00:00;      1065.31; nan; multi
2013-12-11; 00:00:00;      1050.51; nan; multi
2013-12-12; 00:00:00;      1062.72; nan; multi
2013-12-14; 00:00:00;      1055.54; nan; multi
2013-12-16; 00:00:00;      1047.53; nan; multi
2013-12-18; 00:00:00;      1028.16; nan; multi
2013-12-20; 00:00:00;      1010.23; nan; multi
2013-12-23; 00:00:00;       961.92; nan; multi
2013-12-25; 00:00:00;       952.02; nan; multi
2013-12-27; 00:00:00;       998.45; nan; multi
2014-01-06; 00:00:00;       676.21; nan; multi
2014-01-07; 00:00:00;       594.84; nan; multi
2014-01-10; 00:00:00;       630.73; nan; multi
2014-01-17; 00:00:00;      1106.23; nan; multi
2014-01-21; 00:00:00;      1008.84; nan; multi
2014-01-23; 00:00:00;       935.25; nan; multi
2014-01-27; 00:00:00;      1054.88; nan; multi
2014-02-04; 00:00:00;      1076.39; nan; multi
2014-02-06; 00:00:00;      1092.41; nan; multi
2014-02-07; 00:00:00;      1139.05; nan; multi
2014-02-12; 00:00:00;      1145.13; nan; multi
2014-02-17; 00:00:00;      1095.99; nan; multi
2014-02-23; 00:00:00;      1147.71; nan; multi
2014-02-24; 00:00:00;      1113.43; nan; multi
2014-03-05; 00:00:00;      1090.37; nan; multi
2014-03-06; 00:00:00;      1108.74; nan; multi
2014-03-07; 00:00:00;      1100.60; nan; multi
2014-03-08; 00:00:00;      1108.48; nan; multi
2014-03-09; 00:00:00;      1091.27; nan; multi
2014-03-10; 00:00:00;      1050.88; nan; multi
2014-03-11; 00:00:00;      1044.30; nan; multi
2014-03-12; 00:00:00;      1000.87; nan; multi
2014-03-13; 00:00:00;       954.83; nan; multi
2014-03-14; 00:00:00;       846.48; nan; multi
2014-03-16; 00:00:00;       734.19; nan; multi
2014-03-17; 00:00:00;       674.10; nan; multi
2014-03-19; 00:00:00;       626.21; nan; multi
2014-03-20; 00:00:00;       733.57; nan; multi
2014-03-31; 00:00:00;       544.89; nan; multi
2014-04-08; 00:00:00;       585.42; nan; multi
2014-04-09; 00:00:00;       621.76; nan; multi
2014-04-10; 00:00:00;       693.87; nan; multi
2014-04-12; 00:00:00;       766.57; nan; multi
2014-04-14; 00:00:00;       931.59; nan; multi
2014-04-15; 00:00:00;       914.65; nan; multi
2014-04-16; 00:00:00;       961.23; nan; multi
2014-04-17; 00:00:00;       994.70; nan; multi
2014-04-18; 00:00:00;      1013.28; nan; multi
2014-04-19; 00:00:00;      1032.50; nan; multi
2014-05-04; 00:00:00;       474.79; nan; multi
2014-05-13; 00:00:00;       418.33; nan; multi
2014-05-15; 00:00:00;       374.46; nan; multi
2014-05-16; 00:00:00;       388.88; nan; multi
2014-05-17; 00:00:00;       375.94; nan; multi
2014-05-18; 00:00:00;       382.86; nan; multi
2014-05-19; 00:00:00;       383.05; nan; multi
2014-06-05; 00:00:00;       399.42; nan; multi
2014-06-07; 00:00:00;       331.66; nan; multi
2014-06-08; 00:00:00;       354.90; nan; multi
2014-06-12; 00:00:00;       336.76; nan; multi
2014-06-16; 00:00:00;       306.11; nan; multi
2014-06-19; 00:00:00;       262.50; nan; multi
2014-06-20; 00:00:00;       246.78; nan; multi
2014-06-21; 00:00:00;       240.83; nan; multi
2014-06-25; 00:00:00;       243.14; nan; multi
2014-07-16; 00:00:00;       214.36; nan; multi
2014-07-17; 00:00:00;       211.52; nan; multi
2014-07-21; 00:00:00;       164.51; nan; multi
2014-07-22; 00:00:00;       153.16; nan; multi
2014-07-23; 00:00:00;       152.04; nan; multi
2014-07-24; 00:00:00;       161.53; nan; multi
2014-08-02; 00:00:00;       216.47; nan; multi
2014-08-04; 00:00:00;       229.95; nan; multi
2014-08-05; 00:00:00;       218.49; nan; multi
2014-08-06; 00:00:00;       219.20; nan; multi
2014-08-08; 00:00:00;       209.26; nan; multi
2014-08-13; 00:00:00;       213.66; nan; multi
2014-08-16; 00:00:00;       195.64; nan; multi
2014-08-18; 00:00:00;       197.54; nan; multi
2014-08-24; 00:00:00;       164.08; nan; multi
2014-08-28; 00:00:00;       164.90; nan; multi
2014-08-30; 00:00:00;       163.36; nan; multi
2014-09-01; 00:00:00;       170.43; nan; multi
2014-09-02; 00:00:00;       170.76; nan; multi
2014-09-03; 00:00:00;       177.97; nan; multi
2014-09-04; 00:00:00;       195.60; nan; multi
2014-09-06; 00:00:00;       207.64; nan; multi
2014-09-07; 00:00:00;       222.82; nan; multi
2014-09-10; 00:00:00;       233.64; nan; multi
2014-09-11; 00:00:00;       230.75; nan; multi
2014-09-12; 00:00:00;       227.39; nan; multi
2014-09-13; 00:00:00;       220.13; nan; multi
