# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GARONNE
# River:                 GARONNE
# Station:               MARMANDE
# Country:               FRANCE
# Latitude (DD):         44.49
# Longitude (DD):        0.15
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-05 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Service Central d'Hydrometeorologie et d'Appui a la Prevision des Inondations (SCHAPI) HydroPortail
# Calibration period:    2009-03-06 - 2023-06-10
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3274
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-05; 00:00:00;       457.29; nan; multi
2000-01-20; 00:00:00;       567.59; nan; multi
2000-01-21; 00:00:00;       567.98; nan; multi
2000-02-22; 00:00:00;       498.31; nan; multi
2000-03-02; 00:00:00;       701.97; nan; multi
2000-03-03; 00:00:00;       798.38; nan; multi
2000-03-06; 00:00:00;       789.50; nan; multi
2000-03-08; 00:00:00;       829.91; nan; multi
2000-03-09; 00:00:00;       810.49; nan; multi
2000-03-10; 00:00:00;       787.85; nan; multi
2000-03-11; 00:00:00;       794.49; nan; multi
2000-03-12; 00:00:00;       747.53; nan; multi
2000-03-13; 00:00:00;       752.88; nan; multi
2000-03-15; 00:00:00;       749.09; nan; multi
2000-03-17; 00:00:00;       765.73; nan; multi
2000-03-20; 00:00:00;       804.68; nan; multi
2000-03-21; 00:00:00;       765.35; nan; multi
2000-03-24; 00:00:00;       765.35; nan; multi
2000-04-07; 00:00:00;      1018.49; nan; multi
2000-04-14; 00:00:00;      1078.95; nan; multi
2000-04-20; 00:00:00;       824.79; nan; multi
2000-04-21; 00:00:00;       726.93; nan; multi
2000-04-25; 00:00:00;       811.47; nan; multi
2000-04-29; 00:00:00;       823.71; nan; multi
2000-05-02; 00:00:00;       702.06; nan; multi
2000-05-15; 00:00:00;       456.97; nan; multi
2000-05-23; 00:00:00;       400.81; nan; multi
2000-05-24; 00:00:00;       373.15; nan; multi
2000-06-01; 00:00:00;       352.51; nan; multi
2000-06-02; 00:00:00;       411.61; nan; multi
2000-06-08; 00:00:00;       446.18; nan; multi
2000-06-14; 00:00:00;       472.69; nan; multi
2000-06-15; 00:00:00;       465.60; nan; multi
2000-06-16; 00:00:00;       523.41; nan; multi
2000-06-17; 00:00:00;       513.70; nan; multi
2000-06-18; 00:00:00;       489.83; nan; multi
2000-06-19; 00:00:00;       528.42; nan; multi
2000-06-20; 00:00:00;       483.61; nan; multi
2000-06-26; 00:00:00;       441.67; nan; multi
2000-07-02; 00:00:00;       454.71; nan; multi
2000-07-03; 00:00:00;       393.08; nan; multi
2000-07-06; 00:00:00;       366.20; nan; multi
2000-07-17; 00:00:00;       261.09; nan; multi
2000-07-18; 00:00:00;       332.11; nan; multi
2000-07-19; 00:00:00;       338.46; nan; multi
2000-07-20; 00:00:00;       324.57; nan; multi
2000-07-26; 00:00:00;       255.82; nan; multi
2000-07-30; 00:00:00;       285.97; nan; multi
2000-07-31; 00:00:00;       248.29; nan; multi
2000-08-01; 00:00:00;       230.41; nan; multi
2000-08-07; 00:00:00;       298.80; nan; multi
2000-08-20; 00:00:00;       240.87; nan; multi
2000-08-22; 00:00:00;       204.14; nan; multi
2000-08-23; 00:00:00;       200.73; nan; multi
2000-08-24; 00:00:00;       202.66; nan; multi
2000-08-29; 00:00:00;       197.13; nan; multi
2000-08-31; 00:00:00;       209.43; nan; multi
2000-09-01; 00:00:00;       222.32; nan; multi
2000-09-05; 00:00:00;       225.17; nan; multi
2000-09-08; 00:00:00;       236.23; nan; multi
2000-09-09; 00:00:00;       250.08; nan; multi
2000-09-10; 00:00:00;       278.43; nan; multi
2000-09-11; 00:00:00;       317.44; nan; multi
2000-09-22; 00:00:00;       403.25; nan; multi
2000-09-23; 00:00:00;       475.17; nan; multi
