# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 INDUS
# River:                 INDUS
# Station:               KOTRI
# Country:               PAKISTAN
# Latitude (DD):         25.442
# Longitude (DD):        68.317
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-03-02 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-04-12 - 2022-10-26
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 5921
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-03-02; 00:00:00;        37.74; nan; multi
2000-03-04; 00:00:00;        52.20; nan; multi
2000-03-06; 00:00:00;        77.00; nan; multi
2000-03-09; 00:00:00;        53.80; nan; multi
2000-03-11; 00:00:00;        50.99; nan; multi
2000-03-14; 00:00:00;        88.13; nan; multi
2000-03-18; 00:00:00;        56.37; nan; multi
2000-03-19; 00:00:00;      2612.03; nan; multi
2000-03-23; 00:00:00;       248.71; nan; multi
2000-03-24; 00:00:00;       141.48; nan; multi
2000-03-25; 00:00:00;        53.80; nan; multi
2000-03-27; 00:00:00;        42.08; nan; multi
2000-03-30; 00:00:00;        50.53; nan; multi
2000-04-08; 00:00:00;        50.76; nan; multi
2000-04-10; 00:00:00;        12.86; nan; multi
2000-04-15; 00:00:00;        16.16; nan; multi
2000-04-19; 00:00:00;        10.88; nan; multi
2000-04-21; 00:00:00;        26.05; nan; multi
2000-04-24; 00:00:00;        31.29; nan; multi
2000-05-05; 00:00:00;         8.46; nan; multi
2000-05-12; 00:00:00;         4.18; nan; multi
2000-05-28; 00:00:00;         4.04; nan; multi
2000-06-02; 00:00:00;         6.99; nan; multi
2000-06-25; 00:00:00;         7.09; nan; multi
2000-07-24; 00:00:00;         5.31; nan; multi
2000-07-27; 00:00:00;        11.80; nan; multi
2000-07-31; 00:00:00;         4.90; nan; multi
2000-08-05; 00:00:00;        24.25; nan; multi
2000-09-03; 00:00:00;        12.45; nan; multi
2000-09-05; 00:00:00;        35.81; nan; multi
2000-09-10; 00:00:00;        10.42; nan; multi
2000-09-15; 00:00:00;        77.00; nan; multi
2000-09-26; 00:00:00;        53.80; nan; multi
2000-09-28; 00:00:00;        88.63; nan; multi
2000-09-29; 00:00:00;      1669.49; nan; multi
2000-10-01; 00:00:00;      2850.36; nan; multi
2000-10-02; 00:00:00;       561.07; nan; multi
2000-10-03; 00:00:00;       536.79; nan; multi
2000-10-05; 00:00:00;       738.74; nan; multi
2000-10-06; 00:00:00;       399.38; nan; multi
2000-10-08; 00:00:00;      1194.90; nan; multi
