# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 IRRAWADDY
# River:                 CHINDWIN
# Station:               HKAMTI
# Country:               MYANMAR
# Latitude (DD):         26
# Longitude (DD):        95.7
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-30 - 2022-12-31
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-12-17 - 2022-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 675
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-30; 00:00:00;       255.85; nan; multi
2000-02-07; 00:00:00;        96.15; nan; multi
2000-02-15; 00:00:00;       121.36; nan; multi
2000-02-23; 00:00:00;       129.83; nan; multi
2000-03-18; 00:00:00;       212.54; nan; multi
2000-04-19; 00:00:00;       136.68; nan; multi
2000-05-05; 00:00:00;       798.76; nan; multi
2000-05-13; 00:00:00;       516.83; nan; multi
2000-05-21; 00:00:00;       767.51; nan; multi
2000-08-25; 00:00:00;      3113.78; nan; multi
2000-09-26; 00:00:00;      7890.85; nan; multi
2000-10-04; 00:00:00;       958.63; nan; multi
2000-10-12; 00:00:00;      1254.12; nan; multi
2000-10-20; 00:00:00;      2416.14; nan; multi
2000-11-05; 00:00:00;       865.09; nan; multi
2000-11-13; 00:00:00;       563.08; nan; multi
2000-12-07; 00:00:00;       299.85; nan; multi
2000-12-15; 00:00:00;       236.54; nan; multi
2000-12-31; 00:00:00;       115.88; nan; multi
2001-01-16; 00:00:00;        90.92; nan; multi
2001-02-01; 00:00:00;        59.14; nan; multi
2001-02-09; 00:00:00;        21.76; nan; multi
2001-02-17; 00:00:00;        25.27; nan; multi
2001-03-05; 00:00:00;        14.88; nan; multi
2001-03-21; 00:00:00;        78.98; nan; multi
2001-03-29; 00:00:00;        34.24; nan; multi
2001-04-22; 00:00:00;       127.67; nan; multi
2001-06-09; 00:00:00;      1784.66; nan; multi
2001-07-03; 00:00:00;      1345.65; nan; multi
2001-09-21; 00:00:00;     10057.03; nan; multi
2001-10-15; 00:00:00;      8950.03; nan; multi
2001-10-23; 00:00:00;      2522.13; nan; multi
2001-11-16; 00:00:00;       396.18; nan; multi
2001-12-26; 00:00:00;        93.65; nan; multi
2002-01-03; 00:00:00;        73.82; nan; multi
2002-02-12; 00:00:00;        26.76; nan; multi
2002-02-28; 00:00:00;        40.87; nan; multi
2002-03-08; 00:00:00;        39.25; nan; multi
2002-03-24; 00:00:00;       109.00; nan; multi
2002-04-01; 00:00:00;       121.82; nan; multi
2002-08-07; 00:00:00;         8.00; nan; multi
2002-09-08; 00:00:00;      1330.81; nan; multi
2002-10-26; 00:00:00;       620.64; nan; multi
2002-12-13; 00:00:00;       199.33; nan; multi
2003-01-06; 00:00:00;       104.15; nan; multi
2003-01-30; 00:00:00;       209.21; nan; multi
2003-02-07; 00:00:00;       122.65; nan; multi
2003-02-15; 00:00:00;       236.01; nan; multi
2003-02-23; 00:00:00;       127.03; nan; multi
2003-03-11; 00:00:00;        36.87; nan; multi
