# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 IRRAWADDY
# River:                 IRRAWADDY
# Station:               PYAY
# Country:               MYANMAR
# Latitude (DD):         18.835
# Longitude (DD):        95.2105
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-23 - 2022-12-31
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-04-12 - 2022-10-26
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3364
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-23; 00:00:00;      8393.26; nan; multi
2000-02-08; 00:00:00;      8030.25; nan; multi
2000-02-24; 00:00:00;      8005.34; nan; multi
2000-03-03; 00:00:00;      4987.96; nan; multi
2000-04-04; 00:00:00;      4469.33; nan; multi
2000-04-12; 00:00:00;     11591.71; nan; multi
2000-05-30; 00:00:00;     46951.29; nan; multi
2000-07-01; 00:00:00;     44919.70; nan; multi
2000-08-26; 00:00:00;     21378.57; nan; multi
2000-09-11; 00:00:00;     26153.85; nan; multi
2000-09-19; 00:00:00;     46902.91; nan; multi
2000-09-27; 00:00:00;     38782.57; nan; multi
2000-10-05; 00:00:00;     46576.54; nan; multi
2000-10-13; 00:00:00;     37665.52; nan; multi
2000-10-21; 00:00:00;     47501.62; nan; multi
2000-11-06; 00:00:00;     44332.50; nan; multi
2000-11-14; 00:00:00;     17562.77; nan; multi
2000-11-22; 00:00:00;     20153.09; nan; multi
2000-12-08; 00:00:00;      9624.79; nan; multi
2001-01-25; 00:00:00;      4048.72; nan; multi
2001-02-02; 00:00:00;      3992.93; nan; multi
2001-02-26; 00:00:00;      3274.67; nan; multi
2001-03-06; 00:00:00;      3956.98; nan; multi
2001-03-30; 00:00:00;      3838.53; nan; multi
2001-04-15; 00:00:00;      4765.04; nan; multi
2001-05-01; 00:00:00;      5441.57; nan; multi
2001-05-17; 00:00:00;      7143.32; nan; multi
2001-06-10; 00:00:00;      9030.35; nan; multi
2001-07-12; 00:00:00;      9911.12; nan; multi
2001-07-28; 00:00:00;      5757.17; nan; multi
2001-08-21; 00:00:00;     38788.63; nan; multi
2001-09-14; 00:00:00;     14148.19; nan; multi
2001-10-16; 00:00:00;     47410.04; nan; multi
2001-11-17; 00:00:00;     11481.97; nan; multi
2001-12-19; 00:00:00;      5460.70; nan; multi
2002-01-04; 00:00:00;      5023.85; nan; multi
2002-02-05; 00:00:00;      4235.41; nan; multi
2002-02-21; 00:00:00;      3853.59; nan; multi
2002-03-09; 00:00:00;      3882.07; nan; multi
2002-03-25; 00:00:00;      4351.72; nan; multi
2002-04-10; 00:00:00;      4582.27; nan; multi
2002-04-26; 00:00:00;      4941.95; nan; multi
2002-09-01; 00:00:00;      3324.37; nan; multi
2002-09-02; 00:00:00;      6292.41; nan; multi
2002-09-03; 00:00:00;     14815.86; nan; multi
2002-09-16; 00:00:00;      2304.37; nan; multi
2002-09-30; 00:00:00;     34096.87; nan; multi
2002-10-09; 00:00:00;     15529.86; nan; multi
2002-10-10; 00:00:00;     19752.15; nan; multi
2002-10-11; 00:00:00;     17233.67; nan; multi
2002-11-01; 00:00:00;      7370.49; nan; multi
2002-11-10; 00:00:00;      9858.82; nan; multi
2002-11-17; 00:00:00;      5713.37; nan; multi
2002-11-18; 00:00:00;      5805.66; nan; multi
2002-11-19; 00:00:00;      5373.59; nan; multi
2002-11-20; 00:00:00;      5514.60; nan; multi
2002-11-21; 00:00:00;      5349.42; nan; multi
2002-12-01; 00:00:00;      4797.60; nan; multi
2002-12-04; 00:00:00;      5051.47; nan; multi
2002-12-06; 00:00:00;      4605.85; nan; multi
2002-12-07; 00:00:00;      3858.14; nan; multi
2002-12-08; 00:00:00;      3541.84; nan; multi
2002-12-12; 00:00:00;      3288.60; nan; multi
2002-12-13; 00:00:00;      3890.65; nan; multi
2002-12-14; 00:00:00;      3399.55; nan; multi
2002-12-15; 00:00:00;      3347.53; nan; multi
2002-12-16; 00:00:00;      2978.69; nan; multi
2002-12-17; 00:00:00;      3118.34; nan; multi
2002-12-19; 00:00:00;      2738.75; nan; multi
2002-12-20; 00:00:00;      2960.24; nan; multi
2002-12-21; 00:00:00;      2744.92; nan; multi
2002-12-23; 00:00:00;      2610.12; nan; multi
2002-12-24; 00:00:00;      2752.16; nan; multi
2002-12-26; 00:00:00;      2608.29; nan; multi
2002-12-27; 00:00:00;      2922.44; nan; multi
2002-12-28; 00:00:00;      2707.76; nan; multi
2002-12-29; 00:00:00;      2825.51; nan; multi
2002-12-30; 00:00:00;      2865.19; nan; multi
2002-12-31; 00:00:00;      3152.00; nan; multi
