# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 IRRAWADDY
# River:                 IRRAWADDY
# Station:               SAGAING
# Country:               MYANMAR
# Latitude (DD):         21.98
# Longitude (DD):        96.06
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-03 - 2023-09-19
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-04-12 - 2022-10-26
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4379
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-03; 00:00:00;      3740.80; nan; multi
1999-10-19; 00:00:00;      1384.62; nan; multi
1999-11-12; 00:00:00;      4678.50; nan; multi
1999-11-20; 00:00:00;      1495.81; nan; multi
1999-12-06; 00:00:00;       610.31; nan; multi
2000-01-07; 00:00:00;       718.19; nan; multi
2000-01-23; 00:00:00;       531.18; nan; multi
2000-02-16; 00:00:00;      3222.75; nan; multi
2000-02-24; 00:00:00;       313.52; nan; multi
2000-02-28; 00:00:00;       395.32; nan; multi
2000-02-29; 00:00:00;       455.24; nan; multi
2000-03-01; 00:00:00;       533.22; nan; multi
2000-03-04; 00:00:00;       609.66; nan; multi
2000-03-05; 00:00:00;       660.16; nan; multi
2000-03-06; 00:00:00;       696.77; nan; multi
2000-03-07; 00:00:00;       741.31; nan; multi
2000-03-08; 00:00:00;       730.05; nan; multi
2000-03-10; 00:00:00;       726.57; nan; multi
2000-03-11; 00:00:00;       725.53; nan; multi
2000-03-12; 00:00:00;       732.06; nan; multi
2000-03-14; 00:00:00;       771.70; nan; multi
2000-03-15; 00:00:00;       773.76; nan; multi
2000-03-16; 00:00:00;       833.22; nan; multi
2000-03-17; 00:00:00;       860.00; nan; multi
2000-03-18; 00:00:00;       954.44; nan; multi
2000-03-19; 00:00:00;      1043.27; nan; multi
2000-03-20; 00:00:00;      1191.04; nan; multi
2000-03-21; 00:00:00;      1296.47; nan; multi
2000-03-22; 00:00:00;      1215.68; nan; multi
2000-03-23; 00:00:00;      1310.92; nan; multi
2000-03-24; 00:00:00;      1201.08; nan; multi
2000-03-27; 00:00:00;      1048.69; nan; multi
2000-03-31; 00:00:00;      1193.85; nan; multi
2000-04-01; 00:00:00;      1504.78; nan; multi
2000-04-02; 00:00:00;      1773.53; nan; multi
2000-04-03; 00:00:00;      1947.40; nan; multi
2000-04-04; 00:00:00;      2063.46; nan; multi
2000-04-05; 00:00:00;      2134.73; nan; multi
2000-04-06; 00:00:00;      2244.96; nan; multi
2000-04-07; 00:00:00;      2217.72; nan; multi
2000-04-10; 00:00:00;      2076.70; nan; multi
2000-04-12; 00:00:00;      1929.22; nan; multi
2000-04-13; 00:00:00;      1813.01; nan; multi
2000-04-16; 00:00:00;      1804.45; nan; multi
2000-04-20; 00:00:00;      1807.48; nan; multi
2000-04-29; 00:00:00;      1811.68; nan; multi
2000-04-30; 00:00:00;      2088.26; nan; multi
2000-05-01; 00:00:00;      2937.44; nan; multi
2000-05-04; 00:00:00;      2306.47; nan; multi
2000-05-10; 00:00:00;      2292.72; nan; multi
2000-05-11; 00:00:00;      2155.51; nan; multi
2000-05-14; 00:00:00;      2013.09; nan; multi
2000-05-30; 00:00:00;      2895.44; nan; multi
2000-06-23; 00:00:00;     12702.53; nan; multi
2000-07-02; 00:00:00;     14752.37; nan; multi
2000-08-02; 00:00:00;      9984.24; nan; multi
2000-08-10; 00:00:00;     11447.19; nan; multi
2000-08-26; 00:00:00;     18814.92; nan; multi
2000-09-03; 00:00:00;      7240.99; nan; multi
2000-09-09; 00:00:00;      9538.68; nan; multi
2000-09-11; 00:00:00;      8989.69; nan; multi
2000-09-22; 00:00:00;      9470.54; nan; multi
2000-09-27; 00:00:00;     10275.78; nan; multi
2000-10-06; 00:00:00;      6776.44; nan; multi
2000-10-11; 00:00:00;      7151.68; nan; multi
2000-10-13; 00:00:00;      7521.08; nan; multi
2000-10-15; 00:00:00;      7303.19; nan; multi
2000-10-16; 00:00:00;      7904.96; nan; multi
2000-10-17; 00:00:00;      8922.77; nan; multi
2000-10-26; 00:00:00;      6796.92; nan; multi
2000-11-01; 00:00:00;      5084.62; nan; multi
2000-11-02; 00:00:00;      4691.72; nan; multi
2000-11-03; 00:00:00;      4179.76; nan; multi
2000-11-05; 00:00:00;      3715.79; nan; multi
2000-11-06; 00:00:00;      3335.80; nan; multi
2000-11-07; 00:00:00;      2965.82; nan; multi
2000-11-08; 00:00:00;      2651.91; nan; multi
2000-11-10; 00:00:00;      2736.64; nan; multi
