# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 LENA
# River:                 LENA
# Station:               KYUSUR
# Country:               RUSSIA
# Latitude (DD):         70.66
# Longitude (DD):        127.22
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-24 - 2023-09-24
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Arctic Great Rivers Observatory (ArcticGRO)
# Calibration period:    2008-10-13 - 2023-08-20
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1089
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-24; 00:00:00;     33615.18; nan; multi
2000-07-07; 00:00:00;     30987.36; nan; multi
2000-07-14; 00:00:00;     33878.28; nan; multi
2000-07-19; 00:00:00;     29242.90; nan; multi
2000-07-22; 00:00:00;     24985.91; nan; multi
2000-07-24; 00:00:00;     34358.34; nan; multi
2000-07-25; 00:00:00;     29552.04; nan; multi
2000-07-30; 00:00:00;     26452.84; nan; multi
2000-08-01; 00:00:00;     21826.39; nan; multi
2000-08-02; 00:00:00;     19052.38; nan; multi
2000-08-03; 00:00:00;     15382.18; nan; multi
2000-08-04; 00:00:00;     14014.38; nan; multi
2000-08-05; 00:00:00;     14948.47; nan; multi
2000-08-21; 00:00:00;     17738.67; nan; multi
2000-08-22; 00:00:00;     17682.89; nan; multi
2000-08-23; 00:00:00;     17716.83; nan; multi
2000-08-24; 00:00:00;     17706.77; nan; multi
2000-08-25; 00:00:00;     17231.75; nan; multi
2000-08-26; 00:00:00;     16991.54; nan; multi
2000-09-14; 00:00:00;     16863.85; nan; multi
2000-09-15; 00:00:00;     16649.68; nan; multi
2000-09-18; 00:00:00;     16227.16; nan; multi
2000-09-19; 00:00:00;     15657.40; nan; multi
2001-06-11; 00:00:00;     31682.24; nan; multi
2001-06-12; 00:00:00;     23349.64; nan; multi
2001-06-14; 00:00:00;     20325.37; nan; multi
2001-06-21; 00:00:00;     21793.32; nan; multi
2001-06-30; 00:00:00;     23178.14; nan; multi
2001-07-02; 00:00:00;     21836.53; nan; multi
2001-07-04; 00:00:00;     20423.87; nan; multi
2001-07-06; 00:00:00;     19922.66; nan; multi
2001-07-09; 00:00:00;     18228.20; nan; multi
2001-07-10; 00:00:00;     16697.70; nan; multi
2001-07-11; 00:00:00;     15897.06; nan; multi
2001-07-12; 00:00:00;     15440.93; nan; multi
2001-07-13; 00:00:00;     15290.74; nan; multi
2001-07-15; 00:00:00;     15080.84; nan; multi
2001-07-16; 00:00:00;     14956.17; nan; multi
2001-07-18; 00:00:00;     14844.81; nan; multi
2001-07-24; 00:00:00;     14544.17; nan; multi
2001-07-26; 00:00:00;     14374.84; nan; multi
2001-07-27; 00:00:00;     14381.32; nan; multi
2001-07-28; 00:00:00;     14449.81; nan; multi
2001-07-29; 00:00:00;     14379.86; nan; multi
2001-07-30; 00:00:00;     14320.53; nan; multi
2001-07-31; 00:00:00;     14312.62; nan; multi
2001-08-01; 00:00:00;     14223.05; nan; multi
2001-08-05; 00:00:00;     14676.08; nan; multi
2001-08-13; 00:00:00;     15088.21; nan; multi
2001-08-15; 00:00:00;     14702.61; nan; multi
2001-08-16; 00:00:00;     14426.68; nan; multi
2001-08-24; 00:00:00;     17555.37; nan; multi
2001-08-26; 00:00:00;     17160.08; nan; multi
2001-08-30; 00:00:00;     15561.10; nan; multi
2001-09-03; 00:00:00;     14516.58; nan; multi
2001-09-04; 00:00:00;     14340.07; nan; multi
2002-06-12; 00:00:00;     39084.97; nan; multi
2002-06-13; 00:00:00;     37016.59; nan; multi
2002-06-14; 00:00:00;     30233.05; nan; multi
2002-06-16; 00:00:00;     28279.91; nan; multi
2002-06-18; 00:00:00;     24449.35; nan; multi
2002-06-19; 00:00:00;     25883.22; nan; multi
2002-06-20; 00:00:00;     25374.94; nan; multi
2002-06-22; 00:00:00;     27551.61; nan; multi
2002-06-23; 00:00:00;     24764.39; nan; multi
2002-06-25; 00:00:00;     22711.72; nan; multi
2002-06-27; 00:00:00;     20333.56; nan; multi
2002-06-28; 00:00:00;     19496.88; nan; multi
2002-06-29; 00:00:00;     18218.47; nan; multi
2002-07-04; 00:00:00;     16981.85; nan; multi
2002-07-05; 00:00:00;     16579.34; nan; multi
2002-07-06; 00:00:00;     16484.58; nan; multi
2002-07-07; 00:00:00;     16142.75; nan; multi
2002-07-08; 00:00:00;     15648.16; nan; multi
2002-07-09; 00:00:00;     15260.52; nan; multi
2002-07-10; 00:00:00;     15290.52; nan; multi
2002-07-11; 00:00:00;     14850.71; nan; multi
2002-07-12; 00:00:00;     14695.47; nan; multi
2002-07-15; 00:00:00;     14495.65; nan; multi
2002-07-17; 00:00:00;     14496.81; nan; multi
2002-07-19; 00:00:00;     14592.72; nan; multi
2002-08-02; 00:00:00;     17854.60; nan; multi
2002-08-06; 00:00:00;     16831.81; nan; multi
2002-08-13; 00:00:00;     15214.86; nan; multi
2002-08-20; 00:00:00;     14155.42; nan; multi
2002-08-22; 00:00:00;     13974.85; nan; multi
2002-08-26; 00:00:00;     13826.69; nan; multi
2002-08-30; 00:00:00;     13711.90; nan; multi
2002-09-06; 00:00:00;     13641.10; nan; multi
2002-09-07; 00:00:00;     13626.59; nan; multi
2003-06-13; 00:00:00;     38565.06; nan; multi
2003-06-24; 00:00:00;     31370.56; nan; multi
2003-06-25; 00:00:00;     37094.41; nan; multi
2003-06-29; 00:00:00;     34183.39; nan; multi
2003-06-30; 00:00:00;     30452.30; nan; multi
2003-07-01; 00:00:00;     27767.09; nan; multi
2003-07-02; 00:00:00;     26072.92; nan; multi
2003-07-03; 00:00:00;     26514.51; nan; multi
2003-07-06; 00:00:00;     24786.11; nan; multi
2003-07-13; 00:00:00;     23073.27; nan; multi
2003-07-14; 00:00:00;     22199.94; nan; multi
2003-07-15; 00:00:00;     21772.10; nan; multi
2003-07-16; 00:00:00;     21468.83; nan; multi
2003-07-17; 00:00:00;     21219.59; nan; multi
2003-07-20; 00:00:00;     20996.14; nan; multi
2003-07-21; 00:00:00;     20766.13; nan; multi
2003-07-29; 00:00:00;     21141.77; nan; multi
2003-07-30; 00:00:00;     21251.57; nan; multi
2003-07-31; 00:00:00;     21292.45; nan; multi
2003-08-01; 00:00:00;     21191.13; nan; multi
2003-08-03; 00:00:00;     21158.37; nan; multi
2003-08-04; 00:00:00;     21270.36; nan; multi
2003-08-05; 00:00:00;     21441.79; nan; multi
2003-08-06; 00:00:00;     21637.58; nan; multi
2003-08-07; 00:00:00;     21814.27; nan; multi
2003-08-09; 00:00:00;     21380.93; nan; multi
2003-08-10; 00:00:00;     21051.82; nan; multi
2003-08-13; 00:00:00;     21159.53; nan; multi
2003-08-21; 00:00:00;     20418.20; nan; multi
2003-08-25; 00:00:00;     19790.23; nan; multi
2003-08-26; 00:00:00;     19657.45; nan; multi
2003-08-30; 00:00:00;     19970.91; nan; multi
2003-08-31; 00:00:00;     19872.34; nan; multi
2003-09-01; 00:00:00;     19439.20; nan; multi
2003-09-02; 00:00:00;     19152.23; nan; multi
2003-09-03; 00:00:00;     19009.84; nan; multi
2003-09-17; 00:00:00;     18580.90; nan; multi
2003-09-18; 00:00:00;     18595.52; nan; multi
2004-06-18; 00:00:00;     23755.15; nan; multi
2004-06-19; 00:00:00;     24106.25; nan; multi
2004-06-20; 00:00:00;     27062.75; nan; multi
2004-06-21; 00:00:00;     29570.81; nan; multi
2004-06-23; 00:00:00;     30126.74; nan; multi
2004-06-24; 00:00:00;     31436.64; nan; multi
2004-06-25; 00:00:00;     31950.20; nan; multi
2004-06-26; 00:00:00;     32978.90; nan; multi
2004-06-27; 00:00:00;     33707.68; nan; multi
2004-07-01; 00:00:00;     34001.54; nan; multi
2004-07-05; 00:00:00;     36663.88; nan; multi
2004-07-06; 00:00:00;     37422.73; nan; multi
2004-07-07; 00:00:00;     38133.90; nan; multi
2004-07-08; 00:00:00;     38362.75; nan; multi
2004-07-10; 00:00:00;     38664.30; nan; multi
2004-07-11; 00:00:00;     38353.82; nan; multi
2004-07-12; 00:00:00;     38385.17; nan; multi
2004-07-13; 00:00:00;     37940.59; nan; multi
2004-07-14; 00:00:00;     37262.92; nan; multi
2004-07-15; 00:00:00;     36460.62; nan; multi
2004-07-16; 00:00:00;     35647.29; nan; multi
2004-07-17; 00:00:00;     35508.45; nan; multi
2004-07-19; 00:00:00;     34348.76; nan; multi
2004-07-20; 00:00:00;     32490.95; nan; multi
2004-07-24; 00:00:00;     29368.79; nan; multi
2004-07-25; 00:00:00;     26663.09; nan; multi
2004-08-03; 00:00:00;     22407.05; nan; multi
2004-08-04; 00:00:00;     21693.26; nan; multi
2004-08-05; 00:00:00;     20791.76; nan; multi
2004-08-07; 00:00:00;     20780.01; nan; multi
2004-08-10; 00:00:00;     20867.30; nan; multi
2004-08-11; 00:00:00;     21127.50; nan; multi
2004-08-12; 00:00:00;     21252.35; nan; multi
2004-08-18; 00:00:00;     21066.18; nan; multi
2004-08-19; 00:00:00;     20875.35; nan; multi
2004-08-25; 00:00:00;     19366.43; nan; multi
2004-08-28; 00:00:00;     19998.12; nan; multi
2004-09-02; 00:00:00;     19552.79; nan; multi
2004-09-03; 00:00:00;     19698.21; nan; multi
2004-09-04; 00:00:00;     19678.03; nan; multi
2004-09-08; 00:00:00;     18503.22; nan; multi
2004-09-18; 00:00:00;     18079.60; nan; multi
2005-06-12; 00:00:00;     38662.31; nan; multi
2005-06-13; 00:00:00;     38418.84; nan; multi
2005-06-14; 00:00:00;     37942.67; nan; multi
2005-06-18; 00:00:00;     35620.44; nan; multi
2005-06-19; 00:00:00;     35131.00; nan; multi
2005-06-20; 00:00:00;     35327.53; nan; multi
2005-06-21; 00:00:00;     34207.77; nan; multi
2005-06-22; 00:00:00;     33818.59; nan; multi
2005-06-23; 00:00:00;     36743.66; nan; multi
2005-06-24; 00:00:00;     35705.59; nan; multi
2005-06-25; 00:00:00;     35849.13; nan; multi
2005-06-26; 00:00:00;     35262.38; nan; multi
2005-06-27; 00:00:00;     34995.52; nan; multi
2005-06-28; 00:00:00;     34358.38; nan; multi
2005-06-29; 00:00:00;     34841.30; nan; multi
2005-06-30; 00:00:00;     35168.59; nan; multi
2005-07-01; 00:00:00;     34760.16; nan; multi
2005-07-02; 00:00:00;     34610.47; nan; multi
2005-07-03; 00:00:00;     33951.57; nan; multi
2005-07-04; 00:00:00;     33018.37; nan; multi
2005-07-08; 00:00:00;     31464.88; nan; multi
2005-07-13; 00:00:00;     29553.29; nan; multi
2005-07-14; 00:00:00;     29755.19; nan; multi
2005-07-15; 00:00:00;     29976.17; nan; multi
2005-07-16; 00:00:00;     31428.33; nan; multi
2005-07-17; 00:00:00;     32595.64; nan; multi
2005-07-18; 00:00:00;     31936.93; nan; multi
2005-07-19; 00:00:00;     31020.24; nan; multi
2005-07-20; 00:00:00;     31477.42; nan; multi
2005-07-23; 00:00:00;     34038.35; nan; multi
2005-07-24; 00:00:00;     33112.19; nan; multi
2005-07-27; 00:00:00;     32524.97; nan; multi
2005-07-28; 00:00:00;     32564.63; nan; multi
2005-08-07; 00:00:00;     31641.17; nan; multi
2005-08-09; 00:00:00;     33093.04; nan; multi
2005-08-10; 00:00:00;     32341.16; nan; multi
2005-08-11; 00:00:00;     31707.35; nan; multi
2005-08-12; 00:00:00;     32315.91; nan; multi
2005-08-13; 00:00:00;     31696.25; nan; multi
2005-08-15; 00:00:00;     30626.57; nan; multi
2005-08-18; 00:00:00;     28875.10; nan; multi
2005-08-19; 00:00:00;     27929.36; nan; multi
2005-08-25; 00:00:00;     26156.57; nan; multi
2005-08-26; 00:00:00;     25459.70; nan; multi
2005-09-01; 00:00:00;     26283.37; nan; multi
2005-09-08; 00:00:00;     26850.75; nan; multi
2005-09-09; 00:00:00;     26299.55; nan; multi
2005-09-10; 00:00:00;     26184.10; nan; multi
2005-09-11; 00:00:00;     26239.09; nan; multi
2005-09-13; 00:00:00;     25793.22; nan; multi
2005-09-25; 00:00:00;     25491.91; nan; multi
2006-06-13; 00:00:00;     28684.72; nan; multi
2006-06-14; 00:00:00;     28252.03; nan; multi
2006-06-15; 00:00:00;     29091.98; nan; multi
2006-06-16; 00:00:00;     28993.09; nan; multi
2006-06-18; 00:00:00;     29201.67; nan; multi
2006-06-30; 00:00:00;     31643.56; nan; multi
2006-07-01; 00:00:00;     28713.87; nan; multi
2006-07-02; 00:00:00;     29732.14; nan; multi
2006-07-03; 00:00:00;     29907.58; nan; multi
2006-07-06; 00:00:00;     29805.41; nan; multi
2006-07-07; 00:00:00;     28873.24; nan; multi
2006-07-08; 00:00:00;     30464.61; nan; multi
2006-07-09; 00:00:00;     29710.46; nan; multi
2006-07-10; 00:00:00;     29841.57; nan; multi
2006-07-11; 00:00:00;     28948.88; nan; multi
2006-07-16; 00:00:00;     28471.94; nan; multi
2006-07-24; 00:00:00;     36077.96; nan; multi
2006-07-25; 00:00:00;     33806.98; nan; multi
2006-07-30; 00:00:00;     32627.93; nan; multi
2006-07-31; 00:00:00;     32291.88; nan; multi
2006-08-09; 00:00:00;     30886.46; nan; multi
2006-08-11; 00:00:00;     31725.18; nan; multi
