# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 LIMPOPO
# River:                 LIMPOPO
# Station:               BEITBRUG
# Country:               SOUTHAFRICA
# Latitude (DD):         -22.2261
# Longitude (DD):        29.9903
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-26 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2018-06-04 - 2022-08-07
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3875
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-26; 00:00:00;      1025.58; nan; multi
2000-02-03; 00:00:00;       310.51; nan; multi
2000-02-11; 00:00:00;        47.66; nan; multi
2000-03-17; 00:00:00;         4.82; nan; multi
2000-03-26; 00:00:00;        26.23; nan; multi
2000-04-04; 00:00:00;        10.08; nan; multi
2000-04-09; 00:00:00;         6.84; nan; multi
2000-04-11; 00:00:00;         3.86; nan; multi
2000-04-12; 00:00:00;        16.63; nan; multi
2000-04-13; 00:00:00;        13.00; nan; multi
2000-04-17; 00:00:00;        10.04; nan; multi
2000-04-23; 00:00:00;        33.81; nan; multi
2000-04-24; 00:00:00;        20.47; nan; multi
2000-05-01; 00:00:00;        23.85; nan; multi
2000-05-02; 00:00:00;        11.55; nan; multi
2000-05-03; 00:00:00;         2.52; nan; multi
2000-05-08; 00:00:00;        21.96; nan; multi
2000-05-11; 00:00:00;        91.94; nan; multi
2000-05-13; 00:00:00;       150.77; nan; multi
2000-05-14; 00:00:00;       188.13; nan; multi
2000-05-16; 00:00:00;       124.93; nan; multi
2000-05-18; 00:00:00;       199.02; nan; multi
2000-05-19; 00:00:00;       149.06; nan; multi
2000-05-20; 00:00:00;       193.68; nan; multi
2000-05-21; 00:00:00;       129.30; nan; multi
2000-05-22; 00:00:00;       104.07; nan; multi
2000-05-23; 00:00:00;       126.68; nan; multi
2000-05-24; 00:00:00;        73.88; nan; multi
2000-05-25; 00:00:00;        57.00; nan; multi
2000-05-27; 00:00:00;        97.43; nan; multi
2000-05-30; 00:00:00;       107.63; nan; multi
2000-05-31; 00:00:00;        58.10; nan; multi
2000-06-01; 00:00:00;        66.74; nan; multi
2000-06-03; 00:00:00;        81.24; nan; multi
2000-06-09; 00:00:00;        73.55; nan; multi
2000-06-10; 00:00:00;        73.87; nan; multi
2000-06-12; 00:00:00;       163.12; nan; multi
2000-06-14; 00:00:00;       120.33; nan; multi
2000-06-15; 00:00:00;        88.59; nan; multi
2000-06-17; 00:00:00;       131.45; nan; multi
2000-06-18; 00:00:00;        89.71; nan; multi
2000-06-23; 00:00:00;        65.48; nan; multi
2000-06-26; 00:00:00;       113.83; nan; multi
2000-06-28; 00:00:00;       244.90; nan; multi
2000-07-05; 00:00:00;       158.03; nan; multi
2000-07-09; 00:00:00;        28.84; nan; multi
2000-07-10; 00:00:00;        42.10; nan; multi
2000-07-14; 00:00:00;        23.39; nan; multi
2000-07-15; 00:00:00;        14.58; nan; multi
2000-07-16; 00:00:00;        23.68; nan; multi
2000-07-17; 00:00:00;        12.06; nan; multi
2000-07-18; 00:00:00;        12.77; nan; multi
2000-07-19; 00:00:00;         8.48; nan; multi
2000-07-20; 00:00:00;         6.46; nan; multi
2000-07-28; 00:00:00;        17.83; nan; multi
2000-07-29; 00:00:00;         5.80; nan; multi
2000-07-30; 00:00:00;        10.69; nan; multi
2000-07-31; 00:00:00;         4.57; nan; multi
2000-08-01; 00:00:00;         7.16; nan; multi
2000-08-03; 00:00:00;         1.05; nan; multi
2000-09-07; 00:00:00;         0.32; nan; multi
2000-09-09; 00:00:00;         0.37; nan; multi
2000-09-10; 00:00:00;         0.94; nan; multi
2000-09-11; 00:00:00;         1.99; nan; multi
2000-09-13; 00:00:00;         3.24; nan; multi
2000-09-14; 00:00:00;         3.70; nan; multi
2000-09-17; 00:00:00;         7.42; nan; multi
2000-09-25; 00:00:00;         4.53; nan; multi
2000-09-26; 00:00:00;         6.22; nan; multi
2000-09-28; 00:00:00;         7.86; nan; multi
2000-09-29; 00:00:00;         7.69; nan; multi
2000-09-30; 00:00:00;         7.84; nan; multi
2000-10-01; 00:00:00;         7.48; nan; multi
2000-10-05; 00:00:00;         8.19; nan; multi
2000-10-06; 00:00:00;        11.56; nan; multi
2000-10-07; 00:00:00;        12.86; nan; multi
2000-10-08; 00:00:00;        15.78; nan; multi
2000-10-09; 00:00:00;        14.11; nan; multi
2000-10-10; 00:00:00;        14.92; nan; multi
2000-10-14; 00:00:00;        14.31; nan; multi
2000-10-15; 00:00:00;        14.11; nan; multi
2000-10-16; 00:00:00;        11.91; nan; multi
2000-10-17; 00:00:00;        11.31; nan; multi
2000-10-18; 00:00:00;        10.83; nan; multi
2000-10-19; 00:00:00;        11.65; nan; multi
2000-10-25; 00:00:00;        13.66; nan; multi
2000-10-29; 00:00:00;        16.87; nan; multi
2000-10-30; 00:00:00;        17.40; nan; multi
2000-11-04; 00:00:00;        23.13; nan; multi
2000-11-05; 00:00:00;        22.73; nan; multi
2000-11-07; 00:00:00;        24.70; nan; multi
2000-11-08; 00:00:00;        20.48; nan; multi
2000-11-10; 00:00:00;        18.71; nan; multi
2000-11-11; 00:00:00;        25.80; nan; multi
2000-11-13; 00:00:00;        17.86; nan; multi
2000-11-19; 00:00:00;         2.49; nan; multi
2000-12-02; 00:00:00;         4.55; nan; multi
2000-12-03; 00:00:00;        13.54; nan; multi
2000-12-04; 00:00:00;        11.10; nan; multi
2000-12-07; 00:00:00;         9.52; nan; multi
2000-12-08; 00:00:00;         4.39; nan; multi
2000-12-16; 00:00:00;        15.24; nan; multi
2000-12-17; 00:00:00;         8.55; nan; multi
2000-12-18; 00:00:00;         6.31; nan; multi
2000-12-20; 00:00:00;         0.95; nan; multi
2000-12-25; 00:00:00;         8.02; nan; multi
2000-12-28; 00:00:00;        28.01; nan; multi
2000-12-31; 00:00:00;         7.11; nan; multi
2001-01-03; 00:00:00;         1.67; nan; multi
2001-01-04; 00:00:00;         4.85; nan; multi
2001-01-05; 00:00:00;         1.07; nan; multi
2001-01-06; 00:00:00;         3.10; nan; multi
2001-01-07; 00:00:00;         2.91; nan; multi
2001-01-09; 00:00:00;         1.21; nan; multi
2001-01-10; 00:00:00;         0.88; nan; multi
2001-01-21; 00:00:00;         0.28; nan; multi
2001-01-31; 00:00:00;         3.17; nan; multi
2001-02-02; 00:00:00;         6.11; nan; multi
2001-02-03; 00:00:00;         7.37; nan; multi
2001-02-13; 00:00:00;         7.81; nan; multi
2001-03-18; 00:00:00;       179.75; nan; multi
2001-04-03; 00:00:00;       204.02; nan; multi
2001-04-13; 00:00:00;         3.34; nan; multi
2001-04-22; 00:00:00;         1.81; nan; multi
2001-04-23; 00:00:00;         2.50; nan; multi
2001-04-24; 00:00:00;         4.74; nan; multi
2001-04-25; 00:00:00;         4.21; nan; multi
2001-04-26; 00:00:00;         2.82; nan; multi
2001-04-28; 00:00:00;         5.52; nan; multi
2001-04-29; 00:00:00;         3.70; nan; multi
2001-05-31; 00:00:00;         0.30; nan; multi
2001-06-02; 00:00:00;         0.36; nan; multi
2001-06-03; 00:00:00;         0.86; nan; multi
2001-06-04; 00:00:00;         0.22; nan; multi
2001-06-08; 00:00:00;         3.08; nan; multi
2001-06-09; 00:00:00;         2.23; nan; multi
2001-06-10; 00:00:00;         2.60; nan; multi
2001-06-12; 00:00:00;         3.65; nan; multi
2001-07-05; 00:00:00;         7.61; nan; multi
2001-07-10; 00:00:00;         6.91; nan; multi
2001-07-12; 00:00:00;        10.79; nan; multi
2001-07-13; 00:00:00;         9.73; nan; multi
2001-07-15; 00:00:00;         9.91; nan; multi
2001-07-16; 00:00:00;        11.40; nan; multi
2001-07-17; 00:00:00;         9.32; nan; multi
2001-07-18; 00:00:00;         9.61; nan; multi
2001-07-19; 00:00:00;         8.59; nan; multi
2001-07-20; 00:00:00;         7.83; nan; multi
2001-07-21; 00:00:00;         8.33; nan; multi
2001-07-22; 00:00:00;         8.11; nan; multi
2001-07-24; 00:00:00;         7.85; nan; multi
2001-07-25; 00:00:00;         8.76; nan; multi
2001-07-27; 00:00:00;         8.87; nan; multi
2001-07-28; 00:00:00;         9.57; nan; multi
2001-07-29; 00:00:00;        10.63; nan; multi
