# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 LIMPOPO
# River:                 OLIFANTSRIVIER
# Station:               FINALE
# Country:               SOUTHAFRICA
# Latitude (DD):         -24.3311
# Longitude (DD):        30.7414
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-27 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2022-03-25 - 2022-06-18
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1024
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-27; 00:00:00;        37.66; nan; multi
2000-07-29; 00:00:00;        18.21; nan; multi
2000-08-30; 00:00:00;        12.22; nan; multi
2000-10-01; 00:00:00;        13.10; nan; multi
2001-03-10; 00:00:00;        30.00; nan; multi
2001-03-26; 00:00:00;        35.58; nan; multi
2001-08-17; 00:00:00;        10.14; nan; multi
2001-10-12; 00:00:00;        10.55; nan; multi
2004-03-02; 00:00:00;        11.03; nan; multi
2004-04-19; 00:00:00;         4.90; nan; multi
2004-08-25; 00:00:00;         1.64; nan; multi
2005-06-09; 00:00:00;         3.34; nan; multi
2005-09-13; 00:00:00;         5.56; nan; multi
2005-09-29; 00:00:00;         6.39; nan; multi
2005-10-31; 00:00:00;        13.63; nan; multi
2005-11-16; 00:00:00;         7.09; nan; multi
2006-02-04; 00:00:00;         0.28; nan; multi
2006-04-25; 00:00:00;        73.19; nan; multi
2006-05-27; 00:00:00;        12.68; nan; multi
2006-06-12; 00:00:00;        11.44; nan; multi
2006-07-30; 00:00:00;         8.55; nan; multi
2006-09-16; 00:00:00;         4.69; nan; multi
2006-11-03; 00:00:00;         2.63; nan; multi
2007-03-11; 00:00:00;         2.65; nan; multi
2007-04-28; 00:00:00;         9.75; nan; multi
