# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 LIMPOPO
# River:                 LIMPOPO
# Station:               SICACATE
# Country:               MOZAMBIQUE
# Latitude (DD):         -24.7371
# Longitude (DD):        33.5354
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-03-01 - 2022-12-25
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2018-06-04 - 2022-08-07
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3766
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-03-01; 00:00:00;        28.36; nan; multi
2000-03-02; 00:00:00;       552.18; nan; multi
2000-03-06; 00:00:00;       728.43; nan; multi
2000-03-25; 00:00:00;       697.20; nan; multi
2000-03-26; 00:00:00;       754.35; nan; multi
2000-03-28; 00:00:00;      1370.02; nan; multi
2000-04-04; 00:00:00;      1830.59; nan; multi
2000-04-17; 00:00:00;      1316.61; nan; multi
2000-04-22; 00:00:00;      1679.67; nan; multi
2000-04-23; 00:00:00;      1734.26; nan; multi
2000-04-24; 00:00:00;      1696.75; nan; multi
2000-04-30; 00:00:00;      1357.54; nan; multi
2000-05-01; 00:00:00;      1465.09; nan; multi
2000-05-02; 00:00:00;      1600.72; nan; multi
2000-05-04; 00:00:00;      1779.46; nan; multi
2000-05-14; 00:00:00;      1021.31; nan; multi
2000-05-17; 00:00:00;      1601.11; nan; multi
2000-05-18; 00:00:00;      1781.49; nan; multi
2000-05-20; 00:00:00;      1836.93; nan; multi
2000-05-21; 00:00:00;      1800.61; nan; multi
2000-05-22; 00:00:00;      1814.61; nan; multi
2000-05-23; 00:00:00;      1775.33; nan; multi
2000-05-30; 00:00:00;      1317.80; nan; multi
2000-05-31; 00:00:00;      1342.17; nan; multi
2000-06-02; 00:00:00;      1060.21; nan; multi
2000-06-11; 00:00:00;       531.18; nan; multi
2000-06-12; 00:00:00;       712.29; nan; multi
2000-06-14; 00:00:00;      1300.73; nan; multi
2000-06-15; 00:00:00;       717.74; nan; multi
2000-06-18; 00:00:00;       615.41; nan; multi
2000-06-19; 00:00:00;       865.05; nan; multi
2000-06-22; 00:00:00;       528.77; nan; multi
2000-06-23; 00:00:00;       757.91; nan; multi
2000-06-26; 00:00:00;       694.34; nan; multi
2000-06-28; 00:00:00;       757.99; nan; multi
2000-06-30; 00:00:00;       804.09; nan; multi
2000-07-03; 00:00:00;       550.92; nan; multi
2000-07-05; 00:00:00;       507.56; nan; multi
2000-07-07; 00:00:00;       649.23; nan; multi
2000-07-14; 00:00:00;       621.11; nan; multi
2000-07-16; 00:00:00;       568.09; nan; multi
2000-07-17; 00:00:00;       291.91; nan; multi
2000-07-18; 00:00:00;       357.41; nan; multi
2000-07-19; 00:00:00;       342.86; nan; multi
2000-07-20; 00:00:00;       348.77; nan; multi
2000-07-22; 00:00:00;       393.90; nan; multi
2000-07-23; 00:00:00;       424.37; nan; multi
2000-07-28; 00:00:00;       395.36; nan; multi
2000-08-01; 00:00:00;       360.74; nan; multi
2000-08-02; 00:00:00;       220.61; nan; multi
2000-08-03; 00:00:00;       258.05; nan; multi
2000-08-04; 00:00:00;       243.68; nan; multi
2000-08-08; 00:00:00;       416.66; nan; multi
2000-08-20; 00:00:00;       101.22; nan; multi
2000-08-21; 00:00:00;        41.95; nan; multi
2000-08-22; 00:00:00;        65.04; nan; multi
2000-08-24; 00:00:00;       123.62; nan; multi
2000-08-29; 00:00:00;        77.54; nan; multi
2000-08-30; 00:00:00;        48.79; nan; multi
2000-08-31; 00:00:00;        51.57; nan; multi
2000-09-01; 00:00:00;        61.05; nan; multi
2000-09-02; 00:00:00;        75.55; nan; multi
2000-09-03; 00:00:00;        49.66; nan; multi
2000-09-09; 00:00:00;       152.23; nan; multi
2000-09-10; 00:00:00;       151.02; nan; multi
2000-09-13; 00:00:00;       133.30; nan; multi
2000-09-17; 00:00:00;        22.42; nan; multi
2000-09-25; 00:00:00;        81.48; nan; multi
2000-09-26; 00:00:00;        19.78; nan; multi
2000-09-29; 00:00:00;        24.32; nan; multi
2000-09-30; 00:00:00;        23.62; nan; multi
2000-10-01; 00:00:00;        11.95; nan; multi
2000-10-04; 00:00:00;        33.61; nan; multi
2000-10-05; 00:00:00;        11.60; nan; multi
2000-10-09; 00:00:00;        19.39; nan; multi
2000-10-10; 00:00:00;         7.46; nan; multi
2000-10-14; 00:00:00;         7.28; nan; multi
2000-10-17; 00:00:00;         7.57; nan; multi
