# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MACKENZIE
# River:                 MACKENZIE
# Station:               ARCTIC-RED
# Country:               CANADA
# Latitude (DD):         67.4583
# Longitude (DD):        -133.6647
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-05-29 - 2023-09-21
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Environment and Climate Change Canada Historical Hydrometric Data web site (HYDAT)
# Calibration period:    2008-09-25 - 2020-12-31
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1206
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-05-29; 00:00:00;      9884.98; nan; multi
2000-06-05; 00:00:00;     11799.40; nan; multi
2000-06-07; 00:00:00;     10090.63; nan; multi
2000-06-08; 00:00:00;     10390.96; nan; multi
2000-06-09; 00:00:00;     10948.81; nan; multi
2000-06-10; 00:00:00;     12807.75; nan; multi
2000-06-12; 00:00:00;     12799.95; nan; multi
2000-06-13; 00:00:00;     13471.06; nan; multi
2000-06-16; 00:00:00;     13549.56; nan; multi
2000-06-17; 00:00:00;     15129.62; nan; multi
2000-06-18; 00:00:00;     14810.21; nan; multi
2000-06-19; 00:00:00;     13344.98; nan; multi
2000-06-22; 00:00:00;     12449.67; nan; multi
2000-06-25; 00:00:00;     14277.09; nan; multi
2000-07-01; 00:00:00;     12906.43; nan; multi
2000-07-07; 00:00:00;     16762.43; nan; multi
2000-07-08; 00:00:00;     16984.80; nan; multi
2000-07-16; 00:00:00;     15539.26; nan; multi
2000-07-17; 00:00:00;     16279.45; nan; multi
2000-07-22; 00:00:00;     19886.59; nan; multi
2000-07-23; 00:00:00;     18275.20; nan; multi
2000-07-26; 00:00:00;     19742.82; nan; multi
2000-07-31; 00:00:00;     19319.20; nan; multi
2000-08-02; 00:00:00;     18809.07; nan; multi
2000-08-03; 00:00:00;     14536.08; nan; multi
2000-08-04; 00:00:00;     13665.63; nan; multi
2000-08-17; 00:00:00;     19570.69; nan; multi
2000-08-28; 00:00:00;     12295.44; nan; multi
2000-08-29; 00:00:00;     11375.40; nan; multi
2000-08-30; 00:00:00;     11479.99; nan; multi
2000-08-31; 00:00:00;     11276.03; nan; multi
2000-09-01; 00:00:00;     11403.40; nan; multi
2000-09-02; 00:00:00;     11362.43; nan; multi
2000-09-05; 00:00:00;     10485.47; nan; multi
2000-09-10; 00:00:00;     10406.49; nan; multi
2000-09-18; 00:00:00;     19278.63; nan; multi
2001-06-01; 00:00:00;     12388.22; nan; multi
2001-06-06; 00:00:00;     19941.55; nan; multi
2001-06-08; 00:00:00;     19836.99; nan; multi
2001-06-09; 00:00:00;     19371.82; nan; multi
2001-06-10; 00:00:00;     19709.68; nan; multi
2001-06-11; 00:00:00;     19545.75; nan; multi
2001-06-13; 00:00:00;     18911.55; nan; multi
2001-06-17; 00:00:00;     19508.30; nan; multi
2001-06-24; 00:00:00;     19799.04; nan; multi
2001-07-01; 00:00:00;     19695.15; nan; multi
2001-07-03; 00:00:00;     19781.01; nan; multi
2001-07-04; 00:00:00;     19809.40; nan; multi
2001-07-10; 00:00:00;     19843.59; nan; multi
2001-07-11; 00:00:00;     19868.72; nan; multi
2001-07-12; 00:00:00;     19762.72; nan; multi
2001-07-14; 00:00:00;     19942.62; nan; multi
2001-07-16; 00:00:00;     19737.91; nan; multi
2001-07-17; 00:00:00;     18828.99; nan; multi
2001-07-20; 00:00:00;     17286.79; nan; multi
2001-08-01; 00:00:00;     18171.14; nan; multi
2001-08-02; 00:00:00;     17736.47; nan; multi
2001-08-03; 00:00:00;     15919.91; nan; multi
2001-08-04; 00:00:00;     16753.26; nan; multi
2001-08-07; 00:00:00;     17420.56; nan; multi
2001-08-18; 00:00:00;     13467.44; nan; multi
2001-08-19; 00:00:00;     13267.96; nan; multi
2001-08-20; 00:00:00;     14539.83; nan; multi
2001-08-22; 00:00:00;     13436.83; nan; multi
2001-08-27; 00:00:00;     12874.08; nan; multi
2001-08-28; 00:00:00;     13060.45; nan; multi
2001-08-30; 00:00:00;     12096.38; nan; multi
2001-09-09; 00:00:00;     11788.30; nan; multi
2001-09-11; 00:00:00;     12881.07; nan; multi
2001-09-12; 00:00:00;     12131.51; nan; multi
2001-09-14; 00:00:00;     12784.45; nan; multi
2001-09-20; 00:00:00;     10737.64; nan; multi
2001-09-24; 00:00:00;     10240.07; nan; multi
2002-05-31; 00:00:00;     19893.09; nan; multi
2002-06-01; 00:00:00;     19964.11; nan; multi
2002-06-02; 00:00:00;     19956.94; nan; multi
2002-06-04; 00:00:00;     19917.92; nan; multi
2002-06-05; 00:00:00;     19853.83; nan; multi
2002-06-07; 00:00:00;     19724.63; nan; multi
2002-06-16; 00:00:00;     15935.02; nan; multi
2002-06-20; 00:00:00;     16168.45; nan; multi
2002-06-23; 00:00:00;     16162.01; nan; multi
2002-06-24; 00:00:00;     16116.57; nan; multi
2002-06-25; 00:00:00;     16133.68; nan; multi
2002-06-26; 00:00:00;     16168.43; nan; multi
2002-06-27; 00:00:00;     16266.17; nan; multi
2002-06-30; 00:00:00;     15576.34; nan; multi
2002-07-01; 00:00:00;     17303.59; nan; multi
2002-07-02; 00:00:00;     15588.23; nan; multi
2002-07-05; 00:00:00;     17086.99; nan; multi
2002-07-07; 00:00:00;     15575.12; nan; multi
2002-07-08; 00:00:00;     14727.03; nan; multi
2002-07-11; 00:00:00;     15923.60; nan; multi
2002-07-12; 00:00:00;     17321.43; nan; multi
2002-07-13; 00:00:00;     17296.19; nan; multi
2002-07-16; 00:00:00;     16448.36; nan; multi
2002-07-17; 00:00:00;     15945.19; nan; multi
2002-07-18; 00:00:00;     16457.60; nan; multi
2002-07-19; 00:00:00;     16607.17; nan; multi
2002-07-20; 00:00:00;     16301.39; nan; multi
2002-07-21; 00:00:00;     16436.24; nan; multi
2002-07-22; 00:00:00;     16407.83; nan; multi
2002-07-29; 00:00:00;     15631.59; nan; multi
2002-07-30; 00:00:00;     16221.50; nan; multi
2002-08-01; 00:00:00;     15029.44; nan; multi
2002-08-03; 00:00:00;     13944.85; nan; multi
2002-08-09; 00:00:00;     13307.33; nan; multi
2002-08-24; 00:00:00;     11101.23; nan; multi
2002-08-25; 00:00:00;     10794.81; nan; multi
2002-08-27; 00:00:00;     10848.13; nan; multi
2002-08-28; 00:00:00;     11429.55; nan; multi
2002-08-29; 00:00:00;     11175.38; nan; multi
2002-09-01; 00:00:00;     11046.05; nan; multi
2002-09-06; 00:00:00;     10855.11; nan; multi
2002-09-07; 00:00:00;     11280.06; nan; multi
2002-09-08; 00:00:00;     12065.20; nan; multi
2002-09-11; 00:00:00;     13494.34; nan; multi
2002-09-12; 00:00:00;     13159.86; nan; multi
2002-09-15; 00:00:00;     12603.84; nan; multi
2002-09-16; 00:00:00;     13897.93; nan; multi
2003-05-29; 00:00:00;     19708.22; nan; multi
2003-06-02; 00:00:00;     19652.65; nan; multi
2003-06-03; 00:00:00;     19394.27; nan; multi
2003-06-05; 00:00:00;     18287.40; nan; multi
2003-06-06; 00:00:00;     14962.72; nan; multi
2003-06-08; 00:00:00;     12182.28; nan; multi
2003-06-09; 00:00:00;     13641.57; nan; multi
2003-06-10; 00:00:00;     15226.03; nan; multi
2003-06-11; 00:00:00;     15702.28; nan; multi
2003-06-12; 00:00:00;     18955.09; nan; multi
2003-06-13; 00:00:00;     18802.77; nan; multi
2003-06-14; 00:00:00;     18236.51; nan; multi
2003-06-15; 00:00:00;     17062.55; nan; multi
2003-06-18; 00:00:00;     16334.85; nan; multi
2003-06-19; 00:00:00;     14563.24; nan; multi
2003-06-23; 00:00:00;     15669.26; nan; multi
2003-06-24; 00:00:00;     16217.86; nan; multi
2003-06-25; 00:00:00;     17699.45; nan; multi
2003-06-26; 00:00:00;     19680.24; nan; multi
2003-06-27; 00:00:00;     19736.00; nan; multi
2003-06-28; 00:00:00;     19249.21; nan; multi
2003-06-29; 00:00:00;     18809.66; nan; multi
2003-06-30; 00:00:00;     18317.28; nan; multi
2003-07-01; 00:00:00;     16990.13; nan; multi
2003-07-04; 00:00:00;     15603.87; nan; multi
2003-07-06; 00:00:00;     14698.31; nan; multi
2003-07-18; 00:00:00;     14626.03; nan; multi
2003-07-19; 00:00:00;     13242.51; nan; multi
2003-07-20; 00:00:00;     12694.63; nan; multi
2003-07-21; 00:00:00;     11781.65; nan; multi
2003-07-23; 00:00:00;     10751.90; nan; multi
2003-07-24; 00:00:00;     11407.49; nan; multi
2003-07-29; 00:00:00;     11270.73; nan; multi
2003-08-04; 00:00:00;     11109.50; nan; multi
2003-08-06; 00:00:00;     11703.62; nan; multi
2003-08-09; 00:00:00;     11272.28; nan; multi
2003-08-14; 00:00:00;     10960.27; nan; multi
2003-08-26; 00:00:00;     12106.97; nan; multi
2003-08-29; 00:00:00;     11817.37; nan; multi
2003-08-30; 00:00:00;     11344.80; nan; multi
2003-09-03; 00:00:00;     11253.14; nan; multi
2003-09-06; 00:00:00;     10852.36; nan; multi
2003-09-07; 00:00:00;     10864.89; nan; multi
2003-09-09; 00:00:00;     10685.93; nan; multi
2003-09-10; 00:00:00;     10487.73; nan; multi
2003-09-12; 00:00:00;     10430.82; nan; multi
2003-09-15; 00:00:00;     11138.79; nan; multi
2004-05-30; 00:00:00;     19657.21; nan; multi
2004-05-31; 00:00:00;     19757.84; nan; multi
2004-06-01; 00:00:00;     19807.80; nan; multi
2004-06-03; 00:00:00;     19925.10; nan; multi
2004-06-04; 00:00:00;     19850.85; nan; multi
2004-06-05; 00:00:00;     19847.80; nan; multi
2004-06-06; 00:00:00;     19855.76; nan; multi
2004-06-07; 00:00:00;     19840.99; nan; multi
2004-06-08; 00:00:00;     19843.37; nan; multi
2004-06-09; 00:00:00;     19770.01; nan; multi
2004-06-10; 00:00:00;     19661.83; nan; multi
2004-06-11; 00:00:00;     19299.70; nan; multi
2004-06-12; 00:00:00;     19613.62; nan; multi
2004-06-13; 00:00:00;     19532.67; nan; multi
2004-06-14; 00:00:00;     19532.24; nan; multi
2004-06-15; 00:00:00;     19462.07; nan; multi
2004-06-16; 00:00:00;     19182.95; nan; multi
2004-06-18; 00:00:00;     18769.17; nan; multi
2004-06-19; 00:00:00;     18181.72; nan; multi
2004-06-20; 00:00:00;     18040.85; nan; multi
2004-06-21; 00:00:00;     18096.31; nan; multi
2004-06-22; 00:00:00;     18040.29; nan; multi
2004-06-23; 00:00:00;     17478.59; nan; multi
2004-06-24; 00:00:00;     17823.62; nan; multi
2004-06-25; 00:00:00;     18440.56; nan; multi
2004-06-27; 00:00:00;     17984.94; nan; multi
2004-06-28; 00:00:00;     17269.01; nan; multi
2004-06-29; 00:00:00;     16641.74; nan; multi
2004-06-30; 00:00:00;     16604.50; nan; multi
2004-07-01; 00:00:00;     16325.87; nan; multi
2004-07-02; 00:00:00;     16024.23; nan; multi
2004-07-03; 00:00:00;     16015.43; nan; multi
2004-07-09; 00:00:00;     15170.42; nan; multi
2004-07-25; 00:00:00;     12314.99; nan; multi
2004-07-26; 00:00:00;     11891.13; nan; multi
2004-07-27; 00:00:00;     11787.83; nan; multi
2004-08-03; 00:00:00;     12578.74; nan; multi
2004-08-06; 00:00:00;     11625.63; nan; multi
2004-08-07; 00:00:00;     11364.39; nan; multi
2004-08-11; 00:00:00;     11739.74; nan; multi
2004-08-12; 00:00:00;     12045.25; nan; multi
2004-08-16; 00:00:00;     11758.69; nan; multi
2004-08-17; 00:00:00;     11686.16; nan; multi
2004-08-18; 00:00:00;     11661.27; nan; multi
2004-08-19; 00:00:00;     11579.89; nan; multi
2004-08-20; 00:00:00;     11530.19; nan; multi
2004-08-22; 00:00:00;     11345.59; nan; multi
2004-08-27; 00:00:00;     10868.80; nan; multi
2004-09-07; 00:00:00;     10504.86; nan; multi
2004-09-08; 00:00:00;     10527.85; nan; multi
2004-09-09; 00:00:00;     10492.38; nan; multi
2004-09-19; 00:00:00;     10236.26; nan; multi
2004-09-22; 00:00:00;     10116.20; nan; multi
2005-05-30; 00:00:00;     13332.23; nan; multi
2005-06-04; 00:00:00;     12797.27; nan; multi
2005-06-05; 00:00:00;     12269.37; nan; multi
2005-06-06; 00:00:00;     14073.03; nan; multi
2005-06-08; 00:00:00;     14600.05; nan; multi
2005-06-09; 00:00:00;     14929.68; nan; multi
2005-06-10; 00:00:00;     15311.21; nan; multi
2005-06-11; 00:00:00;     15803.76; nan; multi
2005-06-12; 00:00:00;     16245.61; nan; multi
2005-06-13; 00:00:00;     17031.60; nan; multi
2005-06-14; 00:00:00;     17243.21; nan; multi
2005-06-15; 00:00:00;     17104.67; nan; multi
2005-06-16; 00:00:00;     16563.53; nan; multi
2005-06-18; 00:00:00;     15993.92; nan; multi
2005-06-19; 00:00:00;     16032.40; nan; multi
2005-06-20; 00:00:00;     15977.80; nan; multi
2005-06-23; 00:00:00;     15798.31; nan; multi
2005-06-24; 00:00:00;     16086.64; nan; multi
2005-06-25; 00:00:00;     15695.46; nan; multi
2005-06-26; 00:00:00;     15425.15; nan; multi
2005-06-27; 00:00:00;     15185.56; nan; multi
2005-06-28; 00:00:00;     15090.95; nan; multi
2005-07-06; 00:00:00;     13491.64; nan; multi
2005-07-08; 00:00:00;     12963.03; nan; multi
2005-07-09; 00:00:00;     13305.29; nan; multi
2005-07-10; 00:00:00;     13063.14; nan; multi
2005-07-12; 00:00:00;     12722.22; nan; multi
2005-07-16; 00:00:00;     12080.43; nan; multi
2005-07-17; 00:00:00;     12092.68; nan; multi
2005-07-19; 00:00:00;     11920.95; nan; multi
2005-07-25; 00:00:00;     12070.12; nan; multi
2005-07-26; 00:00:00;     11842.23; nan; multi
2005-07-27; 00:00:00;     11445.04; nan; multi
2005-08-02; 00:00:00;     11198.65; nan; multi
2005-08-03; 00:00:00;     11265.83; nan; multi
2005-08-05; 00:00:00;     11108.13; nan; multi
2005-08-07; 00:00:00;     11121.10; nan; multi
2005-08-10; 00:00:00;     11302.83; nan; multi
2005-08-14; 00:00:00;     11682.47; nan; multi
2005-08-15; 00:00:00;     11939.29; nan; multi
2005-08-16; 00:00:00;     12103.98; nan; multi
2005-08-22; 00:00:00;     14274.28; nan; multi
2005-08-23; 00:00:00;     15441.21; nan; multi
2005-08-29; 00:00:00;     13706.75; nan; multi
2005-08-30; 00:00:00;     13038.95; nan; multi
2005-09-02; 00:00:00;     12189.55; nan; multi
2005-09-04; 00:00:00;     11248.80; nan; multi
2005-09-09; 00:00:00;     10926.40; nan; multi
2005-09-14; 00:00:00;     14547.70; nan; multi
2006-05-31; 00:00:00;     17443.31; nan; multi
2006-06-01; 00:00:00;     16418.73; nan; multi
2006-06-02; 00:00:00;     15884.62; nan; multi
2006-06-03; 00:00:00;     16611.76; nan; multi
2006-06-05; 00:00:00;     15815.82; nan; multi
2006-06-07; 00:00:00;     16923.82; nan; multi
2006-06-08; 00:00:00;     18233.29; nan; multi
2006-06-09; 00:00:00;     18470.22; nan; multi
2006-06-11; 00:00:00;     18462.99; nan; multi
2006-06-14; 00:00:00;     18183.75; nan; multi
2006-06-15; 00:00:00;     18707.55; nan; multi
2006-06-16; 00:00:00;     18307.10; nan; multi
2006-06-20; 00:00:00;     16892.93; nan; multi
2006-06-23; 00:00:00;     15374.32; nan; multi
2006-06-24; 00:00:00;     14198.44; nan; multi
2006-06-26; 00:00:00;     13704.92; nan; multi
2006-06-30; 00:00:00;     14165.34; nan; multi
2006-07-01; 00:00:00;     14898.89; nan; multi
2006-07-03; 00:00:00;     14166.43; nan; multi
2006-07-09; 00:00:00;     13063.33; nan; multi
2006-07-11; 00:00:00;     13562.81; nan; multi
2006-07-12; 00:00:00;     13227.90; nan; multi
2006-07-14; 00:00:00;     13225.48; nan; multi
2006-07-15; 00:00:00;     13137.00; nan; multi
2006-07-16; 00:00:00;     13126.31; nan; multi
2006-07-19; 00:00:00;     12354.14; nan; multi
2006-07-20; 00:00:00;     12199.02; nan; multi
2006-07-21; 00:00:00;     12095.89; nan; multi
2006-07-25; 00:00:00;     11628.17; nan; multi
2006-07-26; 00:00:00;     11438.36; nan; multi
2006-07-27; 00:00:00;     11221.29; nan; multi
2006-07-30; 00:00:00;     11447.77; nan; multi
2006-07-31; 00:00:00;     11425.80; nan; multi
2006-08-01; 00:00:00;     11399.24; nan; multi
2006-08-02; 00:00:00;     11368.30; nan; multi
2006-08-04; 00:00:00;     11240.35; nan; multi
2006-08-05; 00:00:00;     11101.93; nan; multi
2006-08-07; 00:00:00;     11026.72; nan; multi
2006-08-10; 00:00:00;     10830.55; nan; multi
2006-08-11; 00:00:00;     10689.46; nan; multi
2006-08-15; 00:00:00;     11040.87; nan; multi
2006-08-20; 00:00:00;     10717.68; nan; multi
2006-08-21; 00:00:00;     10479.19; nan; multi
2006-08-22; 00:00:00;     10301.40; nan; multi
2006-08-24; 00:00:00;     10096.50; nan; multi
2006-09-03; 00:00:00;     10557.56; nan; multi
2006-09-04; 00:00:00;     10859.21; nan; multi
2006-09-05; 00:00:00;     10738.98; nan; multi
2006-09-06; 00:00:00;     10632.02; nan; multi
2006-09-08; 00:00:00;     10579.73; nan; multi
2006-09-13; 00:00:00;     10538.13; nan; multi
2006-09-14; 00:00:00;     10402.97; nan; multi
2006-09-15; 00:00:00;     10249.85; nan; multi
2006-09-16; 00:00:00;     10198.98; nan; multi
2006-09-17; 00:00:00;     10164.04; nan; multi
2006-09-18; 00:00:00;     10166.44; nan; multi
2006-09-20; 00:00:00;     10139.54; nan; multi
2007-05-31; 00:00:00;     17936.31; nan; multi
2007-06-01; 00:00:00;     17230.51; nan; multi
2007-06-02; 00:00:00;     17139.87; nan; multi
2007-06-03; 00:00:00;     16124.02; nan; multi
2007-06-04; 00:00:00;     16360.61; nan; multi
2007-06-05; 00:00:00;     16902.99; nan; multi
2007-06-06; 00:00:00;     16162.30; nan; multi
2007-06-07; 00:00:00;     15619.26; nan; multi
2007-06-08; 00:00:00;     15769.13; nan; multi
2007-06-09; 00:00:00;     15107.73; nan; multi
2007-06-10; 00:00:00;     15937.12; nan; multi
2007-06-11; 00:00:00;     16622.29; nan; multi
2007-06-12; 00:00:00;     17158.61; nan; multi
2007-06-15; 00:00:00;     17252.75; nan; multi
2007-06-16; 00:00:00;     17608.07; nan; multi
2007-06-17; 00:00:00;     17175.93; nan; multi
2007-06-18; 00:00:00;     16843.58; nan; multi
2007-06-19; 00:00:00;     16666.69; nan; multi
2007-06-20; 00:00:00;     16652.38; nan; multi
2007-06-21; 00:00:00;     17230.29; nan; multi
2007-06-24; 00:00:00;     17257.62; nan; multi
2007-06-26; 00:00:00;     16662.29; nan; multi
2007-06-27; 00:00:00;     16284.58; nan; multi
2007-06-28; 00:00:00;     16150.18; nan; multi
2007-06-29; 00:00:00;     15631.57; nan; multi
2007-07-03; 00:00:00;     15301.55; nan; multi
2007-07-04; 00:00:00;     15243.57; nan; multi
2007-07-05; 00:00:00;     15157.92; nan; multi
2007-07-06; 00:00:00;     15407.36; nan; multi
2007-07-07; 00:00:00;     14830.80; nan; multi
2007-07-08; 00:00:00;     14988.42; nan; multi
2007-07-09; 00:00:00;     16047.55; nan; multi
2007-07-10; 00:00:00;     16492.66; nan; multi
2007-07-12; 00:00:00;     16046.01; nan; multi
2007-07-13; 00:00:00;     15227.43; nan; multi
2007-07-14; 00:00:00;     16295.06; nan; multi
2007-07-15; 00:00:00;     16393.72; nan; multi
2007-07-16; 00:00:00;     16033.46; nan; multi
2007-07-19; 00:00:00;     14757.62; nan; multi
2007-07-22; 00:00:00;     13902.91; nan; multi
2007-07-28; 00:00:00;     15625.39; nan; multi
2007-07-29; 00:00:00;     17009.67; nan; multi
2007-07-31; 00:00:00;     16458.31; nan; multi
2007-08-04; 00:00:00;     19336.04; nan; multi
2007-08-12; 00:00:00;     16840.88; nan; multi
2007-08-17; 00:00:00;     12972.62; nan; multi
2007-08-22; 00:00:00;     12183.45; nan; multi
2007-08-24; 00:00:00;     12463.04; nan; multi
2007-08-25; 00:00:00;     12481.56; nan; multi
2007-08-26; 00:00:00;     12001.28; nan; multi
2007-08-27; 00:00:00;     11556.09; nan; multi
2007-08-28; 00:00:00;     11335.11; nan; multi
2007-08-29; 00:00:00;     11156.27; nan; multi
2007-08-30; 00:00:00;     11057.26; nan; multi
2007-08-31; 00:00:00;     11036.93; nan; multi
2007-09-02; 00:00:00;     11021.58; nan; multi
2007-09-03; 00:00:00;     10956.81; nan; multi
2007-09-04; 00:00:00;     10803.08; nan; multi
2007-09-05; 00:00:00;     10736.46; nan; multi
2007-09-06; 00:00:00;     10587.79; nan; multi
2007-09-10; 00:00:00;     10585.34; nan; multi
2007-09-11; 00:00:00;     10392.26; nan; multi
2007-09-14; 00:00:00;     10246.72; nan; multi
2007-09-17; 00:00:00;     10822.46; nan; multi
2008-05-30; 00:00:00;     18125.68; nan; multi
2008-06-02; 00:00:00;     16593.13; nan; multi
2008-06-03; 00:00:00;     17526.75; nan; multi
2008-06-09; 00:00:00;     16117.45; nan; multi
2008-06-10; 00:00:00;     14976.21; nan; multi
2008-06-11; 00:00:00;     14574.72; nan; multi
2008-06-12; 00:00:00;     14340.68; nan; multi
2008-06-13; 00:00:00;     14292.38; nan; multi
2008-06-14; 00:00:00;     14338.96; nan; multi
2008-06-15; 00:00:00;     13750.60; nan; multi
2008-06-16; 00:00:00;     14748.72; nan; multi
2008-06-20; 00:00:00;     16711.84; nan; multi
2008-06-21; 00:00:00;     16971.55; nan; multi
2008-06-22; 00:00:00;     16530.30; nan; multi
2008-06-23; 00:00:00;     15778.63; nan; multi
2008-06-24; 00:00:00;     15557.79; nan; multi
2008-06-25; 00:00:00;     15266.30; nan; multi
2008-06-26; 00:00:00;     14881.21; nan; multi
2008-06-27; 00:00:00;     15870.21; nan; multi
2008-06-28; 00:00:00;     16889.69; nan; multi
2008-07-01; 00:00:00;     17735.83; nan; multi
2008-07-04; 00:00:00;     16109.27; nan; multi
2008-07-05; 00:00:00;     14393.05; nan; multi
2008-07-06; 00:00:00;     14668.09; nan; multi
2008-07-07; 00:00:00;     13944.73; nan; multi
2008-07-08; 00:00:00;     13572.99; nan; multi
2008-07-12; 00:00:00;     13232.56; nan; multi
2008-07-14; 00:00:00;     14467.81; nan; multi
2008-07-16; 00:00:00;     15388.58; nan; multi
2008-07-23; 00:00:00;     12906.62; nan; multi
2008-07-29; 00:00:00;     11958.33; nan; multi
2008-08-12; 00:00:00;      9758.34; nan; multi
2008-08-21; 00:00:00;      9639.19; nan; multi
2008-08-24; 00:00:00;      9813.63; nan; multi
2008-08-31; 00:00:00;     10277.57; nan; multi
2008-09-02; 00:00:00;      9715.84; nan; multi
2008-09-03; 00:00:00;      9652.45; nan; multi
2008-09-04; 00:00:00;      9722.11; nan; multi
2008-09-08; 00:00:00;     10209.41; nan; multi
2008-09-15; 00:00:00;     11113.04; nan; multi
2009-05-29; 00:00:00;     12668.54; nan; multi
2009-06-02; 00:00:00;     15025.15; nan; multi
2009-06-04; 00:00:00;     15950.62; nan; multi
2009-06-05; 00:00:00;     16481.11; nan; multi
2009-06-06; 00:00:00;     15598.28; nan; multi
2009-06-07; 00:00:00;     16179.92; nan; multi
2009-06-08; 00:00:00;     15887.31; nan; multi
2009-06-09; 00:00:00;     16402.75; nan; multi
2009-06-10; 00:00:00;     17062.75; nan; multi
2009-06-13; 00:00:00;     16115.99; nan; multi
2009-06-17; 00:00:00;     16651.98; nan; multi
2009-06-19; 00:00:00;     17748.04; nan; multi
2009-06-20; 00:00:00;     19264.89; nan; multi
2009-06-22; 00:00:00;     18135.31; nan; multi
2009-06-23; 00:00:00;     17226.92; nan; multi
2009-06-26; 00:00:00;     15655.44; nan; multi
2009-06-29; 00:00:00;     15228.04; nan; multi
