# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MACKENZIE
# River:                 MACKENZIE
# Station:               NORMAN-WELLS
# Country:               CANADA
# Latitude (DD):         65.2739
# Longitude (DD):        -126.8442
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-05-27 - 2023-09-20
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Environment and Climate Change Canada Historical Hydrometric Data web site (HYDAT)
# Calibration period:    2011-02-26 - 2019-12-24
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1431
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-05-27; 00:00:00;     11539.42; nan; multi
2000-05-28; 00:00:00;     10530.75; nan; multi
2000-05-29; 00:00:00;     10029.81; nan; multi
2000-06-02; 00:00:00;     10485.48; nan; multi
2000-06-05; 00:00:00;     11004.28; nan; multi
2000-06-06; 00:00:00;     11217.36; nan; multi
2000-06-07; 00:00:00;     11653.84; nan; multi
2000-06-08; 00:00:00;     11729.52; nan; multi
2000-06-09; 00:00:00;     12066.99; nan; multi
2000-06-10; 00:00:00;     12352.83; nan; multi
2000-06-11; 00:00:00;     12443.09; nan; multi
2000-06-12; 00:00:00;     12662.11; nan; multi
2000-06-13; 00:00:00;     12879.92; nan; multi
2000-06-20; 00:00:00;     13924.03; nan; multi
2000-06-22; 00:00:00;     14521.42; nan; multi
2000-06-25; 00:00:00;     15060.48; nan; multi
2000-06-27; 00:00:00;     16245.08; nan; multi
2000-07-04; 00:00:00;     16439.92; nan; multi
2000-07-05; 00:00:00;     15617.21; nan; multi
2000-07-08; 00:00:00;     15645.87; nan; multi
2000-07-09; 00:00:00;     17073.30; nan; multi
2000-07-10; 00:00:00;     16858.91; nan; multi
2000-07-16; 00:00:00;     16040.49; nan; multi
2000-07-17; 00:00:00;     16489.64; nan; multi
2000-07-18; 00:00:00;     17535.94; nan; multi
2000-07-21; 00:00:00;     17869.59; nan; multi
2000-07-23; 00:00:00;     18407.69; nan; multi
2000-07-26; 00:00:00;     17310.88; nan; multi
2000-07-27; 00:00:00;     16820.78; nan; multi
2000-08-03; 00:00:00;     15386.62; nan; multi
2000-08-18; 00:00:00;     13609.88; nan; multi
2000-08-24; 00:00:00;     12753.31; nan; multi
2000-08-29; 00:00:00;     13072.86; nan; multi
2000-08-30; 00:00:00;     12931.97; nan; multi
2000-09-01; 00:00:00;     12313.18; nan; multi
2000-09-03; 00:00:00;     12562.37; nan; multi
2000-09-05; 00:00:00;     13227.74; nan; multi
2000-09-10; 00:00:00;     12619.04; nan; multi
2000-09-12; 00:00:00;     12218.45; nan; multi
2000-09-13; 00:00:00;     11824.24; nan; multi
2000-09-15; 00:00:00;     11916.83; nan; multi
2000-09-20; 00:00:00;     12490.13; nan; multi
2000-09-21; 00:00:00;     11854.00; nan; multi
2001-06-05; 00:00:00;     14706.17; nan; multi
2001-06-10; 00:00:00;     17315.83; nan; multi
2001-06-11; 00:00:00;     18393.86; nan; multi
2001-06-12; 00:00:00;     17055.19; nan; multi
2001-06-13; 00:00:00;     17546.12; nan; multi
2001-06-21; 00:00:00;     15172.23; nan; multi
2001-06-30; 00:00:00;     18643.73; nan; multi
2001-07-12; 00:00:00;     19149.77; nan; multi
2001-07-17; 00:00:00;     17185.16; nan; multi
2001-07-18; 00:00:00;     17853.32; nan; multi
2001-07-19; 00:00:00;     18657.37; nan; multi
2001-07-20; 00:00:00;     18549.96; nan; multi
2001-07-21; 00:00:00;     18613.11; nan; multi
2001-07-23; 00:00:00;     18465.26; nan; multi
2001-07-24; 00:00:00;     19000.06; nan; multi
2001-07-27; 00:00:00;     20690.63; nan; multi
2001-08-02; 00:00:00;     19851.53; nan; multi
2001-08-03; 00:00:00;     18177.69; nan; multi
2001-08-04; 00:00:00;     15817.21; nan; multi
2001-08-14; 00:00:00;     14808.30; nan; multi
2001-08-15; 00:00:00;     14489.72; nan; multi
2001-08-16; 00:00:00;     13518.55; nan; multi
2001-08-26; 00:00:00;     13790.11; nan; multi
2001-08-29; 00:00:00;     13056.16; nan; multi
2001-09-04; 00:00:00;     13064.91; nan; multi
2001-09-05; 00:00:00;     14448.66; nan; multi
2001-09-09; 00:00:00;     16486.37; nan; multi
2001-09-10; 00:00:00;     14582.68; nan; multi
2001-09-11; 00:00:00;     14004.71; nan; multi
2001-09-14; 00:00:00;     12775.28; nan; multi
2001-09-15; 00:00:00;     12704.40; nan; multi
2001-09-16; 00:00:00;     12245.16; nan; multi
2001-09-20; 00:00:00;     11642.70; nan; multi
2001-09-22; 00:00:00;     11467.49; nan; multi
2001-09-24; 00:00:00;     11547.67; nan; multi
2001-09-25; 00:00:00;     11532.54; nan; multi
2001-09-26; 00:00:00;     11467.56; nan; multi
2001-09-29; 00:00:00;     11264.81; nan; multi
2001-10-01; 00:00:00;     11015.34; nan; multi
2001-10-07; 00:00:00;     10404.80; nan; multi
2002-05-25; 00:00:00;     15079.43; nan; multi
2002-06-01; 00:00:00;     15349.20; nan; multi
2002-06-02; 00:00:00;     15532.93; nan; multi
2002-06-03; 00:00:00;     15907.53; nan; multi
2002-06-04; 00:00:00;     15855.46; nan; multi
2002-06-05; 00:00:00;     16713.50; nan; multi
2002-06-06; 00:00:00;     16677.85; nan; multi
2002-06-07; 00:00:00;     17133.46; nan; multi
2002-06-08; 00:00:00;     17063.92; nan; multi
2002-06-12; 00:00:00;     18116.07; nan; multi
2002-06-19; 00:00:00;     20521.52; nan; multi
2002-06-20; 00:00:00;     18608.09; nan; multi
2002-06-23; 00:00:00;     18489.39; nan; multi
2002-06-24; 00:00:00;     18298.15; nan; multi
2002-06-30; 00:00:00;     17947.95; nan; multi
2002-07-01; 00:00:00;     16717.48; nan; multi
2002-07-02; 00:00:00;     16672.40; nan; multi
2002-07-07; 00:00:00;     17428.92; nan; multi
2002-07-08; 00:00:00;     16109.41; nan; multi
2002-07-12; 00:00:00;     16374.10; nan; multi
2002-07-13; 00:00:00;     16560.26; nan; multi
2002-07-14; 00:00:00;     17137.51; nan; multi
2002-07-17; 00:00:00;     18058.05; nan; multi
2002-07-19; 00:00:00;     18155.59; nan; multi
2002-07-20; 00:00:00;     18194.88; nan; multi
2002-07-23; 00:00:00;     19328.15; nan; multi
2002-07-24; 00:00:00;     19444.31; nan; multi
2002-08-04; 00:00:00;     17795.89; nan; multi
2002-08-11; 00:00:00;     16837.94; nan; multi
2002-08-12; 00:00:00;     16354.09; nan; multi
2002-08-15; 00:00:00;     16816.99; nan; multi
2002-08-19; 00:00:00;     16293.17; nan; multi
2002-08-26; 00:00:00;     14981.44; nan; multi
2002-08-27; 00:00:00;     15564.51; nan; multi
2002-08-29; 00:00:00;     14723.93; nan; multi
2002-08-30; 00:00:00;     14167.09; nan; multi
2002-09-03; 00:00:00;     13612.45; nan; multi
2002-09-05; 00:00:00;     13562.25; nan; multi
2002-09-06; 00:00:00;     13467.75; nan; multi
2002-09-11; 00:00:00;     13292.04; nan; multi
2002-09-12; 00:00:00;     12752.30; nan; multi
2002-09-15; 00:00:00;     12391.24; nan; multi
2002-09-16; 00:00:00;     12412.51; nan; multi
2002-09-22; 00:00:00;     12211.63; nan; multi
2002-09-24; 00:00:00;     10828.40; nan; multi
2002-09-25; 00:00:00;     10308.08; nan; multi
2002-09-26; 00:00:00;      9506.58; nan; multi
2002-10-01; 00:00:00;      9428.50; nan; multi
2003-05-26; 00:00:00;     17906.60; nan; multi
2003-05-27; 00:00:00;     16694.33; nan; multi
2003-05-28; 00:00:00;     15219.28; nan; multi
2003-05-31; 00:00:00;     14930.62; nan; multi
2003-06-01; 00:00:00;     15489.47; nan; multi
2003-06-02; 00:00:00;     17328.38; nan; multi
2003-06-05; 00:00:00;     17710.27; nan; multi
2003-06-06; 00:00:00;     16927.17; nan; multi
2003-06-08; 00:00:00;     16869.19; nan; multi
2003-06-12; 00:00:00;     17075.74; nan; multi
2003-06-13; 00:00:00;     16775.32; nan; multi
2003-06-15; 00:00:00;     17665.10; nan; multi
2003-06-17; 00:00:00;     18325.96; nan; multi
2003-06-22; 00:00:00;     18532.30; nan; multi
2003-06-23; 00:00:00;     19150.88; nan; multi
2003-06-24; 00:00:00;     17854.81; nan; multi
2003-06-25; 00:00:00;     17333.06; nan; multi
2003-06-27; 00:00:00;     17277.19; nan; multi
2003-06-28; 00:00:00;     17669.60; nan; multi
2003-06-29; 00:00:00;     17763.61; nan; multi
2003-06-30; 00:00:00;     18548.73; nan; multi
2003-07-01; 00:00:00;     18713.89; nan; multi
2003-07-02; 00:00:00;     18036.58; nan; multi
2003-07-05; 00:00:00;     17858.90; nan; multi
2003-07-06; 00:00:00;     17704.37; nan; multi
2003-07-10; 00:00:00;     17358.77; nan; multi
2003-07-12; 00:00:00;     18290.32; nan; multi
2003-07-17; 00:00:00;     18574.44; nan; multi
2003-07-18; 00:00:00;     19621.87; nan; multi
2003-07-19; 00:00:00;     19504.52; nan; multi
2003-07-20; 00:00:00;     18909.67; nan; multi
2003-07-21; 00:00:00;     18679.73; nan; multi
2003-07-22; 00:00:00;     18602.12; nan; multi
2003-07-23; 00:00:00;     18659.05; nan; multi
2003-07-24; 00:00:00;     18589.13; nan; multi
2003-07-29; 00:00:00;     16935.38; nan; multi
2003-08-09; 00:00:00;     13923.57; nan; multi
2003-08-10; 00:00:00;     12371.00; nan; multi
2003-08-14; 00:00:00;     12404.71; nan; multi
2003-08-15; 00:00:00;     12208.36; nan; multi
2003-08-16; 00:00:00;     12021.11; nan; multi
2003-08-24; 00:00:00;     11160.26; nan; multi
2003-08-25; 00:00:00;     10929.87; nan; multi
2003-08-26; 00:00:00;     10684.31; nan; multi
2003-08-27; 00:00:00;     10740.05; nan; multi
2003-08-28; 00:00:00;     10838.09; nan; multi
2003-08-29; 00:00:00;     10932.81; nan; multi
2003-08-30; 00:00:00;     11104.76; nan; multi
2003-09-01; 00:00:00;     11138.78; nan; multi
2003-09-02; 00:00:00;     11075.94; nan; multi
2003-09-03; 00:00:00;     11068.61; nan; multi
2003-09-05; 00:00:00;     11114.15; nan; multi
2003-09-06; 00:00:00;     10963.63; nan; multi
2003-09-09; 00:00:00;     10918.35; nan; multi
2003-09-10; 00:00:00;     10773.32; nan; multi
2003-09-11; 00:00:00;     10610.45; nan; multi
2003-09-15; 00:00:00;     10152.20; nan; multi
2003-09-16; 00:00:00;      9904.44; nan; multi
2003-09-20; 00:00:00;     10721.57; nan; multi
2003-09-25; 00:00:00;     10948.11; nan; multi
2003-09-27; 00:00:00;     10769.92; nan; multi
2003-09-28; 00:00:00;     10677.70; nan; multi
2003-09-29; 00:00:00;     10504.56; nan; multi
2003-10-01; 00:00:00;     10173.01; nan; multi
2003-10-02; 00:00:00;      9942.62; nan; multi
2003-10-03; 00:00:00;      9750.18; nan; multi
2003-10-04; 00:00:00;      9479.55; nan; multi
2004-05-27; 00:00:00;     20718.42; nan; multi
2004-05-28; 00:00:00;     19097.05; nan; multi
2004-05-29; 00:00:00;     18270.72; nan; multi
2004-05-30; 00:00:00;     18315.46; nan; multi
2004-05-31; 00:00:00;     18178.89; nan; multi
2004-06-04; 00:00:00;     18471.21; nan; multi
2004-06-05; 00:00:00;     18588.10; nan; multi
2004-06-06; 00:00:00;     18600.34; nan; multi
2004-06-07; 00:00:00;     18489.49; nan; multi
2004-06-08; 00:00:00;     18373.35; nan; multi
2004-06-10; 00:00:00;     17672.16; nan; multi
2004-06-12; 00:00:00;     17778.38; nan; multi
2004-06-13; 00:00:00;     17614.12; nan; multi
2004-06-15; 00:00:00;     17740.61; nan; multi
2004-06-16; 00:00:00;     18526.81; nan; multi
2004-06-19; 00:00:00;     18424.37; nan; multi
2004-06-20; 00:00:00;     18711.91; nan; multi
2004-06-21; 00:00:00;     18549.60; nan; multi
2004-06-22; 00:00:00;     18389.61; nan; multi
2004-06-27; 00:00:00;     17767.59; nan; multi
2004-06-28; 00:00:00;     17187.73; nan; multi
2004-06-29; 00:00:00;     17076.75; nan; multi
2004-06-30; 00:00:00;     16748.87; nan; multi
2004-07-01; 00:00:00;     16278.09; nan; multi
2004-07-02; 00:00:00;     15957.67; nan; multi
2004-07-08; 00:00:00;     15711.75; nan; multi
2004-07-09; 00:00:00;     15548.43; nan; multi
2004-07-10; 00:00:00;     15497.80; nan; multi
2004-07-15; 00:00:00;     17269.23; nan; multi
2004-07-16; 00:00:00;     19113.62; nan; multi
2004-07-27; 00:00:00;     14311.62; nan; multi
2004-07-30; 00:00:00;     13669.45; nan; multi
2004-08-01; 00:00:00;     13103.05; nan; multi
2004-08-05; 00:00:00;     12256.04; nan; multi
2004-08-06; 00:00:00;     11954.18; nan; multi
2004-08-07; 00:00:00;     11615.30; nan; multi
2004-08-08; 00:00:00;     11533.22; nan; multi
2004-08-09; 00:00:00;     11443.45; nan; multi
2004-08-15; 00:00:00;     10915.10; nan; multi
2004-08-16; 00:00:00;     10495.23; nan; multi
2004-08-17; 00:00:00;     10296.38; nan; multi
2004-08-19; 00:00:00;     10080.85; nan; multi
2004-08-22; 00:00:00;      9684.07; nan; multi
2004-08-27; 00:00:00;      9432.93; nan; multi
2004-08-28; 00:00:00;      9217.00; nan; multi
2004-08-29; 00:00:00;      9292.01; nan; multi
2004-09-01; 00:00:00;      9524.54; nan; multi
2004-09-02; 00:00:00;      9640.29; nan; multi
2004-09-07; 00:00:00;      9752.54; nan; multi
2004-09-09; 00:00:00;      9781.95; nan; multi
2004-09-10; 00:00:00;      9695.84; nan; multi
2004-09-11; 00:00:00;      9498.52; nan; multi
2004-09-18; 00:00:00;      9576.62; nan; multi
2004-09-19; 00:00:00;      9612.57; nan; multi
2004-09-20; 00:00:00;      9314.22; nan; multi
2004-09-23; 00:00:00;      9517.38; nan; multi
2004-09-25; 00:00:00;      9458.86; nan; multi
2004-09-26; 00:00:00;      9526.22; nan; multi
2004-09-27; 00:00:00;      9613.53; nan; multi
2004-09-30; 00:00:00;      9640.63; nan; multi
2005-05-25; 00:00:00;     25422.46; nan; multi
2005-05-26; 00:00:00;     23187.42; nan; multi
2005-05-27; 00:00:00;     22379.51; nan; multi
2005-05-31; 00:00:00;     20428.02; nan; multi
2005-06-06; 00:00:00;     20396.39; nan; multi
2005-06-08; 00:00:00;     21116.95; nan; multi
2005-06-09; 00:00:00;     21434.19; nan; multi
2005-06-10; 00:00:00;     21303.68; nan; multi
2005-06-11; 00:00:00;     21030.63; nan; multi
2005-06-12; 00:00:00;     21377.97; nan; multi
2005-06-13; 00:00:00;     21317.51; nan; multi
2005-06-14; 00:00:00;     20470.22; nan; multi
2005-06-15; 00:00:00;     20464.17; nan; multi
2005-06-16; 00:00:00;     20383.46; nan; multi
2005-06-19; 00:00:00;     20264.39; nan; multi
2005-06-20; 00:00:00;     19800.66; nan; multi
2005-06-21; 00:00:00;     18996.08; nan; multi
2005-06-22; 00:00:00;     18419.20; nan; multi
2005-06-23; 00:00:00;     18292.53; nan; multi
2005-06-24; 00:00:00;     18255.58; nan; multi
2005-06-25; 00:00:00;     17629.39; nan; multi
2005-06-26; 00:00:00;     17575.06; nan; multi
2005-06-27; 00:00:00;     17607.21; nan; multi
2005-06-28; 00:00:00;     17556.56; nan; multi
2005-06-29; 00:00:00;     17364.31; nan; multi
2005-07-06; 00:00:00;     16365.09; nan; multi
2005-07-07; 00:00:00;     15380.24; nan; multi
2005-07-09; 00:00:00;     15035.06; nan; multi
2005-07-10; 00:00:00;     14871.61; nan; multi
2005-07-12; 00:00:00;     14828.98; nan; multi
2005-07-15; 00:00:00;     14032.99; nan; multi
2005-07-16; 00:00:00;     13755.30; nan; multi
2005-07-23; 00:00:00;     12368.26; nan; multi
2005-07-25; 00:00:00;     12475.70; nan; multi
2005-07-26; 00:00:00;     12943.33; nan; multi
2005-07-27; 00:00:00;     12838.51; nan; multi
2005-07-28; 00:00:00;     12803.22; nan; multi
2005-08-02; 00:00:00;     12504.40; nan; multi
2005-08-04; 00:00:00;     12299.83; nan; multi
2005-08-07; 00:00:00;     11994.75; nan; multi
2005-08-11; 00:00:00;     12384.60; nan; multi
2005-08-14; 00:00:00;     12851.10; nan; multi
2005-08-15; 00:00:00;     12201.97; nan; multi
2005-08-16; 00:00:00;     11925.96; nan; multi
2005-08-20; 00:00:00;     12322.37; nan; multi
2005-08-21; 00:00:00;     12700.80; nan; multi
2005-08-24; 00:00:00;     13312.92; nan; multi
2005-08-28; 00:00:00;     12572.04; nan; multi
