# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MARONI
# River:                 TAMPOK
# Station:               DEGRAD-ROCHE
# Country:               FRANCE
# Latitude (DD):         3.4
# Longitude (DD):        -53.92
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-10-22 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany / Service Central d'Hydrometeorologie et d'Appui a la Prevision des Inondations (SCHAPI) HydroPortail
# Calibration period:    2016-03-10 - 2016-03-09
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1229
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-10-22; 00:00:00;         0.00; nan; multi
2002-04-19; 00:00:00;         0.00; nan; multi
2002-06-06; 00:00:00;         0.00; nan; multi
2007-07-22; 00:00:00;         0.00; nan; multi
2007-09-08; 00:00:00;         0.00; nan; multi
2007-10-10; 00:00:00;         0.00; nan; multi
2007-11-04; 00:00:00;         0.00; nan; multi
2008-06-06; 00:00:00;         0.00; nan; multi
2008-08-25; 00:00:00;         0.00; nan; multi
2008-09-26; 00:00:00;         0.00; nan; multi
2008-10-12; 00:00:00;         0.00; nan; multi
2008-11-29; 00:00:00;         0.00; nan; multi
2009-05-08; 00:00:00;         0.00; nan; multi
2009-07-27; 00:00:00;         0.00; nan; multi
2009-08-28; 00:00:00;         0.00; nan; multi
2009-09-29; 00:00:00;         0.00; nan; multi
2010-07-14; 00:00:00;         0.00; nan; multi
2010-08-15; 00:00:00;         0.00; nan; multi
2010-08-31; 00:00:00;         0.00; nan; multi
2010-10-02; 00:00:00;         0.00; nan; multi
2010-10-18; 00:00:00;         0.00; nan; multi
2011-03-27; 00:00:00;         0.00; nan; multi
2011-06-15; 00:00:00;         0.00; nan; multi
2011-08-02; 00:00:00;         0.00; nan; multi
2011-09-03; 00:00:00;         0.00; nan; multi
2011-11-22; 00:00:00;         0.00; nan; multi
2012-04-14; 00:00:00;         0.00; nan; multi
2012-07-03; 00:00:00;         0.00; nan; multi
2012-07-19; 00:00:00;         0.00; nan; multi
2012-08-04; 00:00:00;         0.00; nan; multi
2012-11-08; 00:00:00;         0.00; nan; multi
2013-06-04; 00:00:00;         0.00; nan; multi
2013-06-20; 00:00:00;         0.00; nan; multi
2013-06-28; 00:00:00;         0.00; nan; multi
2013-07-14; 00:00:00;         0.00; nan; multi
2013-07-22; 00:00:00;         0.00; nan; multi
2013-08-15; 00:00:00;         0.00; nan; multi
2013-08-31; 00:00:00;         0.00; nan; multi
2013-10-10; 00:00:00;         0.00; nan; multi
2013-10-26; 00:00:00;         0.00; nan; multi
2013-11-11; 00:00:00;         0.00; nan; multi
2014-01-06; 00:00:00;         0.00; nan; multi
2014-03-27; 00:00:00;         0.00; nan; multi
2014-08-02; 00:00:00;         0.00; nan; multi
2014-08-10; 00:00:00;         0.00; nan; multi
2014-09-03; 00:00:00;         0.00; nan; multi
2014-09-19; 00:00:00;         0.00; nan; multi
2014-10-03; 00:00:00;         0.00; nan; multi
2014-10-05; 00:00:00;         0.00; nan; multi
2014-10-18; 00:00:00;         0.00; nan; multi
2014-10-21; 00:00:00;         0.00; nan; multi
2014-10-25; 00:00:00;         0.00; nan; multi
2014-10-27; 00:00:00;         0.00; nan; multi
2014-10-28; 00:00:00;         0.00; nan; multi
2014-10-31; 00:00:00;         0.00; nan; multi
2014-11-03; 00:00:00;         0.00; nan; multi
2014-11-06; 00:00:00;         0.00; nan; multi
2014-11-19; 00:00:00;         0.00; nan; multi
2014-12-02; 00:00:00;         0.00; nan; multi
2014-12-08; 00:00:00;         0.00; nan; multi
2014-12-14; 00:00:00;         0.00; nan; multi
2014-12-24; 00:00:00;         0.00; nan; multi
2015-01-14; 00:00:00;         0.00; nan; multi
2015-01-24; 00:00:00;         0.00; nan; multi
2015-03-22; 00:00:00;         0.00; nan; multi
2015-03-24; 00:00:00;         0.00; nan; multi
2015-03-31; 00:00:00;         0.00; nan; multi
2015-06-05; 00:00:00;         0.00; nan; multi
2015-06-06; 00:00:00;         0.00; nan; multi
2015-06-15; 00:00:00;         0.00; nan; multi
2015-06-18; 00:00:00;         0.00; nan; multi
2015-06-19; 00:00:00;         0.00; nan; multi
2015-06-21; 00:00:00;         0.00; nan; multi
2015-06-24; 00:00:00;         0.00; nan; multi
2015-06-26; 00:00:00;         0.00; nan; multi
2015-06-27; 00:00:00;         0.00; nan; multi
2015-07-17; 00:00:00;         0.00; nan; multi
2015-07-23; 00:00:00;         0.00; nan; multi
2015-07-26; 00:00:00;         0.00; nan; multi
2015-07-28; 00:00:00;         0.00; nan; multi
2015-09-06; 00:00:00;         0.00; nan; multi
2015-09-11; 00:00:00;         0.00; nan; multi
2015-09-12; 00:00:00;         0.00; nan; multi
2015-09-14; 00:00:00;         0.00; nan; multi
2015-09-15; 00:00:00;         0.00; nan; multi
2015-09-16; 00:00:00;         0.00; nan; multi
2015-09-21; 00:00:00;         0.00; nan; multi
2015-10-04; 00:00:00;         0.00; nan; multi
2015-10-05; 00:00:00;         0.00; nan; multi
2015-10-14; 00:00:00;         0.00; nan; multi
2015-10-16; 00:00:00;         0.00; nan; multi
2015-10-21; 00:00:00;         0.00; nan; multi
2015-10-22; 00:00:00;         0.00; nan; multi
2015-10-23; 00:00:00;         0.00; nan; multi
2015-10-27; 00:00:00;         0.00; nan; multi
2015-10-28; 00:00:00;         0.00; nan; multi
2015-10-29; 00:00:00;         0.00; nan; multi
2015-11-03; 00:00:00;         0.00; nan; multi
2015-11-09; 00:00:00;         0.00; nan; multi
2015-11-22; 00:00:00;         0.00; nan; multi
2015-11-25; 00:00:00;         0.00; nan; multi
2015-11-27; 00:00:00;         0.00; nan; multi
2015-11-29; 00:00:00;         0.00; nan; multi
2015-12-01; 00:00:00;         0.00; nan; multi
2015-12-11; 00:00:00;         0.00; nan; multi
2015-12-28; 00:00:00;         0.00; nan; multi
2016-01-20; 00:00:00;         0.00; nan; multi
2016-01-26; 00:00:00;         0.00; nan; multi
2016-02-29; 00:00:00;         0.00; nan; multi
2016-04-25; 00:00:00;         0.00; nan; multi
2016-05-03; 00:00:00;         0.00; nan; multi
2016-05-13; 00:00:00;         0.00; nan; multi
2016-05-15; 00:00:00;         0.00; nan; multi
2016-05-27; 00:00:00;         0.00; nan; multi
2016-06-05; 00:00:00;         0.00; nan; multi
2016-06-12; 00:00:00;         0.00; nan; multi
2016-06-14; 00:00:00;         0.00; nan; multi
2016-06-20; 00:00:00;         0.00; nan; multi
2016-06-28; 00:00:00;         0.00; nan; multi
2016-07-07; 00:00:00;         0.00; nan; multi
2016-07-14; 00:00:00;         0.00; nan; multi
2016-07-17; 00:00:00;         0.00; nan; multi
2016-07-21; 00:00:00;         0.00; nan; multi
2016-07-22; 00:00:00;         0.00; nan; multi
2016-07-28; 00:00:00;         0.00; nan; multi
2016-08-11; 00:00:00;         0.00; nan; multi
2016-08-13; 00:00:00;         0.00; nan; multi
2016-08-15; 00:00:00;         0.00; nan; multi
2016-08-19; 00:00:00;         0.00; nan; multi
2016-08-21; 00:00:00;         0.00; nan; multi
2016-08-31; 00:00:00;         0.00; nan; multi
2016-09-02; 00:00:00;         0.00; nan; multi
2016-09-03; 00:00:00;         0.00; nan; multi
2016-09-16; 00:00:00;         0.00; nan; multi
2016-09-20; 00:00:00;         0.00; nan; multi
2016-09-21; 00:00:00;         0.00; nan; multi
2016-09-22; 00:00:00;         0.00; nan; multi
2016-09-23; 00:00:00;         0.00; nan; multi
2016-09-24; 00:00:00;         0.00; nan; multi
2016-09-25; 00:00:00;         0.00; nan; multi
2016-10-04; 00:00:00;         0.00; nan; multi
2016-10-05; 00:00:00;         0.00; nan; multi
2016-10-06; 00:00:00;         0.00; nan; multi
2016-10-09; 00:00:00;         0.00; nan; multi
2016-10-10; 00:00:00;         0.00; nan; multi
2016-10-12; 00:00:00;         0.00; nan; multi
2016-10-13; 00:00:00;         0.00; nan; multi
2016-10-16; 00:00:00;         0.00; nan; multi
2016-10-17; 00:00:00;         0.00; nan; multi
2016-10-18; 00:00:00;         0.00; nan; multi
2016-10-20; 00:00:00;         0.00; nan; multi
2016-10-26; 00:00:00;         0.00; nan; multi
2016-10-27; 00:00:00;         0.00; nan; multi
2016-10-28; 00:00:00;         0.00; nan; multi
2016-10-29; 00:00:00;         0.00; nan; multi
2016-10-31; 00:00:00;         0.00; nan; multi
2016-11-01; 00:00:00;         0.00; nan; multi
2016-11-04; 00:00:00;         0.00; nan; multi
2016-11-08; 00:00:00;         0.00; nan; multi
2016-11-09; 00:00:00;         0.00; nan; multi
2016-11-11; 00:00:00;         0.00; nan; multi
2016-11-13; 00:00:00;         0.00; nan; multi
2016-11-18; 00:00:00;         0.00; nan; multi
2016-11-19; 00:00:00;         0.00; nan; multi
2016-11-20; 00:00:00;         0.00; nan; multi
2016-11-23; 00:00:00;         0.00; nan; multi
2016-11-24; 00:00:00;         0.00; nan; multi
2016-11-28; 00:00:00;         0.00; nan; multi
2016-12-01; 00:00:00;         0.00; nan; multi
2016-12-02; 00:00:00;         0.00; nan; multi
2016-12-06; 00:00:00;         0.00; nan; multi
2016-12-09; 00:00:00;         0.00; nan; multi
2016-12-10; 00:00:00;         0.00; nan; multi
2016-12-16; 00:00:00;         0.00; nan; multi
2016-12-21; 00:00:00;         0.00; nan; multi
2017-01-01; 00:00:00;         0.00; nan; multi
2017-01-09; 00:00:00;         0.00; nan; multi
2017-01-21; 00:00:00;         0.00; nan; multi
2017-01-24; 00:00:00;         0.00; nan; multi
2017-01-25; 00:00:00;         0.00; nan; multi
2017-02-01; 00:00:00;         0.00; nan; multi
2017-02-08; 00:00:00;         0.00; nan; multi
2017-02-09; 00:00:00;         0.00; nan; multi
2017-02-12; 00:00:00;         0.00; nan; multi
2017-02-13; 00:00:00;         0.00; nan; multi
2017-02-20; 00:00:00;         0.00; nan; multi
2017-02-21; 00:00:00;         0.00; nan; multi
2017-02-25; 00:00:00;         0.00; nan; multi
2017-04-04; 00:00:00;         0.00; nan; multi
2017-04-11; 00:00:00;         0.00; nan; multi
2017-04-19; 00:00:00;         0.00; nan; multi
2017-04-20; 00:00:00;         0.00; nan; multi
2017-04-23; 00:00:00;         0.00; nan; multi
2017-04-27; 00:00:00;         0.00; nan; multi
2017-05-01; 00:00:00;         0.00; nan; multi
2017-05-06; 00:00:00;         0.00; nan; multi
2017-05-08; 00:00:00;         0.00; nan; multi
2017-05-13; 00:00:00;         0.00; nan; multi
2017-05-14; 00:00:00;         0.00; nan; multi
2017-05-16; 00:00:00;         0.00; nan; multi
2017-05-19; 00:00:00;         0.00; nan; multi
2017-05-23; 00:00:00;         0.00; nan; multi
2017-05-27; 00:00:00;         0.00; nan; multi
2017-05-28; 00:00:00;         0.00; nan; multi
2017-06-04; 00:00:00;         0.00; nan; multi
2017-06-05; 00:00:00;         0.00; nan; multi
2017-06-07; 00:00:00;         0.00; nan; multi
2017-06-08; 00:00:00;         0.00; nan; multi
2017-06-12; 00:00:00;         0.00; nan; multi
2017-06-15; 00:00:00;         0.00; nan; multi
2017-06-16; 00:00:00;         0.00; nan; multi
2017-06-23; 00:00:00;         0.00; nan; multi
2017-07-01; 00:00:00;         0.00; nan; multi
2017-07-02; 00:00:00;         0.00; nan; multi
2017-07-05; 00:00:00;         0.00; nan; multi
2017-07-06; 00:00:00;         0.00; nan; multi
2017-07-10; 00:00:00;         0.00; nan; multi
2017-07-15; 00:00:00;         0.00; nan; multi
2017-07-17; 00:00:00;         0.00; nan; multi
2017-07-19; 00:00:00;         0.00; nan; multi
2017-07-20; 00:00:00;         0.00; nan; multi
2017-07-21; 00:00:00;         0.00; nan; multi
2017-07-25; 00:00:00;         0.00; nan; multi
2017-07-28; 00:00:00;         0.00; nan; multi
2017-07-29; 00:00:00;         0.00; nan; multi
2017-08-01; 00:00:00;         0.00; nan; multi
2017-08-03; 00:00:00;         0.00; nan; multi
2017-08-05; 00:00:00;         0.00; nan; multi
2017-08-06; 00:00:00;         0.00; nan; multi
2017-08-07; 00:00:00;         0.00; nan; multi
2017-08-08; 00:00:00;         0.00; nan; multi
2017-08-10; 00:00:00;         0.00; nan; multi
2017-08-13; 00:00:00;         0.00; nan; multi
2017-08-17; 00:00:00;         0.00; nan; multi
2017-08-20; 00:00:00;         0.00; nan; multi
2017-08-21; 00:00:00;         0.00; nan; multi
2017-08-22; 00:00:00;         0.00; nan; multi
2017-08-23; 00:00:00;         0.00; nan; multi
2017-08-24; 00:00:00;         0.00; nan; multi
2017-08-28; 00:00:00;         0.00; nan; multi
2017-08-29; 00:00:00;         0.00; nan; multi
2017-09-02; 00:00:00;         0.00; nan; multi
2017-09-03; 00:00:00;         0.00; nan; multi
2017-09-05; 00:00:00;         0.00; nan; multi
2017-09-06; 00:00:00;         0.00; nan; multi
2017-09-09; 00:00:00;         0.00; nan; multi
2017-09-10; 00:00:00;         0.00; nan; multi
2017-09-13; 00:00:00;         0.00; nan; multi
2017-09-16; 00:00:00;         0.00; nan; multi
2017-09-19; 00:00:00;         0.00; nan; multi
2017-09-20; 00:00:00;         0.00; nan; multi
2017-09-21; 00:00:00;         0.00; nan; multi
2017-09-25; 00:00:00;         0.00; nan; multi
2017-09-28; 00:00:00;         0.00; nan; multi
2017-09-29; 00:00:00;         0.00; nan; multi
2017-10-02; 00:00:00;         0.00; nan; multi
2017-10-06; 00:00:00;         0.00; nan; multi
2017-10-07; 00:00:00;         0.00; nan; multi
2017-10-09; 00:00:00;         0.00; nan; multi
2017-10-10; 00:00:00;         0.00; nan; multi
2017-10-13; 00:00:00;         0.00; nan; multi
2017-10-14; 00:00:00;         0.00; nan; multi
2017-10-17; 00:00:00;         0.00; nan; multi
