# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MARONI
# River:                 MARONI
# Station:               LANGA-TABIKI
# Country:               FRANCE
# Latitude (DD):         4.98
# Longitude (DD):        -54.43
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-06 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany / Service Central d'Hydrometeorologie et d'Appui a la Prevision des Inondations (SCHAPI) HydroPortail
# Calibration period:    2003-03-23 - 2023-09-10
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1598
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-06; 00:00:00;      3693.04; nan; multi
2000-06-08; 00:00:00;       342.55; nan; multi
2000-07-05; 00:00:00;      1005.86; nan; multi
2000-07-26; 00:00:00;      3642.92; nan; multi
2000-07-31; 00:00:00;      2547.36; nan; multi
2000-08-27; 00:00:00;      2591.16; nan; multi
2000-10-06; 00:00:00;       518.39; nan; multi
2000-10-14; 00:00:00;      1795.04; nan; multi
2000-11-15; 00:00:00;      1734.23; nan; multi
2001-01-01; 00:00:00;      1412.87; nan; multi
2001-01-02; 00:00:00;      1431.36; nan; multi
2001-06-27; 00:00:00;      3980.85; nan; multi
2001-07-11; 00:00:00;      2243.90; nan; multi
2001-07-12; 00:00:00;      2134.80; nan; multi
2001-07-13; 00:00:00;      2085.34; nan; multi
2001-07-28; 00:00:00;      2829.42; nan; multi
2001-08-24; 00:00:00;      1618.82; nan; multi
2001-08-30; 00:00:00;      2036.88; nan; multi
2001-08-31; 00:00:00;      2049.38; nan; multi
2001-09-20; 00:00:00;      1248.42; nan; multi
2001-09-23; 00:00:00;       989.63; nan; multi
2001-09-26; 00:00:00;      1039.96; nan; multi
2001-09-28; 00:00:00;      1037.75; nan; multi
2001-10-01; 00:00:00;       977.40; nan; multi
2001-10-04; 00:00:00;      1033.81; nan; multi
2001-10-06; 00:00:00;      1016.01; nan; multi
2001-10-15; 00:00:00;       904.00; nan; multi
