# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MARONI
# River:                 MARONI
# Station:               TAPA
# Country:               SURINAME
# Latitude (DD):         3.18
# Longitude (DD):        -55.697
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-07 - 2023-09-27
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Simulation from MGB hydrological model - Research Group (IPH - UFRGS) - Porto Alegre
# Calibration period:    2019-03-29 - 2023-09-16
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 894
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-07; 00:00:00;        10.52; nan; multi
2000-09-11; 00:00:00;         3.02; nan; multi
2001-06-10; 00:00:00;         7.53; nan; multi
2001-12-19; 00:00:00;         3.73; nan; multi
2002-07-31; 00:00:00;         3.20; nan; multi
2002-10-03; 00:00:00;         8.16; nan; multi
2002-11-20; 00:00:00;        21.96; nan; multi
2003-11-07; 00:00:00;        34.40; nan; multi
2004-12-11; 00:00:00;        54.26; nan; multi
2004-12-27; 00:00:00;        26.13; nan; multi
2005-01-12; 00:00:00;       174.59; nan; multi
2005-07-07; 00:00:00;         7.58; nan; multi
2005-07-23; 00:00:00;        13.46; nan; multi
2005-09-09; 00:00:00;         5.81; nan; multi
2005-09-25; 00:00:00;        70.57; nan; multi
2007-08-14; 00:00:00;         2.08; nan; multi
2007-10-01; 00:00:00;        24.05; nan; multi
2007-11-18; 00:00:00;         2.81; nan; multi
2008-07-31; 00:00:00;        42.17; nan; multi
2008-11-04; 00:00:00;        10.62; nan; multi
2009-07-18; 00:00:00;        21.85; nan; multi
2009-10-22; 00:00:00;        17.23; nan; multi
2010-06-03; 00:00:00;        15.47; nan; multi
2010-09-23; 00:00:00;        59.90; nan; multi
2011-08-09; 00:00:00;        12.38; nan; multi
2011-10-28; 00:00:00;         4.40; nan; multi
2012-04-05; 00:00:00;        82.22; nan; multi
2012-08-11; 00:00:00;         2.98; nan; multi
2012-10-14; 00:00:00;       210.90; nan; multi
2013-05-18; 00:00:00;       148.83; nan; multi
2013-06-19; 00:00:00;        71.93; nan; multi
2013-06-27; 00:00:00;        19.06; nan; multi
2013-09-15; 00:00:00;         3.75; nan; multi
2013-09-23; 00:00:00;       126.89; nan; multi
2013-10-01; 00:00:00;       114.46; nan; multi
2013-10-17; 00:00:00;        21.99; nan; multi
2013-10-25; 00:00:00;       102.44; nan; multi
2013-11-02; 00:00:00;        35.70; nan; multi
2013-12-12; 00:00:00;        15.26; nan; multi
2014-06-06; 00:00:00;        62.47; nan; multi
2014-07-24; 00:00:00;        51.88; nan; multi
2014-08-17; 00:00:00;       173.66; nan; multi
2014-09-10; 00:00:00;        66.95; nan; multi
2014-09-26; 00:00:00;        28.18; nan; multi
2014-10-12; 00:00:00;        26.70; nan; multi
2014-11-05; 00:00:00;        41.77; nan; multi
2014-11-29; 00:00:00;        13.20; nan; multi
2015-01-16; 00:00:00;         3.64; nan; multi
2015-03-13; 00:00:00;         5.82; nan; multi
2015-06-25; 00:00:00;       180.50; nan; multi
2015-07-11; 00:00:00;        83.31; nan; multi
2015-09-21; 00:00:00;         3.75; nan; multi
2015-10-04; 00:00:00;        43.76; nan; multi
2015-10-14; 00:00:00;        41.74; nan; multi
2015-10-15; 00:00:00;        37.27; nan; multi
2015-10-16; 00:00:00;        32.55; nan; multi
2015-10-22; 00:00:00;        33.12; nan; multi
2015-10-29; 00:00:00;        38.02; nan; multi
2015-11-01; 00:00:00;        44.82; nan; multi
2015-11-16; 00:00:00;         3.48; nan; multi
2015-11-22; 00:00:00;        21.60; nan; multi
2016-01-18; 00:00:00;         8.37; nan; multi
2016-01-26; 00:00:00;        70.14; nan; multi
2016-05-10; 00:00:00;       135.75; nan; multi
2016-05-16; 00:00:00;        71.98; nan; multi
2016-05-26; 00:00:00;        74.89; nan; multi
2016-06-11; 00:00:00;        45.21; nan; multi
2016-06-14; 00:00:00;        49.08; nan; multi
2016-06-15; 00:00:00;        50.76; nan; multi
2016-06-21; 00:00:00;        72.89; nan; multi
2016-06-26; 00:00:00;        58.31; nan; multi
2016-07-21; 00:00:00;        40.71; nan; multi
2016-08-13; 00:00:00;       109.35; nan; multi
2016-08-14; 00:00:00;       108.59; nan; multi
2016-08-22; 00:00:00;        78.67; nan; multi
2016-08-30; 00:00:00;        78.07; nan; multi
2016-08-31; 00:00:00;        76.59; nan; multi
2016-09-02; 00:00:00;        73.88; nan; multi
2016-09-13; 00:00:00;        52.29; nan; multi
2016-09-22; 00:00:00;        68.97; nan; multi
2016-09-23; 00:00:00;        72.02; nan; multi
2016-10-01; 00:00:00;        57.49; nan; multi
2016-10-04; 00:00:00;        50.51; nan; multi
2016-10-05; 00:00:00;        43.20; nan; multi
2016-10-09; 00:00:00;        37.75; nan; multi
2016-10-12; 00:00:00;        51.84; nan; multi
2016-10-15; 00:00:00;        45.68; nan; multi
2016-10-16; 00:00:00;        43.18; nan; multi
2016-10-17; 00:00:00;        41.68; nan; multi
2016-10-18; 00:00:00;        41.91; nan; multi
2016-10-19; 00:00:00;        42.71; nan; multi
2016-10-20; 00:00:00;        43.46; nan; multi
2016-10-25; 00:00:00;        45.71; nan; multi
2016-10-27; 00:00:00;        46.67; nan; multi
2016-10-28; 00:00:00;        47.03; nan; multi
2016-10-31; 00:00:00;        52.85; nan; multi
2016-11-01; 00:00:00;        57.45; nan; multi
2016-11-02; 00:00:00;        60.86; nan; multi
2016-11-03; 00:00:00;        62.59; nan; multi
2016-11-04; 00:00:00;        63.12; nan; multi
2016-11-08; 00:00:00;        54.90; nan; multi
2016-11-11; 00:00:00;        52.72; nan; multi
2016-11-12; 00:00:00;        52.08; nan; multi
2016-11-16; 00:00:00;        44.45; nan; multi
2016-11-19; 00:00:00;        58.96; nan; multi
2016-11-23; 00:00:00;        63.68; nan; multi
2016-11-24; 00:00:00;        48.33; nan; multi
2016-11-27; 00:00:00;        47.61; nan; multi
2016-11-28; 00:00:00;        53.93; nan; multi
2016-12-01; 00:00:00;        59.44; nan; multi
2016-12-05; 00:00:00;        51.64; nan; multi
2016-12-08; 00:00:00;        42.56; nan; multi
2016-12-09; 00:00:00;        30.92; nan; multi
2016-12-10; 00:00:00;        23.07; nan; multi
2017-01-01; 00:00:00;        56.23; nan; multi
2017-01-04; 00:00:00;        24.05; nan; multi
2017-01-09; 00:00:00;        23.40; nan; multi
2017-01-19; 00:00:00;        41.47; nan; multi
2017-01-25; 00:00:00;         5.75; nan; multi
2017-02-08; 00:00:00;        81.29; nan; multi
2017-02-13; 00:00:00;        35.79; nan; multi
2017-02-20; 00:00:00;        23.13; nan; multi
2017-02-21; 00:00:00;        23.16; nan; multi
2017-03-07; 00:00:00;       108.28; nan; multi
2017-03-08; 00:00:00;        61.99; nan; multi
