# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MISSISSIPPI
# River:                 BIG_SIOUX
# Station:               NEAR-BROOKINGS
# Country:               UNITEDSTATES
# Latitude (DD):         44.18
# Longitude (DD):        -96.7489
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-10 - 2023-07-01
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-12-17 - 2022-10-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2562
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-10; 00:00:00;         7.73; nan; multi
1999-10-26; 00:00:00;         6.98; nan; multi
2000-03-28; 00:00:00;        14.79; nan; multi
2000-03-29; 00:00:00;        14.47; nan; multi
2000-04-03; 00:00:00;        12.62; nan; multi
2000-04-04; 00:00:00;        12.13; nan; multi
2000-04-05; 00:00:00;        10.56; nan; multi
2000-04-11; 00:00:00;         1.61; nan; multi
2000-04-21; 00:00:00;         8.79; nan; multi
2000-04-22; 00:00:00;        11.46; nan; multi
2000-04-23; 00:00:00;        13.41; nan; multi
2000-04-29; 00:00:00;        14.69; nan; multi
2000-05-01; 00:00:00;        14.62; nan; multi
2000-05-02; 00:00:00;        13.15; nan; multi
2000-05-03; 00:00:00;        13.80; nan; multi
2000-05-04; 00:00:00;        13.39; nan; multi
2000-05-05; 00:00:00;        12.52; nan; multi
2000-05-09; 00:00:00;        12.43; nan; multi
2000-05-10; 00:00:00;        13.23; nan; multi
2000-05-14; 00:00:00;        14.39; nan; multi
2000-05-18; 00:00:00;        13.91; nan; multi
2000-05-19; 00:00:00;        13.47; nan; multi
2000-05-20; 00:00:00;        12.79; nan; multi
2000-05-21; 00:00:00;        12.38; nan; multi
2000-05-24; 00:00:00;        12.46; nan; multi
2000-05-28; 00:00:00;        11.00; nan; multi
2000-05-29; 00:00:00;        10.03; nan; multi
2000-06-05; 00:00:00;         9.94; nan; multi
2000-06-06; 00:00:00;        10.01; nan; multi
2000-06-07; 00:00:00;        10.28; nan; multi
2000-06-09; 00:00:00;        10.68; nan; multi
2000-06-11; 00:00:00;        11.30; nan; multi
2000-06-18; 00:00:00;        11.51; nan; multi
2000-06-21; 00:00:00;        10.65; nan; multi
2000-06-22; 00:00:00;         9.44; nan; multi
2000-06-26; 00:00:00;        11.80; nan; multi
2000-06-29; 00:00:00;        10.10; nan; multi
2000-06-30; 00:00:00;         9.88; nan; multi
2000-07-01; 00:00:00;         9.66; nan; multi
2000-07-06; 00:00:00;         9.11; nan; multi
2000-07-07; 00:00:00;         9.37; nan; multi
2000-07-08; 00:00:00;         9.43; nan; multi
2000-07-12; 00:00:00;         8.67; nan; multi
2000-07-13; 00:00:00;         8.27; nan; multi
2000-07-14; 00:00:00;         7.83; nan; multi
2000-07-15; 00:00:00;         7.03; nan; multi
2000-07-16; 00:00:00;         6.70; nan; multi
2000-07-20; 00:00:00;         6.68; nan; multi
2000-07-22; 00:00:00;         9.86; nan; multi
2000-07-30; 00:00:00;         8.74; nan; multi
2000-07-31; 00:00:00;         8.04; nan; multi
2000-08-01; 00:00:00;         8.16; nan; multi
2000-08-03; 00:00:00;         8.35; nan; multi
2000-08-09; 00:00:00;         7.67; nan; multi
2000-08-24; 00:00:00;         9.92; nan; multi
2000-08-26; 00:00:00;        12.21; nan; multi
2000-09-03; 00:00:00;         5.92; nan; multi
2000-09-07; 00:00:00;         5.19; nan; multi
2000-09-10; 00:00:00;         5.94; nan; multi
2000-09-12; 00:00:00;         5.04; nan; multi
2000-09-13; 00:00:00;         6.29; nan; multi
2000-09-14; 00:00:00;         6.77; nan; multi
2000-09-16; 00:00:00;         8.40; nan; multi
2000-09-17; 00:00:00;         8.58; nan; multi
2000-09-24; 00:00:00;         8.31; nan; multi
2000-09-25; 00:00:00;         8.80; nan; multi
2000-09-26; 00:00:00;         8.59; nan; multi
2000-09-27; 00:00:00;         9.06; nan; multi
2000-09-28; 00:00:00;         9.12; nan; multi
2000-09-30; 00:00:00;         9.80; nan; multi
2000-10-02; 00:00:00;        10.73; nan; multi
2000-10-08; 00:00:00;        11.58; nan; multi
2000-10-09; 00:00:00;        11.61; nan; multi
2000-10-11; 00:00:00;        11.82; nan; multi
2000-10-18; 00:00:00;        10.26; nan; multi
2000-10-19; 00:00:00;         8.77; nan; multi
2000-10-20; 00:00:00;         8.35; nan; multi
2000-10-21; 00:00:00;         7.58; nan; multi
2000-11-03; 00:00:00;        13.04; nan; multi
2001-04-09; 00:00:00;        80.01; nan; multi
