# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MISSISSIPPI
# River:                 ILLINOIS
# Station:               VALLEY-CITY
# Country:               UNITEDSTATES
# Latitude (DD):         39.7034
# Longitude (DD):        -90.6454
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-07 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-04-12 - 2022-10-26
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3417
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-07; 00:00:00;       270.06; nan; multi
1999-10-23; 00:00:00;       166.00; nan; multi
1999-11-24; 00:00:00;       264.01; nan; multi
1999-12-10; 00:00:00;       285.94; nan; multi
1999-12-26; 00:00:00;       243.13; nan; multi
2000-01-11; 00:00:00;       263.60; nan; multi
2000-02-20; 00:00:00;        78.11; nan; multi
2000-02-27; 00:00:00;       529.98; nan; multi
2000-02-28; 00:00:00;       585.00; nan; multi
2000-03-01; 00:00:00;       616.87; nan; multi
2000-03-02; 00:00:00;       562.77; nan; multi
2000-03-05; 00:00:00;       514.22; nan; multi
2000-03-06; 00:00:00;       470.97; nan; multi
2000-03-07; 00:00:00;       451.11; nan; multi
2000-03-12; 00:00:00;       457.83; nan; multi
2000-03-15; 00:00:00;       453.74; nan; multi
2000-03-17; 00:00:00;       482.38; nan; multi
2000-03-23; 00:00:00;       386.40; nan; multi
2000-03-25; 00:00:00;       352.47; nan; multi
2000-03-31; 00:00:00;       497.35; nan; multi
2000-04-05; 00:00:00;       451.09; nan; multi
2000-04-08; 00:00:00;       427.97; nan; multi
2000-04-09; 00:00:00;       439.93; nan; multi
2000-04-12; 00:00:00;       440.30; nan; multi
2000-04-14; 00:00:00;       504.75; nan; multi
2000-04-15; 00:00:00;       518.93; nan; multi
2000-04-22; 00:00:00;       575.21; nan; multi
2000-04-30; 00:00:00;       655.05; nan; multi
2000-05-02; 00:00:00;       648.62; nan; multi
2000-05-06; 00:00:00;       662.91; nan; multi
2000-05-10; 00:00:00;       441.58; nan; multi
2000-05-14; 00:00:00;       488.23; nan; multi
2000-05-25; 00:00:00;       514.60; nan; multi
2000-06-01; 00:00:00;       496.04; nan; multi
2000-06-03; 00:00:00;       506.14; nan; multi
2000-06-06; 00:00:00;       477.40; nan; multi
2000-06-07; 00:00:00;       453.54; nan; multi
2000-06-08; 00:00:00;       444.59; nan; multi
2000-06-09; 00:00:00;       396.77; nan; multi
2000-06-22; 00:00:00;       174.93; nan; multi
2000-06-25; 00:00:00;        89.89; nan; multi
2000-06-28; 00:00:00;       144.76; nan; multi
2000-07-07; 00:00:00;       192.31; nan; multi
