# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 MISSISSIPPI
# River:                 MISSISSIPPI
# Station:               VICKSBURG
# Country:               UNITEDSTATES
# Latitude (DD):         32.4136
# Longitude (DD):        -91.002
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-20 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-03-19 - 2022-09-20
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3862
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-20; 00:00:00;      8243.15; nan; multi
2000-02-05; 00:00:00;      7896.25; nan; multi
2000-02-21; 00:00:00;      8786.77; nan; multi
2000-02-27; 00:00:00;     15570.55; nan; multi
2000-02-28; 00:00:00;     12308.34; nan; multi
2000-02-29; 00:00:00;     17899.83; nan; multi
2000-03-02; 00:00:00;     21892.82; nan; multi
2000-03-05; 00:00:00;     25336.93; nan; multi
2000-03-06; 00:00:00;     30948.36; nan; multi
2000-03-12; 00:00:00;     27133.77; nan; multi
2000-03-13; 00:00:00;     24955.78; nan; multi
2000-03-20; 00:00:00;     19072.69; nan; multi
2000-03-23; 00:00:00;     20835.81; nan; multi
2000-03-26; 00:00:00;     17333.19; nan; multi
2000-03-28; 00:00:00;     19653.34; nan; multi
2000-03-31; 00:00:00;     18670.07; nan; multi
2000-04-04; 00:00:00;     17193.45; nan; multi
2000-04-05; 00:00:00;     18110.89; nan; multi
2000-04-08; 00:00:00;     24735.40; nan; multi
2000-04-09; 00:00:00;     22059.31; nan; multi
2000-04-16; 00:00:00;     20778.65; nan; multi
2000-04-17; 00:00:00;     21730.41; nan; multi
2000-04-18; 00:00:00;     21683.64; nan; multi
2000-04-19; 00:00:00;     23016.76; nan; multi
2000-04-21; 00:00:00;     22184.07; nan; multi
2000-04-22; 00:00:00;     21707.73; nan; multi
2000-04-25; 00:00:00;     20172.32; nan; multi
2000-04-29; 00:00:00;     19670.98; nan; multi
2000-05-11; 00:00:00;     18499.78; nan; multi
2000-05-14; 00:00:00;     17196.31; nan; multi
2000-05-15; 00:00:00;     16990.27; nan; multi
2000-05-23; 00:00:00;     12668.57; nan; multi
2000-05-29; 00:00:00;      9991.21; nan; multi
2000-05-30; 00:00:00;      9244.45; nan; multi
2000-05-31; 00:00:00;     12746.66; nan; multi
2000-06-01; 00:00:00;     13017.24; nan; multi
2000-06-07; 00:00:00;     12875.14; nan; multi
2000-06-08; 00:00:00;     13000.60; nan; multi
2000-06-12; 00:00:00;     11985.57; nan; multi
2000-06-20; 00:00:00;      7733.39; nan; multi
2000-06-28; 00:00:00;      9981.88; nan; multi
2000-07-03; 00:00:00;     15975.39; nan; multi
2000-07-04; 00:00:00;     16830.76; nan; multi
2000-07-06; 00:00:00;     17930.31; nan; multi
2000-07-08; 00:00:00;     18034.08; nan; multi
2000-07-10; 00:00:00;     18396.63; nan; multi
2000-07-11; 00:00:00;     18844.86; nan; multi
2000-07-12; 00:00:00;     18885.79; nan; multi
2000-07-14; 00:00:00;     19663.46; nan; multi
2000-07-15; 00:00:00;     20412.53; nan; multi
2000-07-17; 00:00:00;     20677.20; nan; multi
2000-07-19; 00:00:00;     19673.43; nan; multi
2000-07-20; 00:00:00;     19308.00; nan; multi
2000-07-22; 00:00:00;     18532.40; nan; multi
2000-07-25; 00:00:00;     18756.38; nan; multi
2000-07-26; 00:00:00;     18436.67; nan; multi
2000-07-27; 00:00:00;     18728.24; nan; multi
2000-07-28; 00:00:00;     19286.00; nan; multi
2000-08-07; 00:00:00;     12384.86; nan; multi
2000-08-15; 00:00:00;      9954.10; nan; multi
2000-08-19; 00:00:00;      9843.51; nan; multi
2000-08-20; 00:00:00;     10957.35; nan; multi
2000-08-21; 00:00:00;     10701.34; nan; multi
2000-08-23; 00:00:00;      9984.71; nan; multi
2000-08-25; 00:00:00;      9489.63; nan; multi
2000-08-28; 00:00:00;      8948.94; nan; multi
2000-08-29; 00:00:00;      8779.83; nan; multi
2000-08-30; 00:00:00;      8287.75; nan; multi
2000-08-31; 00:00:00;      8417.64; nan; multi
2000-09-01; 00:00:00;      8183.88; nan; multi
2000-09-02; 00:00:00;      8027.50; nan; multi
2000-09-03; 00:00:00;      7996.06; nan; multi
2000-09-04; 00:00:00;      7940.50; nan; multi
2000-09-16; 00:00:00;      7566.69; nan; multi
2000-09-17; 00:00:00;      6855.28; nan; multi
2000-09-18; 00:00:00;      6485.01; nan; multi
2000-09-19; 00:00:00;      6599.54; nan; multi
2000-09-27; 00:00:00;      6869.23; nan; multi
2000-09-28; 00:00:00;      6998.13; nan; multi
2000-09-29; 00:00:00;      6676.00; nan; multi
2000-09-30; 00:00:00;      6720.47; nan; multi
2000-10-01; 00:00:00;      6651.81; nan; multi
2000-10-02; 00:00:00;      6410.36; nan; multi
2000-10-03; 00:00:00;      6337.60; nan; multi
2000-10-08; 00:00:00;      6586.01; nan; multi
2000-10-10; 00:00:00;      6600.66; nan; multi
2000-10-11; 00:00:00;      6634.29; nan; multi
2000-10-12; 00:00:00;      6725.12; nan; multi
2000-10-13; 00:00:00;      6835.26; nan; multi
2000-10-19; 00:00:00;      7175.45; nan; multi
2000-10-23; 00:00:00;      7324.82; nan; multi
2000-10-24; 00:00:00;      6964.09; nan; multi
2000-10-26; 00:00:00;      6616.08; nan; multi
2000-10-27; 00:00:00;      6433.32; nan; multi
2000-10-28; 00:00:00;      6363.49; nan; multi
2000-10-29; 00:00:00;      6291.97; nan; multi
2000-10-30; 00:00:00;      6391.24; nan; multi
2000-10-31; 00:00:00;      6365.84; nan; multi
2000-11-07; 00:00:00;      6863.62; nan; multi
2000-11-12; 00:00:00;      7360.29; nan; multi
2000-11-14; 00:00:00;      7276.96; nan; multi
2000-11-19; 00:00:00;      7218.32; nan; multi
2000-11-20; 00:00:00;      7097.35; nan; multi
2000-11-21; 00:00:00;      7081.35; nan; multi
2000-11-26; 00:00:00;      7882.60; nan; multi
