# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 NIGER
# River:                 NIGER
# Station:               ANSONGO
# Country:               MALI
# Latitude (DD):         15.67
# Longitude (DD):        0.5
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2002-07-05 - 2022-12-30
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2019-06-13 - 2022-12-23
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3838
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2002-07-05; 00:00:00;         1.15; nan; multi
2002-07-08; 00:00:00;         4.91; nan; multi
2002-07-09; 00:00:00;         6.65; nan; multi
2002-07-10; 00:00:00;        10.79; nan; multi
2002-07-11; 00:00:00;        14.32; nan; multi
2002-07-12; 00:00:00;        15.29; nan; multi
2002-07-15; 00:00:00;        42.12; nan; multi
2002-07-16; 00:00:00;        25.85; nan; multi
2002-07-21; 00:00:00;         8.95; nan; multi
2002-07-23; 00:00:00;         7.93; nan; multi
2002-08-09; 00:00:00;        28.43; nan; multi
2002-08-10; 00:00:00;       289.65; nan; multi
2002-08-11; 00:00:00;        24.66; nan; multi
2002-08-13; 00:00:00;         9.24; nan; multi
2002-08-22; 00:00:00;        96.52; nan; multi
2002-08-23; 00:00:00;       234.22; nan; multi
2002-08-24; 00:00:00;       101.42; nan; multi
2002-08-25; 00:00:00;        73.47; nan; multi
2002-09-01; 00:00:00;       122.35; nan; multi
2002-09-02; 00:00:00;        33.52; nan; multi
2002-09-03; 00:00:00;        78.33; nan; multi
2002-09-11; 00:00:00;        95.21; nan; multi
2002-09-14; 00:00:00;       162.52; nan; multi
2002-09-16; 00:00:00;        61.07; nan; multi
2002-09-17; 00:00:00;        93.60; nan; multi
