# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 NIGER
# River:                 NIGER
# Station:               IBI
# Country:               NIGERIA
# Latitude (DD):         7.7512
# Longitude (DD):        8.516
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-26 - 2022-12-30
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2019-06-13 - 2022-12-23
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2315
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-26; 00:00:00;        70.53; nan; multi
2000-03-02; 00:00:00;         1.37; nan; multi
2000-03-04; 00:00:00;         1.98; nan; multi
2000-03-06; 00:00:00;         2.72; nan; multi
2000-03-07; 00:00:00;         8.72; nan; multi
2000-03-11; 00:00:00;         7.20; nan; multi
2000-03-13; 00:00:00;        16.42; nan; multi
2000-03-14; 00:00:00;       197.02; nan; multi
2000-04-07; 00:00:00;       211.61; nan; multi
2000-04-17; 00:00:00;       118.66; nan; multi
2000-04-25; 00:00:00;       565.48; nan; multi
2000-05-18; 00:00:00;         8.52; nan; multi
2000-06-14; 00:00:00;       621.12; nan; multi
2000-06-22; 00:00:00;       443.50; nan; multi
2000-10-03; 00:00:00;      9997.02; nan; multi
2000-10-12; 00:00:00;      7878.05; nan; multi
2000-10-14; 00:00:00;      6868.14; nan; multi
2000-10-30; 00:00:00;      1452.56; nan; multi
2000-11-08; 00:00:00;      1446.88; nan; multi
2000-11-09; 00:00:00;      1759.00; nan; multi
2000-11-10; 00:00:00;      1747.35; nan; multi
2000-11-13; 00:00:00;      1395.46; nan; multi
2000-11-17; 00:00:00;      1071.95; nan; multi
2000-11-24; 00:00:00;       530.04; nan; multi
2000-11-26; 00:00:00;       407.49; nan; multi
2000-11-27; 00:00:00;       409.60; nan; multi
2000-11-29; 00:00:00;       267.01; nan; multi
2000-11-30; 00:00:00;       372.41; nan; multi
2000-12-01; 00:00:00;       221.71; nan; multi
2000-12-03; 00:00:00;       169.93; nan; multi
2000-12-05; 00:00:00;       145.59; nan; multi
2000-12-06; 00:00:00;       120.70; nan; multi
2000-12-10; 00:00:00;       111.20; nan; multi
2000-12-12; 00:00:00;       102.21; nan; multi
2000-12-13; 00:00:00;       101.11; nan; multi
2000-12-14; 00:00:00;       111.12; nan; multi
2000-12-16; 00:00:00;       130.18; nan; multi
2000-12-17; 00:00:00;       112.35; nan; multi
2000-12-20; 00:00:00;        93.85; nan; multi
2000-12-24; 00:00:00;        41.28; nan; multi
2000-12-26; 00:00:00;        31.27; nan; multi
2000-12-27; 00:00:00;        55.45; nan; multi
2000-12-28; 00:00:00;        72.54; nan; multi
2001-01-02; 00:00:00;        25.86; nan; multi
2001-01-04; 00:00:00;         9.10; nan; multi
2001-01-06; 00:00:00;         8.64; nan; multi
2001-01-09; 00:00:00;         5.09; nan; multi
2001-01-11; 00:00:00;         4.10; nan; multi
