# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 NIGER
# River:                 NIGER
# Station:               KOULIKORO
# Country:               MALI
# Latitude (DD):         12.8667
# Longitude (DD):        -7.55
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-13 - 2022-12-30
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2019-06-13 - 2022-12-23
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3909
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-13; 00:00:00;        13.04; nan; multi
2000-02-25; 00:00:00;        98.69; nan; multi
2000-02-26; 00:00:00;        66.61; nan; multi
2000-02-27; 00:00:00;       448.38; nan; multi
2000-03-03; 00:00:00;       189.97; nan; multi
2000-03-07; 00:00:00;      3033.47; nan; multi
2000-03-10; 00:00:00;       308.91; nan; multi
2000-03-11; 00:00:00;       535.13; nan; multi
2000-03-12; 00:00:00;       299.42; nan; multi
2000-03-13; 00:00:00;       187.75; nan; multi
2000-03-15; 00:00:00;        89.06; nan; multi
2000-03-16; 00:00:00;       114.16; nan; multi
2000-03-17; 00:00:00;       121.35; nan; multi
2000-03-18; 00:00:00;       127.97; nan; multi
2000-03-19; 00:00:00;        82.71; nan; multi
2000-03-20; 00:00:00;        71.25; nan; multi
2000-03-22; 00:00:00;        57.39; nan; multi
2000-03-24; 00:00:00;        42.19; nan; multi
2000-03-26; 00:00:00;        42.89; nan; multi
2000-03-27; 00:00:00;        64.22; nan; multi
2000-03-29; 00:00:00;       103.37; nan; multi
2000-03-31; 00:00:00;        46.59; nan; multi
2000-04-01; 00:00:00;        79.48; nan; multi
2000-04-04; 00:00:00;        50.91; nan; multi
2000-04-06; 00:00:00;        74.82; nan; multi
2000-04-07; 00:00:00;        69.76; nan; multi
2000-04-12; 00:00:00;       180.48; nan; multi
2000-04-13; 00:00:00;       107.88; nan; multi
2000-04-14; 00:00:00;       137.01; nan; multi
2000-04-20; 00:00:00;        61.31; nan; multi
2000-04-22; 00:00:00;        68.91; nan; multi
2000-04-23; 00:00:00;        64.30; nan; multi
2000-04-30; 00:00:00;        48.91; nan; multi
2000-05-01; 00:00:00;       126.11; nan; multi
2000-05-02; 00:00:00;        45.74; nan; multi
2000-05-03; 00:00:00;        61.31; nan; multi
2000-05-06; 00:00:00;        51.80; nan; multi
2000-05-14; 00:00:00;       764.10; nan; multi
2000-05-15; 00:00:00;       459.14; nan; multi
2000-05-16; 00:00:00;       783.29; nan; multi
2000-05-17; 00:00:00;       971.91; nan; multi
2000-06-02; 00:00:00;       717.71; nan; multi
2000-06-03; 00:00:00;       215.95; nan; multi
2000-06-05; 00:00:00;       116.36; nan; multi
2000-06-07; 00:00:00;       143.03; nan; multi
2000-06-08; 00:00:00;       150.47; nan; multi
2000-06-09; 00:00:00;       142.40; nan; multi
2000-06-14; 00:00:00;       130.03; nan; multi
2000-06-16; 00:00:00;       124.54; nan; multi
2000-06-25; 00:00:00;       307.80; nan; multi
2000-06-28; 00:00:00;       102.64; nan; multi
2000-06-30; 00:00:00;       119.23; nan; multi
2000-07-02; 00:00:00;       124.54; nan; multi
2000-07-03; 00:00:00;       205.98; nan; multi
