# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 NIGER
# River:                 NIGER
# Station:               LOKOJA
# Country:               NIGERIA
# Latitude (DD):         7.73
# Longitude (DD):        6.7667
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-24 - 2022-12-30
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2019-06-13 - 2022-12-23
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 2441
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-24; 00:00:00;      5136.33; nan; multi
2000-02-26; 00:00:00;      5691.80; nan; multi
2000-03-02; 00:00:00;      3510.93; nan; multi
2000-03-06; 00:00:00;      4980.11; nan; multi
2000-03-07; 00:00:00;      4238.66; nan; multi
2000-03-08; 00:00:00;      4212.30; nan; multi
2000-03-09; 00:00:00;      7513.67; nan; multi
2000-03-13; 00:00:00;      6242.26; nan; multi
2000-03-14; 00:00:00;      5861.71; nan; multi
2000-03-24; 00:00:00;      4288.65; nan; multi
2000-04-23; 00:00:00;      3722.26; nan; multi
2000-04-24; 00:00:00;      3654.52; nan; multi
2000-05-14; 00:00:00;     21238.27; nan; multi
2000-05-30; 00:00:00;      5744.51; nan; multi
2000-06-04; 00:00:00;      5700.94; nan; multi
2000-06-08; 00:00:00;      4943.04; nan; multi
2000-06-28; 00:00:00;      6150.27; nan; multi
2000-10-03; 00:00:00;     19703.18; nan; multi
2000-10-12; 00:00:00;     24089.05; nan; multi
2000-10-30; 00:00:00;     13727.92; nan; multi
2000-11-08; 00:00:00;      9564.23; nan; multi
2000-11-10; 00:00:00;      8412.94; nan; multi
2000-11-13; 00:00:00;      6735.66; nan; multi
2000-11-20; 00:00:00;      5016.60; nan; multi
2000-11-24; 00:00:00;      4665.46; nan; multi
2000-11-27; 00:00:00;      3882.56; nan; multi
2000-11-29; 00:00:00;      3689.63; nan; multi
2000-12-01; 00:00:00;      3377.83; nan; multi
2000-12-02; 00:00:00;      3480.29; nan; multi
2000-12-03; 00:00:00;      3369.36; nan; multi
2000-12-05; 00:00:00;      3509.25; nan; multi
2000-12-06; 00:00:00;      3316.25; nan; multi
2000-12-08; 00:00:00;      3162.39; nan; multi
2000-12-10; 00:00:00;      2935.83; nan; multi
2000-12-12; 00:00:00;      3059.74; nan; multi
2000-12-13; 00:00:00;      3040.12; nan; multi
2000-12-14; 00:00:00;      3246.82; nan; multi
2000-12-17; 00:00:00;      3317.25; nan; multi
2000-12-20; 00:00:00;      3158.10; nan; multi
2000-12-22; 00:00:00;      2887.73; nan; multi
2000-12-24; 00:00:00;      2864.25; nan; multi
2000-12-26; 00:00:00;      2843.34; nan; multi
2000-12-28; 00:00:00;      2902.35; nan; multi
2001-01-02; 00:00:00;      2838.94; nan; multi
2001-01-03; 00:00:00;      2805.93; nan; multi
2001-01-04; 00:00:00;      2961.23; nan; multi
2001-01-08; 00:00:00;      3854.87; nan; multi
2001-01-09; 00:00:00;      4506.22; nan; multi
2001-01-11; 00:00:00;      4703.96; nan; multi
2001-01-12; 00:00:00;      4543.27; nan; multi
2001-01-13; 00:00:00;      4306.63; nan; multi
2001-01-19; 00:00:00;      3728.99; nan; multi
2001-01-20; 00:00:00;      3504.23; nan; multi
2001-01-22; 00:00:00;      3463.60; nan; multi
2001-01-24; 00:00:00;      3565.12; nan; multi
2001-01-29; 00:00:00;      3337.70; nan; multi
2001-02-01; 00:00:00;      3157.35; nan; multi
2001-02-04; 00:00:00;      3168.88; nan; multi
2001-02-13; 00:00:00;      4223.45; nan; multi
2001-02-14; 00:00:00;      3762.54; nan; multi
2001-02-22; 00:00:00;      3289.99; nan; multi
2001-02-24; 00:00:00;      3446.91; nan; multi
2001-02-26; 00:00:00;      3296.98; nan; multi
2001-03-03; 00:00:00;      2946.97; nan; multi
2001-03-19; 00:00:00;      3062.50; nan; multi
2001-04-19; 00:00:00;      3035.56; nan; multi
2001-05-10; 00:00:00;      3144.36; nan; multi
2001-07-13; 00:00:00;     10243.23; nan; multi
2001-10-11; 00:00:00;     20238.38; nan; multi
2001-11-04; 00:00:00;      7767.60; nan; multi
2001-11-09; 00:00:00;      6331.79; nan; multi
2001-11-11; 00:00:00;      6708.94; nan; multi
2001-11-16; 00:00:00;      5952.82; nan; multi
2001-11-18; 00:00:00;      4930.91; nan; multi
2001-11-20; 00:00:00;      4380.62; nan; multi
2001-11-21; 00:00:00;      4168.06; nan; multi
2001-11-22; 00:00:00;      4228.08; nan; multi
2001-11-25; 00:00:00;      3881.35; nan; multi
2001-11-27; 00:00:00;      3762.44; nan; multi
2001-11-29; 00:00:00;      3567.38; nan; multi
2001-12-04; 00:00:00;      3289.47; nan; multi
2001-12-05; 00:00:00;      3555.87; nan; multi
2001-12-06; 00:00:00;      3397.77; nan; multi
2001-12-07; 00:00:00;      3310.87; nan; multi
2001-12-08; 00:00:00;      3380.95; nan; multi
2001-12-09; 00:00:00;      3317.61; nan; multi
2001-12-10; 00:00:00;      3358.79; nan; multi
2001-12-11; 00:00:00;      3269.45; nan; multi
2001-12-15; 00:00:00;      3239.34; nan; multi
2001-12-18; 00:00:00;      3024.88; nan; multi
2001-12-20; 00:00:00;      2847.67; nan; multi
2001-12-22; 00:00:00;      2895.30; nan; multi
2001-12-23; 00:00:00;      2884.61; nan; multi
2001-12-24; 00:00:00;      2944.18; nan; multi
2001-12-25; 00:00:00;      2898.60; nan; multi
2001-12-27; 00:00:00;      2900.57; nan; multi
2001-12-30; 00:00:00;      2902.53; nan; multi
2001-12-31; 00:00:00;      2968.52; nan; multi
2002-01-01; 00:00:00;      2882.63; nan; multi
2002-01-02; 00:00:00;      3114.61; nan; multi
2002-01-05; 00:00:00;      3014.87; nan; multi
2002-01-14; 00:00:00;      2769.47; nan; multi
2002-01-16; 00:00:00;      2681.26; nan; multi
2002-01-17; 00:00:00;      2692.75; nan; multi
2002-01-23; 00:00:00;      3005.22; nan; multi
2002-01-27; 00:00:00;      4052.51; nan; multi
2002-01-28; 00:00:00;      3544.10; nan; multi
2002-02-01; 00:00:00;      3566.39; nan; multi
2002-02-02; 00:00:00;      3261.55; nan; multi
2002-02-03; 00:00:00;      3725.74; nan; multi
2002-02-04; 00:00:00;      4087.14; nan; multi
2002-02-06; 00:00:00;      3715.14; nan; multi
2002-02-08; 00:00:00;      3625.92; nan; multi
2002-02-09; 00:00:00;      3385.57; nan; multi
2002-02-15; 00:00:00;      3294.60; nan; multi
2002-02-16; 00:00:00;      3205.47; nan; multi
2002-02-17; 00:00:00;      3294.19; nan; multi
2002-02-18; 00:00:00;      3133.40; nan; multi
2002-02-20; 00:00:00;      3080.18; nan; multi
2002-04-18; 00:00:00;      1460.06; nan; multi
2002-05-20; 00:00:00;      2727.09; nan; multi
2002-05-23; 00:00:00;      2920.28; nan; multi
2002-05-30; 00:00:00;      3752.26; nan; multi
2002-06-12; 00:00:00;      4195.59; nan; multi
2002-07-07; 00:00:00;      4388.23; nan; multi
2002-07-09; 00:00:00;      5396.11; nan; multi
2002-08-08; 00:00:00;      5188.42; nan; multi
2002-08-17; 00:00:00;      4012.69; nan; multi
2002-09-02; 00:00:00;     10445.76; nan; multi
2002-09-03; 00:00:00;     11090.85; nan; multi
2002-09-23; 00:00:00;      8641.59; nan; multi
2002-09-25; 00:00:00;      9464.13; nan; multi
2002-09-29; 00:00:00;      9839.11; nan; multi
2002-09-30; 00:00:00;     11487.34; nan; multi
2002-10-11; 00:00:00;     13302.04; nan; multi
2002-10-20; 00:00:00;     14493.80; nan; multi
2002-10-22; 00:00:00;     15181.66; nan; multi
2002-10-27; 00:00:00;     12996.34; nan; multi
2002-11-01; 00:00:00;     13838.22; nan; multi
2002-11-06; 00:00:00;     13919.34; nan; multi
2002-11-07; 00:00:00;     13336.60; nan; multi
2002-11-12; 00:00:00;     10695.23; nan; multi
2002-11-16; 00:00:00;      8557.62; nan; multi
2002-11-17; 00:00:00;      7670.29; nan; multi
2002-11-19; 00:00:00;      6536.42; nan; multi
2002-11-21; 00:00:00;      6100.82; nan; multi
2002-11-22; 00:00:00;      5755.41; nan; multi
2002-11-23; 00:00:00;      5360.07; nan; multi
2002-11-24; 00:00:00;      5078.26; nan; multi
2002-11-26; 00:00:00;      4693.61; nan; multi
2002-11-27; 00:00:00;      4599.60; nan; multi
2002-11-28; 00:00:00;      4423.42; nan; multi
2002-11-30; 00:00:00;      4176.34; nan; multi
2002-12-03; 00:00:00;      3761.59; nan; multi
2002-12-04; 00:00:00;      3974.49; nan; multi
2002-12-09; 00:00:00;      3391.11; nan; multi
2002-12-12; 00:00:00;      3040.79; nan; multi
2002-12-14; 00:00:00;      2857.34; nan; multi
2002-12-16; 00:00:00;      2763.71; nan; multi
2002-12-17; 00:00:00;      2802.81; nan; multi
2002-12-18; 00:00:00;      2661.05; nan; multi
2002-12-19; 00:00:00;      2647.92; nan; multi
2002-12-21; 00:00:00;      2545.37; nan; multi
2002-12-23; 00:00:00;      2598.74; nan; multi
2002-12-24; 00:00:00;      2731.69; nan; multi
2002-12-25; 00:00:00;      2620.11; nan; multi
2002-12-26; 00:00:00;      2614.12; nan; multi
2002-12-27; 00:00:00;      2604.16; nan; multi
2002-12-28; 00:00:00;      2528.95; nan; multi
2002-12-29; 00:00:00;      2508.45; nan; multi
2002-12-30; 00:00:00;      2410.26; nan; multi
2003-01-01; 00:00:00;      2342.00; nan; multi
2003-01-02; 00:00:00;      2390.30; nan; multi
2003-01-03; 00:00:00;      2250.05; nan; multi
2003-01-04; 00:00:00;      2274.13; nan; multi
2003-01-06; 00:00:00;      2223.98; nan; multi
2003-01-08; 00:00:00;      2201.13; nan; multi
2003-01-09; 00:00:00;      2084.85; nan; multi
2003-01-10; 00:00:00;      2038.63; nan; multi
