# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 NIGER
# River:                 NIGER
# Station:               MALANVILLE
# Country:               BENIN
# Latitude (DD):         11.888
# Longitude (DD):        3.3759
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2013-04-29 - 2022-12-29
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2002-01-19 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 422
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2013-04-29; 00:00:00;      1111.30; nan; multi
2013-05-15; 00:00:00;        10.67; nan; multi
2013-05-31; 00:00:00;        87.49; nan; multi
2013-06-16; 00:00:00;       154.49; nan; multi
2013-08-03; 00:00:00;      1599.92; nan; multi
2013-09-04; 00:00:00;      2222.21; nan; multi
2013-10-06; 00:00:00;      1542.25; nan; multi
2013-10-22; 00:00:00;      1070.52; nan; multi
2013-11-07; 00:00:00;       166.61; nan; multi
2013-11-23; 00:00:00;       287.50; nan; multi
2013-12-09; 00:00:00;       403.89; nan; multi
2013-12-25; 00:00:00;      1039.51; nan; multi
2014-01-10; 00:00:00;       920.68; nan; multi
2014-02-11; 00:00:00;       222.64; nan; multi
2014-02-27; 00:00:00;       422.36; nan; multi
2014-03-15; 00:00:00;       134.42; nan; multi
2014-05-02; 00:00:00;      1199.43; nan; multi
2014-05-18; 00:00:00;       112.92; nan; multi
2014-06-03; 00:00:00;      1200.00; nan; multi
2014-06-19; 00:00:00;       858.06; nan; multi
2014-07-05; 00:00:00;      1223.64; nan; multi
2014-07-21; 00:00:00;      2669.64; nan; multi
2014-09-07; 00:00:00;      1681.28; nan; multi
2014-09-23; 00:00:00;      1560.00; nan; multi
2014-10-09; 00:00:00;      1389.91; nan; multi
2014-10-25; 00:00:00;       759.85; nan; multi
2014-11-10; 00:00:00;       255.51; nan; multi
2014-12-12; 00:00:00;      1210.19; nan; multi
2014-12-28; 00:00:00;      1051.40; nan; multi
2015-01-29; 00:00:00;      1080.47; nan; multi
2015-02-14; 00:00:00;      1059.64; nan; multi
2015-04-03; 00:00:00;        69.37; nan; multi
2015-04-19; 00:00:00;      1450.00; nan; multi
2015-05-21; 00:00:00;       183.35; nan; multi
2015-06-06; 00:00:00;       569.57; nan; multi
2015-06-22; 00:00:00;       616.19; nan; multi
2015-07-08; 00:00:00;      1209.95; nan; multi
2015-07-24; 00:00:00;      1700.00; nan; multi
2015-08-25; 00:00:00;      1882.65; nan; multi
2015-09-10; 00:00:00;      2510.58; nan; multi
2015-09-26; 00:00:00;      2187.01; nan; multi
2015-10-12; 00:00:00;      1590.00; nan; multi
2015-10-28; 00:00:00;      1169.45; nan; multi
2015-11-13; 00:00:00;       404.29; nan; multi
2015-11-29; 00:00:00;       223.48; nan; multi
2015-12-31; 00:00:00;      1480.00; nan; multi
2016-01-10; 00:00:00;      1630.00; nan; multi
2016-01-16; 00:00:00;      1470.19; nan; multi
2016-01-20; 00:00:00;      1629.94; nan; multi
2016-01-30; 00:00:00;      2089.99; nan; multi
2016-02-01; 00:00:00;      2309.60; nan; multi
2016-02-17; 00:00:00;      1570.00; nan; multi
2016-02-19; 00:00:00;      1560.00; nan; multi
2016-03-04; 00:00:00;      1599.45; nan; multi
2016-03-20; 00:00:00;       125.51; nan; multi
2016-04-19; 00:00:00;      1490.32; nan; multi
2016-04-21; 00:00:00;      1372.06; nan; multi
2016-04-29; 00:00:00;       218.66; nan; multi
2016-05-07; 00:00:00;      2356.48; nan; multi
2016-06-08; 00:00:00;      1069.67; nan; multi
2016-07-08; 00:00:00;      1821.84; nan; multi
2016-07-18; 00:00:00;      1816.09; nan; multi
2016-07-26; 00:00:00;      1520.00; nan; multi
2016-07-28; 00:00:00;      1430.00; nan; multi
2016-09-06; 00:00:00;      2070.75; nan; multi
2016-09-12; 00:00:00;      2134.41; nan; multi
2016-09-16; 00:00:00;      2090.15; nan; multi
2016-09-28; 00:00:00;      2088.93; nan; multi
2016-10-06; 00:00:00;      2177.71; nan; multi
2016-10-14; 00:00:00;      1888.53; nan; multi
2016-10-16; 00:00:00;      1875.35; nan; multi
2016-10-26; 00:00:00;      1830.00; nan; multi
2016-10-30; 00:00:00;      1660.14; nan; multi
2016-11-05; 00:00:00;      1829.97; nan; multi
2016-11-15; 00:00:00;      1670.00; nan; multi
2016-11-25; 00:00:00;      1770.01; nan; multi
2016-12-01; 00:00:00;      1550.00; nan; multi
2016-12-05; 00:00:00;      1651.19; nan; multi
2016-12-17; 00:00:00;      1410.26; nan; multi
2016-12-25; 00:00:00;      1750.00; nan; multi
2017-01-02; 00:00:00;      1590.00; nan; multi
2017-01-04; 00:00:00;      1600.00; nan; multi
2017-01-14; 00:00:00;      1651.22; nan; multi
2017-01-18; 00:00:00;      1529.27; nan; multi
2017-02-03; 00:00:00;      1948.87; nan; multi
2017-02-13; 00:00:00;      1791.10; nan; multi
2017-02-19; 00:00:00;      1550.00; nan; multi
2017-02-23; 00:00:00;      1570.00; nan; multi
2017-03-05; 00:00:00;      1510.00; nan; multi
2017-03-07; 00:00:00;      1470.00; nan; multi
2017-03-15; 00:00:00;      1017.21; nan; multi
2017-03-23; 00:00:00;       367.10; nan; multi
2017-03-25; 00:00:00;       292.41; nan; multi
2017-04-24; 00:00:00;       280.65; nan; multi
2017-05-10; 00:00:00;       173.25; nan; multi
2017-05-14; 00:00:00;       148.47; nan; multi
2017-06-23; 00:00:00;      1609.15; nan; multi
2017-06-27; 00:00:00;      1218.07; nan; multi
2017-07-03; 00:00:00;      1490.00; nan; multi
2017-07-28; 00:00:00;        55.91; nan; multi
2017-09-15; 00:00:00;      2288.68; nan; multi
2017-09-21; 00:00:00;      1970.76; nan; multi
2017-10-01; 00:00:00;      1909.76; nan; multi
2017-10-06; 00:00:00;      1831.62; nan; multi
2017-10-11; 00:00:00;      1838.66; nan; multi
2017-10-16; 00:00:00;      1758.89; nan; multi
2017-10-17; 00:00:00;      1710.00; nan; multi
2017-10-21; 00:00:00;      1719.13; nan; multi
