# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 NIGER
# River:                 NIGER
# Station:               NIAMEY
# Country:               NIGER
# Latitude (DD):         13.522
# Longitude (DD):        2.0347
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-03 - 2023-09-28
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2019-06-13 - 2022-12-23
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4975
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-03; 00:00:00;      1494.82; nan; multi
2000-02-04; 00:00:00;      1740.22; nan; multi
2000-02-25; 00:00:00;      1798.38; nan; multi
2000-03-04; 00:00:00;      1146.81; nan; multi
2000-03-05; 00:00:00;       830.94; nan; multi
2000-03-06; 00:00:00;       625.88; nan; multi
2000-03-07; 00:00:00;       717.88; nan; multi
2000-03-10; 00:00:00;       559.16; nan; multi
2000-03-13; 00:00:00;       298.32; nan; multi
2000-03-14; 00:00:00;       294.14; nan; multi
2000-03-16; 00:00:00;       236.29; nan; multi
2000-03-21; 00:00:00;       747.06; nan; multi
2000-03-22; 00:00:00;       996.63; nan; multi
2000-03-23; 00:00:00;      1110.04; nan; multi
2000-03-25; 00:00:00;      1136.62; nan; multi
2000-04-01; 00:00:00;       451.47; nan; multi
2000-04-03; 00:00:00;       323.47; nan; multi
2000-04-05; 00:00:00;       399.43; nan; multi
2000-04-07; 00:00:00;       525.90; nan; multi
2000-04-08; 00:00:00;       705.42; nan; multi
2000-04-10; 00:00:00;       678.85; nan; multi
2000-04-14; 00:00:00;       309.35; nan; multi
2000-04-17; 00:00:00;       213.63; nan; multi
2000-04-18; 00:00:00;       159.47; nan; multi
