# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 OB
# River:                 OB
# Station:               SALEKHARD
# Country:               RUSSIA
# Latitude (DD):         66.5805
# Longitude (DD):        66.5232
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-06-14 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - copula regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2002-11-24 - 2017-12-10
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 920
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-06-14; 00:00:00;     32314.22; nan; multi
2000-06-16; 00:00:00;     32076.11; nan; multi
2000-06-22; 00:00:00;     30690.60; nan; multi
2000-06-24; 00:00:00;     30068.34; nan; multi
2000-06-28; 00:00:00;     30326.49; nan; multi
2000-07-01; 00:00:00;     30390.70; nan; multi
2000-07-02; 00:00:00;     30362.92; nan; multi
2000-07-03; 00:00:00;     30062.41; nan; multi
2000-07-04; 00:00:00;     29666.29; nan; multi
2000-07-05; 00:00:00;     28986.26; nan; multi
2000-07-07; 00:00:00;     27914.59; nan; multi
2000-07-08; 00:00:00;     26972.69; nan; multi
2000-07-09; 00:00:00;     25585.44; nan; multi
2000-07-10; 00:00:00;     24300.87; nan; multi
2000-07-12; 00:00:00;     23779.73; nan; multi
2000-07-13; 00:00:00;     23442.29; nan; multi
2000-07-14; 00:00:00;     23031.39; nan; multi
2000-07-16; 00:00:00;     23002.80; nan; multi
2000-07-17; 00:00:00;     22865.53; nan; multi
2000-07-18; 00:00:00;     24776.87; nan; multi
2000-07-19; 00:00:00;     24104.09; nan; multi
2000-07-20; 00:00:00;     23601.62; nan; multi
2000-07-21; 00:00:00;     23096.49; nan; multi
2000-07-22; 00:00:00;     22705.45; nan; multi
2000-07-24; 00:00:00;     21694.06; nan; multi
2000-07-28; 00:00:00;     20704.98; nan; multi
2000-08-10; 00:00:00;     15095.81; nan; multi
2000-08-23; 00:00:00;     13067.72; nan; multi
2000-09-04; 00:00:00;     11737.69; nan; multi
2000-09-06; 00:00:00;     11572.04; nan; multi
2000-09-10; 00:00:00;     11902.59; nan; multi
2000-09-13; 00:00:00;     11405.17; nan; multi
2000-09-14; 00:00:00;     11220.76; nan; multi
2000-09-19; 00:00:00;     11250.16; nan; multi
2000-09-20; 00:00:00;     11274.87; nan; multi
2001-06-10; 00:00:00;     34802.87; nan; multi
2001-06-11; 00:00:00;     34859.02; nan; multi
2001-07-11; 00:00:00;     28033.29; nan; multi
2001-07-12; 00:00:00;     28771.34; nan; multi
2001-07-13; 00:00:00;     29675.65; nan; multi
2001-07-14; 00:00:00;     29760.31; nan; multi
2001-07-16; 00:00:00;     29635.65; nan; multi
2001-07-17; 00:00:00;     29169.38; nan; multi
2001-07-23; 00:00:00;     28299.10; nan; multi
2001-07-28; 00:00:00;     26558.56; nan; multi
2001-08-08; 00:00:00;     23990.64; nan; multi
2001-08-09; 00:00:00;     22157.55; nan; multi
2001-08-10; 00:00:00;     22425.80; nan; multi
2001-08-12; 00:00:00;     21542.47; nan; multi
2001-08-14; 00:00:00;     21850.41; nan; multi
2001-09-01; 00:00:00;     17816.94; nan; multi
2001-09-04; 00:00:00;     19723.30; nan; multi
2001-09-05; 00:00:00;     16890.36; nan; multi
2001-09-06; 00:00:00;     15663.84; nan; multi
2001-09-07; 00:00:00;     14909.33; nan; multi
2001-09-15; 00:00:00;     14010.14; nan; multi
2001-09-16; 00:00:00;     14924.57; nan; multi
2001-09-17; 00:00:00;     14404.31; nan; multi
2001-09-23; 00:00:00;     14106.41; nan; multi
2002-06-09; 00:00:00;     32139.98; nan; multi
2002-06-20; 00:00:00;     35764.06; nan; multi
2002-06-23; 00:00:00;     34304.38; nan; multi
2002-06-30; 00:00:00;     33957.84; nan; multi
2002-07-01; 00:00:00;     34629.62; nan; multi
2002-07-02; 00:00:00;     33575.50; nan; multi
2002-07-03; 00:00:00;     33059.25; nan; multi
2002-07-04; 00:00:00;     32796.32; nan; multi
2002-07-06; 00:00:00;     33138.30; nan; multi
2002-07-08; 00:00:00;     33544.56; nan; multi
2002-07-15; 00:00:00;     33337.57; nan; multi
2002-07-22; 00:00:00;     33207.26; nan; multi
2002-07-28; 00:00:00;     34541.12; nan; multi
2002-07-29; 00:00:00;     32979.32; nan; multi
2002-08-30; 00:00:00;     32793.45; nan; multi
2002-09-17; 00:00:00;     31901.51; nan; multi
2002-09-28; 00:00:00;     26538.07; nan; multi
2002-09-29; 00:00:00;     27126.79; nan; multi
2002-10-02; 00:00:00;     26379.63; nan; multi
2003-06-13; 00:00:00;     35835.23; nan; multi
2003-06-14; 00:00:00;     35566.80; nan; multi
2003-06-19; 00:00:00;     35381.63; nan; multi
2003-06-20; 00:00:00;     35182.71; nan; multi
2003-06-21; 00:00:00;     35011.45; nan; multi
2003-06-22; 00:00:00;     34935.26; nan; multi
2003-06-24; 00:00:00;     35077.76; nan; multi
2003-06-28; 00:00:00;     34912.86; nan; multi
2003-07-01; 00:00:00;     33724.48; nan; multi
2003-07-02; 00:00:00;     32977.90; nan; multi
2003-07-03; 00:00:00;     32837.65; nan; multi
2003-07-04; 00:00:00;     32472.03; nan; multi
2003-07-09; 00:00:00;     31964.75; nan; multi
2003-07-10; 00:00:00;     31410.45; nan; multi
2003-07-11; 00:00:00;     30978.73; nan; multi
2003-07-12; 00:00:00;     30790.76; nan; multi
2003-07-16; 00:00:00;     30000.08; nan; multi
2003-07-22; 00:00:00;     28734.13; nan; multi
2003-07-23; 00:00:00;     28120.84; nan; multi
2003-07-24; 00:00:00;     27414.63; nan; multi
2003-07-25; 00:00:00;     26614.15; nan; multi
2003-07-27; 00:00:00;     28608.09; nan; multi
2003-07-29; 00:00:00;     29095.85; nan; multi
2003-07-30; 00:00:00;     28902.97; nan; multi
2003-08-01; 00:00:00;     28508.92; nan; multi
2003-08-03; 00:00:00;     27643.06; nan; multi
2003-08-04; 00:00:00;     26530.87; nan; multi
2003-08-11; 00:00:00;     27034.34; nan; multi
2003-08-12; 00:00:00;     27634.16; nan; multi
2003-08-14; 00:00:00;     25387.68; nan; multi
2003-08-19; 00:00:00;     22339.81; nan; multi
2003-08-22; 00:00:00;     19625.90; nan; multi
2003-08-24; 00:00:00;     17989.25; nan; multi
2003-08-25; 00:00:00;     16732.42; nan; multi
2003-08-26; 00:00:00;     15404.07; nan; multi
2003-08-28; 00:00:00;     14710.57; nan; multi
2003-09-23; 00:00:00;     12824.27; nan; multi
2003-09-26; 00:00:00;     12579.49; nan; multi
2003-09-27; 00:00:00;     12265.55; nan; multi
2004-06-07; 00:00:00;     34648.56; nan; multi
2004-06-16; 00:00:00;     34144.03; nan; multi
2004-06-18; 00:00:00;     34485.29; nan; multi
2004-06-19; 00:00:00;     34290.58; nan; multi
2004-06-23; 00:00:00;     33631.82; nan; multi
2004-06-24; 00:00:00;     33383.62; nan; multi
2004-06-25; 00:00:00;     33337.64; nan; multi
2004-06-26; 00:00:00;     33318.51; nan; multi
2004-06-27; 00:00:00;     33191.76; nan; multi
2004-06-28; 00:00:00;     33133.19; nan; multi
2004-06-30; 00:00:00;     32665.03; nan; multi
2004-07-02; 00:00:00;     32477.79; nan; multi
2004-07-03; 00:00:00;     32239.92; nan; multi
