# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 PO
# River:                 PO
# Station:               BORGOFORTE
# Country:               ITALY
# Latitude (DD):         45.0449
# Longitude (DD):        10.7554
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-07 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Agenzia Interregionale del Fiume Po (AIPo)
# Calibration period:    2008-09-11 - 2021-12-23
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4101
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-07; 00:00:00;      1749.22; nan; multi
2000-01-03; 00:00:00;       302.14; nan; multi
2000-01-19; 00:00:00;       526.36; nan; multi
2000-01-20; 00:00:00;       547.60; nan; multi
2000-01-27; 00:00:00;       543.09; nan; multi
2000-01-28; 00:00:00;       530.30; nan; multi
2000-02-13; 00:00:00;       210.96; nan; multi
2000-03-02; 00:00:00;       589.46; nan; multi
2000-03-08; 00:00:00;       791.40; nan; multi
2000-03-09; 00:00:00;       772.40; nan; multi
2000-03-15; 00:00:00;       663.93; nan; multi
2000-03-16; 00:00:00;       631.02; nan; multi
2000-03-21; 00:00:00;       646.00; nan; multi
2000-03-23; 00:00:00;       604.99; nan; multi
2000-03-30; 00:00:00;       804.50; nan; multi
2000-04-05; 00:00:00;      1314.89; nan; multi
2000-04-07; 00:00:00;      1241.45; nan; multi
2000-04-08; 00:00:00;      1210.66; nan; multi
2000-04-20; 00:00:00;      1649.03; nan; multi
2000-04-22; 00:00:00;      1415.21; nan; multi
2000-04-24; 00:00:00;      1469.51; nan; multi
2000-04-25; 00:00:00;      1609.58; nan; multi
2000-05-01; 00:00:00;      1639.40; nan; multi
2000-05-04; 00:00:00;      1836.98; nan; multi
2000-05-05; 00:00:00;      1852.33; nan; multi
2000-05-12; 00:00:00;      3422.02; nan; multi
2000-05-14; 00:00:00;      3206.67; nan; multi
2000-05-15; 00:00:00;      2921.86; nan; multi
2000-05-17; 00:00:00;      2692.43; nan; multi
2000-05-18; 00:00:00;      2553.33; nan; multi
2000-05-19; 00:00:00;      2470.28; nan; multi
2000-05-21; 00:00:00;      2338.97; nan; multi
2000-05-25; 00:00:00;      2116.72; nan; multi
2000-05-26; 00:00:00;      1927.40; nan; multi
2000-06-02; 00:00:00;      1512.54; nan; multi
2000-06-03; 00:00:00;      1298.12; nan; multi
2000-06-04; 00:00:00;      1152.34; nan; multi
2000-06-05; 00:00:00;      1052.47; nan; multi
2000-06-08; 00:00:00;      1027.38; nan; multi
2000-06-09; 00:00:00;      1041.97; nan; multi
2000-06-10; 00:00:00;      1210.17; nan; multi
2000-06-15; 00:00:00;      1629.09; nan; multi
2000-06-16; 00:00:00;      1617.90; nan; multi
2000-06-18; 00:00:00;      1910.41; nan; multi
2000-06-19; 00:00:00;      1970.68; nan; multi
2000-06-20; 00:00:00;      1919.58; nan; multi
2000-06-21; 00:00:00;      1826.12; nan; multi
2000-06-22; 00:00:00;      1706.71; nan; multi
2000-06-23; 00:00:00;      1569.00; nan; multi
2000-06-25; 00:00:00;      1529.61; nan; multi
2000-06-27; 00:00:00;      1374.53; nan; multi
2000-06-30; 00:00:00;      1207.00; nan; multi
2000-07-04; 00:00:00;      1012.74; nan; multi
2000-07-05; 00:00:00;       916.64; nan; multi
2000-07-06; 00:00:00;       844.97; nan; multi
2000-07-07; 00:00:00;       790.52; nan; multi
2000-07-08; 00:00:00;       752.48; nan; multi
2000-07-10; 00:00:00;       734.70; nan; multi
2000-07-13; 00:00:00;       673.16; nan; multi
2000-07-16; 00:00:00;       762.72; nan; multi
2000-07-17; 00:00:00;       764.88; nan; multi
2000-07-18; 00:00:00;       738.08; nan; multi
2000-07-19; 00:00:00;       821.58; nan; multi
2000-07-21; 00:00:00;       797.10; nan; multi
2000-07-22; 00:00:00;       753.61; nan; multi
2000-07-23; 00:00:00;       715.30; nan; multi
2000-07-25; 00:00:00;       631.07; nan; multi
2000-07-26; 00:00:00;       643.11; nan; multi
2000-07-27; 00:00:00;       668.39; nan; multi
2000-07-29; 00:00:00;       748.08; nan; multi
2000-07-30; 00:00:00;       780.82; nan; multi
2000-07-31; 00:00:00;       831.68; nan; multi
2000-08-01; 00:00:00;       879.55; nan; multi
2000-08-02; 00:00:00;       901.08; nan; multi
2000-08-07; 00:00:00;      1463.88; nan; multi
2000-08-14; 00:00:00;       945.13; nan; multi
2000-08-19; 00:00:00;       744.82; nan; multi
2000-08-20; 00:00:00;       690.08; nan; multi
2000-08-21; 00:00:00;       657.98; nan; multi
2000-08-22; 00:00:00;       634.53; nan; multi
2000-08-23; 00:00:00;       617.39; nan; multi
2000-08-24; 00:00:00;       624.02; nan; multi
2000-08-25; 00:00:00;       612.78; nan; multi
2000-08-26; 00:00:00;       596.06; nan; multi
2000-08-27; 00:00:00;       596.45; nan; multi
2000-08-28; 00:00:00;       626.60; nan; multi
2000-09-01; 00:00:00;       842.04; nan; multi
2000-09-02; 00:00:00;       859.16; nan; multi
2000-09-05; 00:00:00;       863.05; nan; multi
2000-09-06; 00:00:00;       787.02; nan; multi
2000-09-08; 00:00:00;       736.78; nan; multi
2000-09-09; 00:00:00;       698.14; nan; multi
2000-09-10; 00:00:00;       708.65; nan; multi
2000-09-11; 00:00:00;       688.70; nan; multi
2000-09-12; 00:00:00;       676.01; nan; multi
2000-09-15; 00:00:00;       622.65; nan; multi
2000-09-17; 00:00:00;       592.26; nan; multi
2000-09-19; 00:00:00;       651.42; nan; multi
2000-09-22; 00:00:00;       817.23; nan; multi
2000-09-23; 00:00:00;      1253.25; nan; multi
2000-10-05; 00:00:00;      2857.94; nan; multi
2000-10-18; 00:00:00;      1419.34; nan; multi
2000-10-22; 00:00:00;      2393.25; nan; multi
2000-11-01; 00:00:00;      3445.84; nan; multi
2000-11-19; 00:00:00;      1735.02; nan; multi
2000-11-29; 00:00:00;      2691.53; nan; multi
2000-12-16; 00:00:00;      2984.26; nan; multi
2000-12-17; 00:00:00;      2729.67; nan; multi
2000-12-18; 00:00:00;      2603.78; nan; multi
2000-12-22; 00:00:00;      2418.86; nan; multi
2000-12-28; 00:00:00;      2030.70; nan; multi
2001-01-09; 00:00:00;      1963.16; nan; multi
2001-01-13; 00:00:00;      1969.50; nan; multi
2001-01-14; 00:00:00;      1988.28; nan; multi
2001-01-15; 00:00:00;      1821.53; nan; multi
2001-01-16; 00:00:00;      1740.57; nan; multi
2001-01-21; 00:00:00;      1675.10; nan; multi
2001-01-22; 00:00:00;      1643.16; nan; multi
2001-02-01; 00:00:00;      2285.85; nan; multi
2001-02-02; 00:00:00;      2094.20; nan; multi
2001-02-11; 00:00:00;      2370.37; nan; multi
2001-02-12; 00:00:00;      2218.25; nan; multi
2001-02-13; 00:00:00;      2023.72; nan; multi
2001-02-14; 00:00:00;      1961.45; nan; multi
2001-02-15; 00:00:00;      1850.87; nan; multi
2001-02-16; 00:00:00;      1794.04; nan; multi
2001-02-17; 00:00:00;      1734.45; nan; multi
2001-02-18; 00:00:00;      1662.76; nan; multi
2001-02-22; 00:00:00;      1619.63; nan; multi
2001-03-14; 00:00:00;      1575.99; nan; multi
2001-03-15; 00:00:00;      1817.89; nan; multi
2001-03-18; 00:00:00;      2202.21; nan; multi
2001-03-19; 00:00:00;      2405.89; nan; multi
2001-03-22; 00:00:00;      2621.39; nan; multi
2001-03-31; 00:00:00;      2756.98; nan; multi
2001-04-01; 00:00:00;      2607.07; nan; multi
2001-04-02; 00:00:00;      2653.41; nan; multi
2001-04-04; 00:00:00;      2499.52; nan; multi
2001-04-05; 00:00:00;      2501.44; nan; multi
2001-04-08; 00:00:00;      2246.36; nan; multi
2001-04-09; 00:00:00;      2278.33; nan; multi
