# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 PO
# River:                 PO
# Station:               PIACENZA
# Country:               ITALY
# Latitude (DD):         45.06
# Longitude (DD):        9.7051
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           1999-10-07 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany / Agenzia Interregionale del Fiume Po (AIPo)
# Calibration period:    2004-04-23 - 2021-12-19
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4156
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
1999-10-07; 00:00:00;      1013.33; nan; multi
1999-12-17; 00:00:00;       441.21; nan; multi
2000-01-19; 00:00:00;       125.29; nan; multi
2000-01-27; 00:00:00;       342.73; nan; multi
2000-02-20; 00:00:00;       215.70; nan; multi
2000-03-02; 00:00:00;       712.67; nan; multi
2000-03-08; 00:00:00;       486.63; nan; multi
2000-03-09; 00:00:00;       411.93; nan; multi
2000-03-10; 00:00:00;       390.98; nan; multi
2000-03-14; 00:00:00;       422.00; nan; multi
2000-03-16; 00:00:00;       484.12; nan; multi
2000-03-21; 00:00:00;       488.66; nan; multi
2000-03-23; 00:00:00;       455.29; nan; multi
2000-03-30; 00:00:00;       511.45; nan; multi
2000-03-31; 00:00:00;       569.17; nan; multi
2000-04-05; 00:00:00;       650.41; nan; multi
2000-04-08; 00:00:00;       530.84; nan; multi
2000-04-12; 00:00:00;       507.10; nan; multi
2000-04-20; 00:00:00;       797.51; nan; multi
2000-04-21; 00:00:00;       645.90; nan; multi
2000-04-22; 00:00:00;       830.74; nan; multi
2000-04-24; 00:00:00;       792.87; nan; multi
2000-04-25; 00:00:00;       720.82; nan; multi
2000-05-01; 00:00:00;      1173.82; nan; multi
2000-05-03; 00:00:00;      1496.91; nan; multi
2000-05-12; 00:00:00;      1535.39; nan; multi
2000-05-14; 00:00:00;      1285.16; nan; multi
2000-05-15; 00:00:00;      1136.01; nan; multi
2000-05-16; 00:00:00;      1072.67; nan; multi
2000-05-17; 00:00:00;      1296.66; nan; multi
2000-05-18; 00:00:00;      1473.47; nan; multi
2000-05-19; 00:00:00;      1652.02; nan; multi
2000-05-22; 00:00:00;      1557.74; nan; multi
2000-05-25; 00:00:00;      1442.74; nan; multi
2000-05-26; 00:00:00;      1359.14; nan; multi
2000-06-02; 00:00:00;      1097.46; nan; multi
2000-06-03; 00:00:00;       918.84; nan; multi
2000-06-05; 00:00:00;       801.90; nan; multi
2000-06-09; 00:00:00;      1086.77; nan; multi
2000-06-16; 00:00:00;      1055.15; nan; multi
2000-06-17; 00:00:00;       886.19; nan; multi
2000-06-18; 00:00:00;       885.33; nan; multi
2000-06-19; 00:00:00;       803.62; nan; multi
2000-06-20; 00:00:00;       852.03; nan; multi
2000-06-21; 00:00:00;       831.43; nan; multi
2000-06-22; 00:00:00;       902.96; nan; multi
2000-06-23; 00:00:00;       844.25; nan; multi
2000-06-29; 00:00:00;       866.32; nan; multi
2000-07-02; 00:00:00;       725.82; nan; multi
2000-07-04; 00:00:00;       617.85; nan; multi
2000-07-05; 00:00:00;       558.41; nan; multi
2000-07-06; 00:00:00;       514.44; nan; multi
2000-07-07; 00:00:00;       516.93; nan; multi
2000-07-08; 00:00:00;       482.14; nan; multi
2000-07-09; 00:00:00;       472.36; nan; multi
2000-07-13; 00:00:00;       436.81; nan; multi
2000-07-15; 00:00:00;       468.94; nan; multi
2000-07-16; 00:00:00;       491.77; nan; multi
2000-07-17; 00:00:00;       512.14; nan; multi
2000-07-18; 00:00:00;       498.28; nan; multi
2000-07-19; 00:00:00;       505.31; nan; multi
2000-07-21; 00:00:00;       482.41; nan; multi
2000-07-26; 00:00:00;       579.66; nan; multi
2000-07-27; 00:00:00;       843.96; nan; multi
2000-07-29; 00:00:00;       730.26; nan; multi
2000-07-30; 00:00:00;       671.12; nan; multi
2000-07-31; 00:00:00;       676.67; nan; multi
2000-08-01; 00:00:00;       659.20; nan; multi
2000-08-02; 00:00:00;       616.38; nan; multi
2000-08-14; 00:00:00;       438.82; nan; multi
2000-08-19; 00:00:00;       382.55; nan; multi
2000-08-20; 00:00:00;       384.55; nan; multi
2000-08-21; 00:00:00;       396.40; nan; multi
2000-08-22; 00:00:00;       397.22; nan; multi
2000-08-23; 00:00:00;       386.39; nan; multi
2000-08-25; 00:00:00;       440.12; nan; multi
2000-08-26; 00:00:00;       430.86; nan; multi
