# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 PO
# River:                 PO
# Station:               PONTELAGOSCURO
# Country:               ITALY
# Latitude (DD):         44.887
# Longitude (DD):        11.606
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-01-20 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany / Agenzia Interregionale del Fiume Po (AIPo)
# Calibration period:    2002-08-18 - 2021-12-02
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 3767
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-01-20; 00:00:00;       570.21; nan; multi
2000-04-07; 00:00:00;       285.29; nan; multi
2000-04-08; 00:00:00;       143.27; nan; multi
2000-04-20; 00:00:00;       527.63; nan; multi
2000-04-21; 00:00:00;      1677.69; nan; multi
2000-04-22; 00:00:00;      1795.88; nan; multi
2000-05-03; 00:00:00;      2829.15; nan; multi
2000-05-04; 00:00:00;      3028.52; nan; multi
2000-05-12; 00:00:00;      2319.09; nan; multi
2000-05-14; 00:00:00;      2092.02; nan; multi
2000-05-15; 00:00:00;      2363.87; nan; multi
2000-05-16; 00:00:00;      2903.40; nan; multi
2000-05-17; 00:00:00;      2616.63; nan; multi
2000-05-24; 00:00:00;      1813.05; nan; multi
2000-05-25; 00:00:00;      1479.63; nan; multi
2000-05-26; 00:00:00;      1066.67; nan; multi
2000-06-01; 00:00:00;       772.81; nan; multi
2000-06-02; 00:00:00;       607.32; nan; multi
2000-06-03; 00:00:00;       520.29; nan; multi
2000-06-04; 00:00:00;       410.13; nan; multi
2000-06-05; 00:00:00;       377.13; nan; multi
2000-06-06; 00:00:00;       301.73; nan; multi
2000-06-08; 00:00:00;       317.69; nan; multi
2000-06-09; 00:00:00;       352.39; nan; multi
2000-06-10; 00:00:00;       749.04; nan; multi
2000-06-12; 00:00:00;       992.22; nan; multi
2000-06-14; 00:00:00;      1123.69; nan; multi
2000-06-15; 00:00:00;      1280.09; nan; multi
2000-06-17; 00:00:00;      1297.80; nan; multi
2000-06-18; 00:00:00;      1290.03; nan; multi
2000-06-19; 00:00:00;      1468.93; nan; multi
2000-06-20; 00:00:00;      1245.89; nan; multi
2000-06-21; 00:00:00;      1086.62; nan; multi
2000-06-22; 00:00:00;       933.41; nan; multi
2000-06-23; 00:00:00;       780.85; nan; multi
2000-06-24; 00:00:00;       671.13; nan; multi
2000-06-30; 00:00:00;       472.76; nan; multi
2000-07-03; 00:00:00;       307.96; nan; multi
2000-07-05; 00:00:00;       205.82; nan; multi
2000-07-06; 00:00:00;       137.04; nan; multi
2000-07-07; 00:00:00;       100.41; nan; multi
2000-07-10; 00:00:00;        99.02; nan; multi
2000-07-17; 00:00:00;        99.87; nan; multi
2000-07-19; 00:00:00;       129.12; nan; multi
2000-07-22; 00:00:00;        55.60; nan; multi
2000-07-23; 00:00:00;        30.20; nan; multi
2000-07-26; 00:00:00;       120.20; nan; multi
2000-07-27; 00:00:00;        45.38; nan; multi
2000-07-29; 00:00:00;        46.79; nan; multi
2000-08-01; 00:00:00;       121.34; nan; multi
2000-08-02; 00:00:00;       108.56; nan; multi
2000-08-03; 00:00:00;        69.88; nan; multi
2000-08-07; 00:00:00;        38.33; nan; multi
2000-09-08; 00:00:00;        58.68; nan; multi
2000-09-09; 00:00:00;       138.46; nan; multi
2000-09-10; 00:00:00;       107.21; nan; multi
2000-09-11; 00:00:00;        87.28; nan; multi
2000-09-12; 00:00:00;        97.17; nan; multi
2000-09-13; 00:00:00;       102.76; nan; multi
2000-09-16; 00:00:00;       115.42; nan; multi
2000-09-17; 00:00:00;       120.12; nan; multi
2000-09-21; 00:00:00;       194.04; nan; multi
2000-09-22; 00:00:00;       114.02; nan; multi
2000-09-26; 00:00:00;       122.52; nan; multi
2000-10-20; 00:00:00;      2387.55; nan; multi
2000-10-22; 00:00:00;      2393.75; nan; multi
2000-10-28; 00:00:00;      2297.91; nan; multi
2000-11-01; 00:00:00;      2369.10; nan; multi
2000-11-04; 00:00:00;      1966.67; nan; multi
2000-11-07; 00:00:00;      1941.53; nan; multi
2000-11-27; 00:00:00;      2071.79; nan; multi
2000-11-28; 00:00:00;      2148.63; nan; multi
2000-12-16; 00:00:00;      1231.92; nan; multi
2000-12-17; 00:00:00;      1844.63; nan; multi
2000-12-19; 00:00:00;      1926.32; nan; multi
2000-12-22; 00:00:00;      1469.07; nan; multi
2001-01-01; 00:00:00;      1076.15; nan; multi
2001-01-14; 00:00:00;      2601.16; nan; multi
2001-02-02; 00:00:00;       691.59; nan; multi
2001-02-11; 00:00:00;      1332.06; nan; multi
2001-02-14; 00:00:00;      1805.06; nan; multi
2001-02-15; 00:00:00;      1924.35; nan; multi
2001-02-16; 00:00:00;      2017.23; nan; multi
2001-02-17; 00:00:00;      1907.93; nan; multi
2001-02-18; 00:00:00;      1945.27; nan; multi
2001-02-20; 00:00:00;      1817.67; nan; multi
2001-02-22; 00:00:00;      1739.39; nan; multi
2001-02-23; 00:00:00;      1713.28; nan; multi
2001-03-14; 00:00:00;      2258.78; nan; multi
2001-03-16; 00:00:00;      2553.83; nan; multi
2001-03-19; 00:00:00;      2610.21; nan; multi
2001-03-26; 00:00:00;      2000.40; nan; multi
2001-04-01; 00:00:00;      1938.48; nan; multi
2001-04-02; 00:00:00;      1810.52; nan; multi
2001-04-06; 00:00:00;      2387.26; nan; multi
2001-04-09; 00:00:00;      2330.64; nan; multi
2001-04-10; 00:00:00;      2224.82; nan; multi
2001-04-15; 00:00:00;      2338.96; nan; multi
2001-04-18; 00:00:00;      1712.70; nan; multi
2001-04-24; 00:00:00;      1454.46; nan; multi
2001-04-29; 00:00:00;      1097.45; nan; multi
2001-05-01; 00:00:00;      1068.21; nan; multi
2001-05-02; 00:00:00;      1138.94; nan; multi
2001-05-08; 00:00:00;      2203.36; nan; multi
2001-05-12; 00:00:00;      2071.26; nan; multi
2001-05-13; 00:00:00;      2376.61; nan; multi
2001-05-18; 00:00:00;      1831.16; nan; multi
2001-05-19; 00:00:00;      2356.14; nan; multi
2001-05-23; 00:00:00;      2629.46; nan; multi
2001-05-26; 00:00:00;      2533.63; nan; multi
2001-05-28; 00:00:00;      2291.36; nan; multi
2001-05-29; 00:00:00;      2150.22; nan; multi
2001-05-30; 00:00:00;      2130.87; nan; multi
2001-06-04; 00:00:00;      2346.64; nan; multi
2001-06-13; 00:00:00;      1619.54; nan; multi
2001-06-14; 00:00:00;      1989.93; nan; multi
2001-06-15; 00:00:00;      2117.81; nan; multi
2001-06-23; 00:00:00;      3453.59; nan; multi
2001-07-01; 00:00:00;      2167.28; nan; multi
2001-07-07; 00:00:00;      1777.73; nan; multi
2001-07-08; 00:00:00;      1870.58; nan; multi
2001-07-09; 00:00:00;      1867.19; nan; multi
2001-07-16; 00:00:00;      1222.18; nan; multi
2001-07-17; 00:00:00;      1041.94; nan; multi
2001-07-18; 00:00:00;      1067.15; nan; multi
2001-07-21; 00:00:00;      1165.30; nan; multi
2001-07-22; 00:00:00;      1308.55; nan; multi
2001-07-23; 00:00:00;      1319.72; nan; multi
2001-07-24; 00:00:00;      1424.59; nan; multi
2001-07-25; 00:00:00;      1519.28; nan; multi
2001-07-26; 00:00:00;      1513.70; nan; multi
2001-07-27; 00:00:00;      1504.55; nan; multi
2001-07-29; 00:00:00;      1392.50; nan; multi
2001-07-30; 00:00:00;      1315.65; nan; multi
2001-07-31; 00:00:00;      1207.13; nan; multi
2001-08-01; 00:00:00;      1065.02; nan; multi
2001-08-02; 00:00:00;      1023.13; nan; multi
2001-08-03; 00:00:00;       911.17; nan; multi
2001-08-04; 00:00:00;       819.36; nan; multi
2001-08-05; 00:00:00;       813.01; nan; multi
2001-08-07; 00:00:00;       779.32; nan; multi
2001-08-08; 00:00:00;       776.44; nan; multi
2001-08-09; 00:00:00;       819.10; nan; multi
2001-08-10; 00:00:00;       835.15; nan; multi
2001-08-14; 00:00:00;       803.76; nan; multi
2001-08-15; 00:00:00;       825.32; nan; multi
2001-08-16; 00:00:00;      1053.04; nan; multi
2001-08-17; 00:00:00;       895.69; nan; multi
2001-08-19; 00:00:00;       776.77; nan; multi
2001-08-22; 00:00:00;       737.03; nan; multi
2001-08-25; 00:00:00;       702.83; nan; multi
2001-08-26; 00:00:00;       651.85; nan; multi
2001-08-27; 00:00:00;       696.47; nan; multi
2001-08-28; 00:00:00;       766.52; nan; multi
2001-08-29; 00:00:00;       759.04; nan; multi
2001-09-03; 00:00:00;       767.23; nan; multi
2001-09-06; 00:00:00;       941.02; nan; multi
2001-09-09; 00:00:00;       969.87; nan; multi
2001-09-10; 00:00:00;      1113.21; nan; multi
