# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 ZAMBEZI
# River:                 KABOMPO
# Station:               KABOMPO-PONTOON
# Country:               ZAMBIA
# Latitude (DD):         -13.6
# Longitude (DD):        24.2166
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-26 - 2022-12-28
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-04-12 - 2022-10-26
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 5045
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-26; 00:00:00;        73.62; nan; multi
2000-04-01; 00:00:00;       155.75; nan; multi
2000-04-05; 00:00:00;       143.44; nan; multi
2000-04-07; 00:00:00;        63.94; nan; multi
2000-04-08; 00:00:00;        74.98; nan; multi
2000-04-10; 00:00:00;        88.24; nan; multi
2000-04-13; 00:00:00;        60.32; nan; multi
2000-04-14; 00:00:00;        58.42; nan; multi
2000-04-15; 00:00:00;        60.52; nan; multi
2000-04-17; 00:00:00;        58.33; nan; multi
2000-04-19; 00:00:00;       134.19; nan; multi
2000-04-20; 00:00:00;        85.10; nan; multi
2000-04-21; 00:00:00;        76.12; nan; multi
2000-04-22; 00:00:00;        73.82; nan; multi
2000-04-23; 00:00:00;        69.87; nan; multi
2000-04-24; 00:00:00;        73.36; nan; multi
2000-04-25; 00:00:00;        60.20; nan; multi
2000-04-30; 00:00:00;        68.93; nan; multi
2000-05-01; 00:00:00;        68.94; nan; multi
2000-05-02; 00:00:00;        60.39; nan; multi
2000-05-03; 00:00:00;        80.29; nan; multi
2000-05-05; 00:00:00;        81.23; nan; multi
2000-05-09; 00:00:00;        69.53; nan; multi
2000-05-14; 00:00:00;        53.15; nan; multi
2000-05-15; 00:00:00;        53.85; nan; multi
2000-05-17; 00:00:00;        55.62; nan; multi
2000-05-18; 00:00:00;        54.65; nan; multi
2000-05-19; 00:00:00;        57.71; nan; multi
2000-05-21; 00:00:00;        68.62; nan; multi
2000-05-22; 00:00:00;        60.56; nan; multi
2000-05-23; 00:00:00;        67.29; nan; multi
2000-05-24; 00:00:00;        69.04; nan; multi
2000-05-25; 00:00:00;        63.47; nan; multi
2000-05-26; 00:00:00;        64.57; nan; multi
2000-05-27; 00:00:00;        60.16; nan; multi
2000-05-28; 00:00:00;        71.34; nan; multi
2000-05-30; 00:00:00;        73.81; nan; multi
2000-05-31; 00:00:00;        58.28; nan; multi
2000-06-01; 00:00:00;        54.01; nan; multi
2000-06-02; 00:00:00;        52.17; nan; multi
2000-06-03; 00:00:00;        47.83; nan; multi
2000-06-04; 00:00:00;        44.07; nan; multi
2000-06-05; 00:00:00;        46.45; nan; multi
2000-06-06; 00:00:00;        48.47; nan; multi
2000-06-07; 00:00:00;        49.24; nan; multi
2000-06-08; 00:00:00;        51.10; nan; multi
2000-06-09; 00:00:00;        52.02; nan; multi
2000-06-10; 00:00:00;        52.59; nan; multi
2000-06-12; 00:00:00;        52.46; nan; multi
2000-06-15; 00:00:00;        55.78; nan; multi
2000-06-16; 00:00:00;        56.06; nan; multi
2000-06-17; 00:00:00;        60.57; nan; multi
2000-06-18; 00:00:00;        73.83; nan; multi
2000-06-20; 00:00:00;        83.50; nan; multi
2000-06-22; 00:00:00;       152.03; nan; multi
2000-06-23; 00:00:00;       122.38; nan; multi
