# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 ZAMBEZI
# River:                 KAFUE
# Station:               KASAKA
# Country:               ZAMBIA
# Latitude (DD):         -15.8166
# Longitude (DD):        28.2166
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-03-17 - 2022-12-28
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2009-04-12 - 2022-10-26
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4229
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-03-17; 00:00:00;        27.41; nan; multi
2000-04-04; 00:00:00;        43.26; nan; multi
2000-04-05; 00:00:00;       298.73; nan; multi
2000-04-21; 00:00:00;      1198.28; nan; multi
2000-04-23; 00:00:00;      1223.28; nan; multi
2000-04-25; 00:00:00;      1162.92; nan; multi
2000-05-02; 00:00:00;      1041.58; nan; multi
2000-05-03; 00:00:00;       811.73; nan; multi
2000-05-04; 00:00:00;       656.41; nan; multi
2000-05-17; 00:00:00;       818.39; nan; multi
2000-05-18; 00:00:00;       850.93; nan; multi
2000-05-21; 00:00:00;       954.05; nan; multi
2000-05-22; 00:00:00;       419.47; nan; multi
2000-05-25; 00:00:00;      1059.53; nan; multi
2000-05-26; 00:00:00;       764.80; nan; multi
2000-05-27; 00:00:00;       827.17; nan; multi
2000-05-28; 00:00:00;       887.79; nan; multi
2000-05-30; 00:00:00;      1062.27; nan; multi
2000-06-01; 00:00:00;       875.29; nan; multi
2000-06-02; 00:00:00;       544.66; nan; multi
2000-06-03; 00:00:00;       778.24; nan; multi
2000-06-08; 00:00:00;       770.94; nan; multi
2000-06-14; 00:00:00;       450.72; nan; multi
2000-06-17; 00:00:00;       994.34; nan; multi
2000-06-18; 00:00:00;       502.52; nan; multi
2000-06-21; 00:00:00;       518.49; nan; multi
2000-06-22; 00:00:00;       870.41; nan; multi
2000-06-24; 00:00:00;      1169.38; nan; multi
2000-06-26; 00:00:00;      1018.60; nan; multi
2000-06-29; 00:00:00;      1336.20; nan; multi
2000-07-06; 00:00:00;      1324.82; nan; multi
2000-07-07; 00:00:00;      1297.85; nan; multi
2000-07-08; 00:00:00;      2040.85; nan; multi
2000-07-10; 00:00:00;      2058.70; nan; multi
2000-07-12; 00:00:00;      2049.92; nan; multi
2000-07-14; 00:00:00;      2005.38; nan; multi
2000-07-16; 00:00:00;      1386.86; nan; multi
2000-07-17; 00:00:00;      1603.19; nan; multi
2000-07-19; 00:00:00;      2027.12; nan; multi
2000-07-20; 00:00:00;      1420.55; nan; multi
2000-07-21; 00:00:00;      1375.82; nan; multi
2000-07-22; 00:00:00;      1305.33; nan; multi
2000-07-23; 00:00:00;      1194.46; nan; multi
2000-07-24; 00:00:00;      1237.90; nan; multi
2000-07-26; 00:00:00;      1267.59; nan; multi
2000-07-29; 00:00:00;      1083.59; nan; multi
2000-07-30; 00:00:00;       938.42; nan; multi
2000-07-31; 00:00:00;       965.82; nan; multi
2000-08-01; 00:00:00;       819.56; nan; multi
2000-08-04; 00:00:00;       969.01; nan; multi
2000-08-05; 00:00:00;       762.56; nan; multi
2000-08-20; 00:00:00;      1412.41; nan; multi
2000-08-22; 00:00:00;      1263.63; nan; multi
2000-08-23; 00:00:00;      1015.26; nan; multi
2000-08-24; 00:00:00;       606.70; nan; multi
2000-08-25; 00:00:00;       835.52; nan; multi
2000-08-26; 00:00:00;       388.58; nan; multi
2000-08-27; 00:00:00;       947.54; nan; multi
