# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 ZAMBEZI
# River:                 ZAMBEZI
# Station:               MATUNDO-CAIS
# Country:               MOZAMBIQUE
# Latitude (DD):         -16.135
# Longitude (DD):        33.5467
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-02-21 - 2022-12-26
# Last update:           2024-06-05
# Methodology:           Uncalibrated CM approach - CDF
# Insitu discharge:      Global Runoff Data Centre (GRDC) - 56068 Koblenz - Germany
# Calibration period:    2008-01-29 - 2020-01-28
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 4477
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-02-21; 00:00:00;      3910.49; nan; multi
2000-02-28; 00:00:00;       567.87; nan; multi
2000-03-02; 00:00:00;      2060.87; nan; multi
2000-03-03; 00:00:00;      2310.00; nan; multi
2000-03-06; 00:00:00;      1400.86; nan; multi
2000-03-07; 00:00:00;      1674.11; nan; multi
2000-03-08; 00:00:00;      1632.51; nan; multi
2000-03-16; 00:00:00;      1811.51; nan; multi
2000-03-27; 00:00:00;      2055.83; nan; multi
2000-03-29; 00:00:00;      2435.22; nan; multi
2000-03-31; 00:00:00;      1786.41; nan; multi
2000-04-07; 00:00:00;       530.63; nan; multi
2000-04-09; 00:00:00;       540.95; nan; multi
2000-04-13; 00:00:00;       845.91; nan; multi
2000-04-18; 00:00:00;       352.06; nan; multi
2000-04-22; 00:00:00;       733.03; nan; multi
2000-04-23; 00:00:00;       745.10; nan; multi
2000-04-24; 00:00:00;      1111.39; nan; multi
2000-04-25; 00:00:00;       962.81; nan; multi
2000-05-01; 00:00:00;      1415.37; nan; multi
2000-05-02; 00:00:00;      1184.29; nan; multi
2000-05-04; 00:00:00;       914.11; nan; multi
2000-05-05; 00:00:00;      1247.70; nan; multi
2000-05-11; 00:00:00;       658.51; nan; multi
2000-05-14; 00:00:00;      1113.18; nan; multi
2000-05-15; 00:00:00;      1225.88; nan; multi
2000-05-16; 00:00:00;      1600.95; nan; multi
2000-05-19; 00:00:00;      1731.44; nan; multi
2000-05-20; 00:00:00;      1763.33; nan; multi
2000-05-21; 00:00:00;      1807.23; nan; multi
2000-05-22; 00:00:00;      1813.14; nan; multi
2000-05-23; 00:00:00;      1777.82; nan; multi
2000-05-25; 00:00:00;      1730.02; nan; multi
2000-05-26; 00:00:00;      1972.87; nan; multi
2000-05-27; 00:00:00;      1769.92; nan; multi
2000-05-28; 00:00:00;      1973.71; nan; multi
2000-05-30; 00:00:00;      2057.04; nan; multi
2000-05-31; 00:00:00;      2290.73; nan; multi
2000-06-01; 00:00:00;      2614.54; nan; multi
2000-06-03; 00:00:00;      2611.52; nan; multi
2000-06-04; 00:00:00;      2658.52; nan; multi
2000-06-12; 00:00:00;      1729.88; nan; multi
2000-06-14; 00:00:00;       905.63; nan; multi
2000-06-23; 00:00:00;      1556.53; nan; multi
2000-06-24; 00:00:00;      1791.45; nan; multi
2000-06-26; 00:00:00;      1102.35; nan; multi
2000-07-05; 00:00:00;      1237.62; nan; multi
2000-07-06; 00:00:00;      1417.63; nan; multi
2000-07-09; 00:00:00;      1778.09; nan; multi
2000-07-14; 00:00:00;       812.91; nan; multi
2000-07-15; 00:00:00;       639.16; nan; multi
2000-07-16; 00:00:00;       537.17; nan; multi
2000-07-18; 00:00:00;       566.79; nan; multi
2000-07-19; 00:00:00;       655.89; nan; multi
2000-07-20; 00:00:00;       912.64; nan; multi
2000-07-21; 00:00:00;       863.94; nan; multi
2000-07-26; 00:00:00;       709.72; nan; multi
2000-07-28; 00:00:00;      1013.56; nan; multi
2000-07-29; 00:00:00;      1565.45; nan; multi
2000-07-30; 00:00:00;      1331.49; nan; multi
2000-07-31; 00:00:00;      1357.99; nan; multi
2000-08-04; 00:00:00;      1223.37; nan; multi
2000-08-22; 00:00:00;       981.58; nan; multi
2000-08-23; 00:00:00;      1025.09; nan; multi
2000-08-24; 00:00:00;      1093.84; nan; multi
2000-08-26; 00:00:00;      1342.49; nan; multi
2000-08-27; 00:00:00;      1620.77; nan; multi
2000-08-29; 00:00:00;      1296.91; nan; multi
2000-08-30; 00:00:00;      1483.88; nan; multi
2000-08-31; 00:00:00;      1364.83; nan; multi
2000-09-01; 00:00:00;      1381.21; nan; multi
2000-09-02; 00:00:00;      1285.01; nan; multi
2000-09-03; 00:00:00;      1362.44; nan; multi
2000-09-04; 00:00:00;      1458.24; nan; multi
2000-09-05; 00:00:00;      1542.61; nan; multi
2000-09-06; 00:00:00;      1452.76; nan; multi
2000-09-07; 00:00:00;      1380.46; nan; multi
2000-09-10; 00:00:00;      1639.66; nan; multi
2000-09-11; 00:00:00;      1739.56; nan; multi
2000-09-12; 00:00:00;      1766.75; nan; multi
2000-09-14; 00:00:00;      1714.52; nan; multi
2000-09-15; 00:00:00;      1888.86; nan; multi
2000-09-16; 00:00:00;      1611.21; nan; multi
2000-09-17; 00:00:00;      1704.76; nan; multi
2000-09-18; 00:00:00;      1727.71; nan; multi
2000-09-25; 00:00:00;      1678.85; nan; multi
2000-09-26; 00:00:00;      2065.26; nan; multi
2000-09-27; 00:00:00;      2037.20; nan; multi
2000-09-29; 00:00:00;      2128.93; nan; multi
2000-09-30; 00:00:00;      1862.67; nan; multi
2000-10-01; 00:00:00;      1829.18; nan; multi
2000-10-02; 00:00:00;      1716.97; nan; multi
2000-10-03; 00:00:00;      1704.41; nan; multi
2000-10-04; 00:00:00;      1642.32; nan; multi
2000-10-05; 00:00:00;      1670.47; nan; multi
2000-10-06; 00:00:00;      1699.72; nan; multi
2000-10-07; 00:00:00;      1699.73; nan; multi
2000-10-09; 00:00:00;      1555.49; nan; multi
2000-10-10; 00:00:00;      1562.90; nan; multi
2000-10-11; 00:00:00;      1671.43; nan; multi
2000-10-14; 00:00:00;      1738.08; nan; multi
2000-10-15; 00:00:00;      1896.94; nan; multi
2000-10-16; 00:00:00;      1592.62; nan; multi
2000-10-17; 00:00:00;      1889.46; nan; multi
2000-10-18; 00:00:00;      1701.66; nan; multi
2000-10-19; 00:00:00;      1805.87; nan; multi
2000-10-20; 00:00:00;      1768.41; nan; multi
2000-10-23; 00:00:00;      1855.26; nan; multi
2000-10-24; 00:00:00;      3092.68; nan; multi
2000-10-25; 00:00:00;      2449.38; nan; multi
2000-11-14; 00:00:00;      1075.27; nan; multi
2000-11-16; 00:00:00;      2250.23; nan; multi
2000-11-19; 00:00:00;      3438.58; nan; multi
2000-11-24; 00:00:00;      3282.48; nan; multi
2000-12-05; 00:00:00;      2524.73; nan; multi
2000-12-08; 00:00:00;      2456.21; nan; multi
2000-12-18; 00:00:00;      2434.44; nan; multi
2000-12-19; 00:00:00;      1790.26; nan; multi
2000-12-21; 00:00:00;      1459.74; nan; multi
2000-12-29; 00:00:00;      2267.19; nan; multi
2000-12-30; 00:00:00;      2510.79; nan; multi
2001-01-06; 00:00:00;      4484.28; nan; multi
2001-01-07; 00:00:00;      5420.25; nan; multi
2001-01-08; 00:00:00;      5629.59; nan; multi
2001-01-09; 00:00:00;      6403.95; nan; multi
2001-01-22; 00:00:00;      4933.18; nan; multi
2001-02-03; 00:00:00;      5791.26; nan; multi
2001-02-21; 00:00:00;      2245.39; nan; multi
2001-02-24; 00:00:00;      6664.01; nan; multi
2001-03-11; 00:00:00;      8695.69; nan; multi
2001-03-12; 00:00:00;      9170.07; nan; multi
2001-03-25; 00:00:00;     10581.51; nan; multi
2001-03-26; 00:00:00;     10652.53; nan; multi
2001-03-27; 00:00:00;     10794.60; nan; multi
2001-03-29; 00:00:00;     11009.67; nan; multi
2001-04-05; 00:00:00;     10766.76; nan; multi
2001-04-08; 00:00:00;     10495.12; nan; multi
2001-04-09; 00:00:00;     10671.73; nan; multi
2001-04-10; 00:00:00;     10735.41; nan; multi
2001-04-11; 00:00:00;     10652.46; nan; multi
2001-04-12; 00:00:00;     10619.06; nan; multi
2001-04-13; 00:00:00;     10581.81; nan; multi
2001-04-14; 00:00:00;     10614.61; nan; multi
2001-04-23; 00:00:00;     10448.09; nan; multi
2001-04-24; 00:00:00;     10283.53; nan; multi
2001-04-25; 00:00:00;     10259.74; nan; multi
2001-04-28; 00:00:00;     10144.81; nan; multi
2001-04-29; 00:00:00;     10048.27; nan; multi
2001-05-05; 00:00:00;      9190.54; nan; multi
2001-05-08; 00:00:00;      9083.01; nan; multi
2001-05-09; 00:00:00;      9041.66; nan; multi
2001-05-10; 00:00:00;      8810.17; nan; multi
2001-05-12; 00:00:00;      8534.08; nan; multi
2001-05-14; 00:00:00;      8327.67; nan; multi
2001-05-21; 00:00:00;      7566.16; nan; multi
2001-05-24; 00:00:00;      7838.42; nan; multi
2001-05-25; 00:00:00;      7693.58; nan; multi
2001-05-26; 00:00:00;      7616.33; nan; multi
2001-05-27; 00:00:00;      7998.15; nan; multi
2001-06-01; 00:00:00;      7510.02; nan; multi
2001-06-02; 00:00:00;      7502.83; nan; multi
2001-06-04; 00:00:00;      7626.44; nan; multi
2001-06-05; 00:00:00;      8221.07; nan; multi
2001-06-07; 00:00:00;      8417.11; nan; multi
2001-06-11; 00:00:00;      8135.44; nan; multi
2001-06-13; 00:00:00;      7135.63; nan; multi
